step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,18.1325
1,0.0399,0.5175,0.0399,0.0033,1.579,34.516,0.0322,0.0399,18.21
2,0.055,0.5235,0.055,0.0068,1.4674,33.767,0.0357,0.055,17.6789
3,0.0567,0.5253,0.0567,0.0081,1.4039,33.0554,0.038,0.0567,17.864
4,0.0665,0.5333,0.0665,0.0121,1.3466,32.3209,0.0422,0.0665,18.2762
5,0.078,0.5422,0.078,0.0197,1.2988,31.5823,0.0537,0.078,18.3264
6,0.0913,0.5531,0.0913,0.0256,1.2682,30.838,0.061,0.0913,18.3084
7,0.1028,0.5601,0.1028,0.0329,1.2287,30.1108,0.0708,0.1028,18.4511
8,0.1188,0.5708,0.1188,0.0444,1.1936,29.3645,0.0867,0.1188,17.9758
9,0.1223,0.5709,0.1223,0.0496,1.1761,28.6744,0.0903,0.1223,18.552
10,0.1321,0.5806,0.1321,0.0617,1.1526,27.947,0.102,0.1321,17.5077
11,0.1348,0.5808,0.1348,0.06,1.1452,27.9447,0.1005,0.1348,17.8879
12,0.1383,0.5876,0.1383,0.0656,1.1301,27.2374,0.1055,0.1383,18.7282
13,0.1401,0.5881,0.1401,0.0647,1.1236,27.2322,0.1087,0.1401,17.8657
14,0.1605,0.5997,0.1605,0.0805,1.0922,26.4807,0.1315,0.1605,17.5928
15,0.1738,0.6067,0.1738,0.0905,1.0741,25.7615,0.1419,0.1738,18.7736
16,0.1755,0.616,0.1755,0.0944,1.0633,25.0508,0.1509,0.1755,18.7007
17,0.1906,0.6262,0.1906,0.1078,1.0409,24.3151,0.1673,0.1906,17.5914
18,0.1906,0.6265,0.1906,0.1097,1.0362,24.3052,0.1678,0.1906,18.8501
19,0.2083,0.6381,0.2083,0.125,1.0113,23.5538,0.1878,0.2083,18.1511
20,0.2074,0.643,0.2074,0.1289,1.0039,22.8593,0.1897,0.2074,18.3088
21,0.211,0.6517,0.211,0.1426,1.007,22.149,0.1989,0.211,17.6662
22,0.2199,0.659,0.2199,0.1532,0.9934,21.4391,0.209,0.2199,18.31
23,0.2207,0.666,0.2207,0.157,0.9862,20.7422,0.2112,0.2207,18.0734
24,0.2349,0.6769,0.2349,0.1746,0.971,20.0119,0.2279,0.2349,18.3419
25,0.2385,0.6781,0.2385,0.179,0.9654,20.002,0.2306,0.2385,19.3441
26,0.2429,0.6795,0.2429,0.1799,0.9604,19.9942,0.2355,0.2429,17.6988
27,0.25,0.6862,0.25,0.1879,0.9706,19.2989,0.2384,0.25,18.1451
28,0.2465,0.6872,0.2465,0.1861,0.9689,19.3022,0.2395,0.2465,17.8001
29,0.2465,0.6875,0.2465,0.1822,0.9669,19.3016,0.2341,0.2465,18.176
30,0.2473,0.6877,0.2473,0.1818,0.9652,19.3036,0.2349,0.2473,17.9831
31,0.258,0.6975,0.258,0.196,0.9496,18.5782,0.2498,0.258,17.7579
32,0.2615,0.7044,0.2615,0.201,0.9428,17.8829,0.2552,0.2615,18.6478
33,0.2606,0.7107,0.2606,0.2038,0.9382,17.1904,0.2566,0.2606,18.3984
34,0.2642,0.7115,0.2642,0.2063,0.9337,17.1787,0.26,0.2642,18.5434
35,0.2642,0.7123,0.2642,0.2069,0.9319,17.1781,0.2606,0.2642,18.4184
36,0.2651,0.7196,0.2651,0.2086,0.9288,16.4927,0.2636,0.2651,19.3725
37,0.2677,0.7291,0.2677,0.214,0.9246,15.7927,0.2674,0.2677,19.4297
38,0.2784,0.7312,0.2784,0.2237,0.9127,15.7595,0.2733,0.2784,18.7763
39,0.2846,0.7319,0.2846,0.2294,0.9102,15.7568,0.2758,0.2846,18.7293
40,0.2917,0.7437,0.2917,0.2366,0.8955,15.0292,0.2909,0.2917,18.2283
41,0.2979,0.7466,0.2979,0.2456,0.8894,14.9994,0.2964,0.2979,19.4337
42,0.3023,0.747,0.3023,0.2475,0.886,14.9978,0.2974,0.3023,19.0539
43,0.3014,0.7473,0.3014,0.2448,0.886,15.005,0.297,0.3014,18.6913
44,0.3067,0.7515,0.3067,0.2513,0.8897,14.3254,0.3025,0.3067,18.2483
45,0.3094,0.752,0.3094,0.2537,0.8888,14.3254,0.303,0.3094,19.2106
46,0.3112,0.7529,0.3112,0.2554,0.8866,14.3218,0.3058,0.3112,18.8183
47,0.3112,0.7527,0.3112,0.2553,0.8867,14.3263,0.3051,0.3112,18.9607
48,0.3112,0.7547,0.3112,0.2552,0.8853,14.3146,0.3067,0.3112,19.1658
49,0.3236,0.7637,0.3236,0.2716,0.8734,13.5981,0.3215,0.3236,18.8235
50,0.3262,0.7652,0.3262,0.2728,0.8742,13.5963,0.3217,0.3262,18.8561
51,0.3413,0.7795,0.3413,0.2857,0.8767,12.8634,0.341,0.3413,18.6688
52,0.3422,0.7792,0.3422,0.2882,0.8751,12.8535,0.3423,0.3422,18.8108
53,0.3493,0.7812,0.3493,0.2974,0.8709,12.8334,0.3469,0.3493,18.3225
54,0.352,0.7822,0.352,0.3013,0.8687,12.8192,0.349,0.352,19.017
55,0.3546,0.7825,0.3546,0.3038,0.8665,12.8145,0.3499,0.3546,19.2328
56,0.3546,0.7825,0.3546,0.3043,0.8664,12.8146,0.3489,0.3546,18.7091
57,0.3564,0.7826,0.3564,0.3063,0.8623,12.8061,0.3531,0.3564,18.5076
58,0.3582,0.779,0.3582,0.3114,0.8695,12.1788,0.3538,0.3582,19.7531
59,0.3608,0.7869,0.3608,0.3166,0.8653,11.4876,0.3589,0.3608,18.8178
