step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,24.5578
1,0.0363,0.5129,0.0363,0.003,1.4563,34.5357,0.03,0.0363,25.005
2,0.0434,0.5158,0.0434,0.0054,1.2906,33.8061,0.0311,0.0434,25.6696
3,0.047,0.5271,0.047,0.0136,1.2171,33.0789,0.0378,0.047,25.0072
4,0.0399,0.5199,0.0399,0.0104,1.1619,32.3685,0.0331,0.0399,24.5715
5,0.0541,0.5276,0.0541,0.0136,1.1245,31.6518,0.0353,0.0541,27.3723
6,0.0479,0.5245,0.0479,0.016,1.102,30.946,0.0368,0.0479,24.2038
7,0.0647,0.5399,0.0647,0.0168,1.0818,30.2289,0.0432,0.0647,26.8408
8,0.0754,0.5438,0.0754,0.0274,1.0641,29.5187,0.0541,0.0754,24.2994
9,0.0674,0.544,0.0674,0.0251,1.0561,28.825,0.0434,0.0674,27.3905
10,0.0878,0.5514,0.0878,0.0437,1.0468,28.121,0.0546,0.0878,25.8254
11,0.0567,0.5575,0.0567,0.0381,1.0472,28.1102,0.0689,0.0567,26.1455
12,0.0798,0.5572,0.0798,0.0394,1.0367,27.4124,0.0725,0.0798,25.6417
13,0.0647,0.5637,0.0647,0.0348,1.0313,26.7173,0.0748,0.0647,25.8135
14,0.0754,0.5665,0.0754,0.0391,1.0242,26.0217,0.0708,0.0754,27.6759
15,0.0709,0.5522,0.0709,0.0305,1.0283,26.0424,0.0601,0.0709,28.092
16,0.0842,0.5729,0.0842,0.047,1.0177,25.317,0.0764,0.0842,24.7966
17,0.0709,0.5613,0.0709,0.0426,1.0183,24.7417,0.0739,0.0709,27.6148
18,0.0869,0.5778,0.0869,0.0458,1.0098,23.9723,0.0788,0.0869,26.171
19,0.086,0.5683,0.086,0.0537,1.0111,23.3427,0.0701,0.086,25.1285
20,0.1002,0.5932,0.1002,0.0603,0.9996,22.599,0.089,0.1002,27.0125
21,0.0904,0.5873,0.0904,0.0533,1.0008,21.9373,0.0893,0.0904,28.7934
22,0.1348,0.6056,0.1348,0.0788,0.991,21.8862,0.1143,0.1348,25.3753
23,0.1223,0.6009,0.1223,0.0772,0.9958,21.8803,0.1136,0.1223,25.8602
24,0.1126,0.605,0.1126,0.0724,0.9902,21.467,0.1101,0.1126,25.3812
25,0.102,0.6152,0.102,0.0655,0.9955,21.186,0.1023,0.102,24.7096
26,0.0904,0.6002,0.0904,0.0503,0.996,20.6469,0.0946,0.0904,27.2386
27,0.1223,0.6192,0.1223,0.0798,0.9856,19.9151,0.1201,0.1223,26.809
28,0.1197,0.6257,0.1197,0.0772,0.9859,19.3224,0.1135,0.1197,25.3154
29,0.125,0.6148,0.125,0.084,0.9833,18.6808,0.1154,0.125,26.4815
30,0.1374,0.6219,0.1374,0.0916,0.9782,18.0417,0.1264,0.1374,27.9122
31,0.1259,0.6239,0.1259,0.0871,0.9802,18.0441,0.1192,0.1259,25.3657
32,0.1188,0.6189,0.1188,0.0809,0.982,18.2812,0.1264,0.1188,26.7885
33,0.125,0.6249,0.125,0.0879,0.9803,17.3707,0.1235,0.125,26.4409
34,0.1321,0.6394,0.1321,0.0932,0.9765,17.5296,0.1292,0.1321,24.3671
35,0.1339,0.6314,0.1339,0.0873,0.9774,17.6076,0.1318,0.1339,27.6015
36,0.1161,0.6198,0.1161,0.0849,0.9802,17.4058,0.1288,0.1161,28.1438
37,0.1277,0.6384,0.1277,0.0866,0.9746,16.688,0.1328,0.1277,24.0642
38,0.1197,0.6394,0.1197,0.0874,0.9764,16.1112,0.1215,0.1197,28.5771
39,0.1268,0.649,0.1268,0.0926,0.9718,16.0535,0.1401,0.1268,25.3884
40,0.133,0.6403,0.133,0.0955,0.971,16.1688,0.1435,0.133,26.624
41,0.1321,0.6578,0.1321,0.0961,0.9699,15.4161,0.1381,0.1321,24.8861
42,0.1206,0.6434,0.1206,0.08,0.9716,15.5589,0.1305,0.1206,23.8464
43,0.125,0.6607,0.125,0.0874,0.9733,15.6578,0.1367,0.125,27.2209
44,0.1223,0.6528,0.1223,0.0836,0.9712,14.9502,0.1358,0.1223,26.6827
45,0.1303,0.6501,0.1303,0.0989,0.9713,14.7891,0.1552,0.1303,27.5795
46,0.1348,0.6519,0.1348,0.0988,0.9694,14.5637,0.1465,0.1348,24.6404
47,0.1161,0.6595,0.1161,0.0839,0.971,14.5318,0.1477,0.1161,26.1742
48,0.1348,0.6744,0.1348,0.0999,0.9648,14.2331,0.1599,0.1348,25.058
49,0.1356,0.6644,0.1356,0.0917,0.965,14.3922,0.1546,0.1356,25.3089
50,0.1294,0.6655,0.1294,0.0996,0.9665,14.6194,0.1544,0.1294,26.9763
51,0.1427,0.6785,0.1427,0.1098,0.9633,14.3573,0.1663,0.1427,25.8783
52,0.117,0.6751,0.117,0.0821,0.967,14.3478,0.163,0.117,25.2223
53,0.1383,0.6656,0.1383,0.1048,0.967,14.5847,0.1559,0.1383,27.1796
54,0.1374,0.6832,0.1374,0.0991,0.964,13.7447,0.1549,0.1374,25.9906
55,0.141,0.6698,0.141,0.1032,0.9641,13.439,0.1628,0.141,23.8337
56,0.148,0.6868,0.148,0.0995,0.9618,13.0948,0.166,0.148,26.6719
57,0.148,0.6803,0.148,0.1097,0.9622,13.332,0.1673,0.148,25.2811
58,0.1401,0.6854,0.1401,0.1003,0.9611,13.2591,0.1672,0.1401,26.4629
59,0.141,0.6727,0.141,0.0895,0.965,13.6844,0.1534,0.141,24.675
