step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0904,0.5522,0.0904,0.0299,1.0493,28.8026,0.0746,0.0904,0.0104
1,0.1188,0.6143,0.1188,0.077,0.9953,23.8498,0.1246,0.1188,0.112
2,0.1312,0.649,0.1312,0.0853,0.9781,19.7334,0.1388,0.1312,0.1376
3,0.1915,0.6981,0.1915,0.1292,0.9538,16.35,0.1807,0.1915,0.1552
4,0.1933,0.7011,0.1933,0.1381,0.9495,15.8525,0.2002,0.1933,0.172
5,0.2154,0.7231,0.2154,0.1616,0.9349,12.7415,0.2365,0.2154,0.1901
6,0.2358,0.7585,0.2358,0.1762,0.9269,11.394,0.2526,0.2358,0.2262
7,0.2757,0.7762,0.2757,0.2067,0.9118,10.368,0.2827,0.2757,0.2667
8,0.3005,0.8049,0.3005,0.252,0.9074,7.9638,0.3253,0.3005,0.3143
9,0.3378,0.8133,0.3378,0.2903,0.8965,7.7602,0.3403,0.3378,0.3449
10,0.3502,0.8198,0.3502,0.3112,0.8922,7.6758,0.3647,0.3502,0.3585
11,0.3697,0.8445,0.3697,0.348,0.8841,5.9769,0.3941,0.3697,0.3762
12,0.3963,0.8431,0.3963,0.3601,0.8766,6.2788,0.391,0.3963,0.422
13,0.3883,0.8469,0.3883,0.3613,0.8751,5.5602,0.4087,0.3883,0.4595
14,0.4184,0.8608,0.4184,0.3933,0.8676,5.1228,0.4251,0.4184,0.5288
15,0.4291,0.8734,0.4291,0.407,0.8612,4.822,0.4441,0.4291,0.5597
16,0.4167,0.8765,0.4167,0.4039,0.8637,3.9941,0.434,0.4167,0.597
17,0.414,0.8828,0.414,0.3948,0.8597,3.3895,0.4338,0.414,0.6458
18,0.445,0.8975,0.445,0.4197,0.851,3.3745,0.4621,0.445,0.6867
19,0.4557,0.8942,0.4557,0.4396,0.8478,3.5845,0.4732,0.4557,0.7197
20,0.4778,0.8967,0.4778,0.4651,0.8527,3.236,0.4844,0.4778,0.7667
21,0.4858,0.9017,0.4858,0.4725,0.8466,3.1457,0.494,0.4858,0.7599
22,0.4761,0.9073,0.4761,0.4636,0.8462,3.2944,0.5003,0.4761,0.8212
23,0.484,0.9034,0.484,0.4706,0.8467,3.2478,0.4971,0.484,0.8303
24,0.4796,0.9042,0.4796,0.4647,0.8453,3.1912,0.4998,0.4796,0.8816
25,0.4867,0.9087,0.4867,0.4747,0.8416,2.9965,0.5095,0.4867,0.9548
26,0.4938,0.9036,0.4938,0.4831,0.8409,3.4386,0.5125,0.4938,0.959
27,0.5106,0.905,0.5106,0.5017,0.8347,3.1979,0.5195,0.5106,1.0506
28,0.5177,0.9145,0.5177,0.5099,0.8345,3.2031,0.524,0.5177,1.0364
29,0.5168,0.9095,0.5168,0.5041,0.8376,3.1144,0.5237,0.5168,1.0864
30,0.5204,0.9251,0.5204,0.5203,0.8297,2.9303,0.5627,0.5204,1.1271
31,0.5124,0.9184,0.5124,0.5086,0.8343,2.7986,0.5457,0.5124,1.0838
32,0.5434,0.9273,0.5434,0.5377,0.8294,2.8942,0.5568,0.5434,1.1405
33,0.5417,0.9181,0.5417,0.5326,0.8224,2.8579,0.5482,0.5417,1.2294
34,0.547,0.9184,0.547,0.5407,0.8269,2.9316,0.5478,0.547,1.321
35,0.555,0.9159,0.555,0.5411,0.827,2.8518,0.5531,0.555,1.3102
36,0.5683,0.9249,0.5683,0.5614,0.8199,2.8589,0.5678,0.5683,1.3452
37,0.5496,0.9223,0.5496,0.5433,0.8222,3.0675,0.5593,0.5496,1.407
38,0.5736,0.9283,0.5736,0.5688,0.823,2.9091,0.5741,0.5736,1.4284
39,0.5816,0.9317,0.5816,0.5787,0.818,2.7475,0.5823,0.5816,1.4261
40,0.5656,0.9256,0.5656,0.5574,0.82,2.9972,0.5729,0.5656,1.4972
41,0.5869,0.9303,0.5869,0.5805,0.8157,2.745,0.5864,0.5869,1.4843
42,0.5771,0.9291,0.5771,0.5669,0.8178,2.7842,0.5812,0.5771,1.5618
43,0.5709,0.9268,0.5709,0.5598,0.8198,2.7096,0.5824,0.5709,1.5731
