step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0058
1,0.6667,0.8281,0.6667,0.5499,0.564,12.1523,0.7687,0.6667,0.0061
2,0.7778,0.9422,0.7778,0.7608,0.3084,0.5536,0.9108,0.7778,0.0077
3,0.8667,0.9533,0.8667,0.8643,0.2527,0.4665,0.9182,0.8667,0.0084
4,0.8222,0.9548,0.8222,0.8086,0.2987,0.5141,0.8955,0.8222,0.0078
5,0.6667,0.8978,0.6667,0.5556,0.4588,0.692,0.7908,0.6667,0.0078
6,0.6444,0.8607,0.6444,0.5392,0.4787,0.7158,0.7542,0.6444,0.0073
7,0.6667,0.86,0.6667,0.5556,0.4217,0.6335,0.7554,0.6667,0.0083
8,0.7778,0.9533,0.7778,0.75,0.2644,0.4511,0.8838,0.7778,0.0078
9,0.7778,0.9585,0.7778,0.75,0.2934,0.4787,0.8943,0.7778,0.008
10,0.8,0.9659,0.8,0.7802,0.2539,0.4361,0.9193,0.8,0.0083
11,0.9111,0.983,0.9111,0.9107,0.1919,0.3665,0.9606,0.9111,0.0085
12,0.9333,0.9822,0.9333,0.9327,0.1882,0.3587,0.9565,0.9333,0.0076
13,0.9333,0.9852,0.9333,0.9333,0.1628,0.3247,0.969,0.9333,0.0083
14,0.9111,0.9874,0.9111,0.9107,0.1697,0.3348,0.9743,0.9111,0.008
15,0.9111,0.9881,0.9111,0.9107,0.161,0.3257,0.9787,0.9111,0.0083
16,0.9111,0.9933,0.9111,0.9111,0.1511,0.3153,0.9876,0.9111,0.0083
17,0.8889,0.9911,0.8889,0.8888,0.1582,0.3238,0.984,0.8889,0.0085
18,0.9111,0.9919,0.9111,0.9111,0.1513,0.3156,0.9852,0.9111,0.0085
19,0.9556,0.9941,0.9556,0.9554,0.1501,0.313,0.9889,0.9556,0.0088
20,0.9111,0.9941,0.9111,0.9111,0.1391,0.295,0.9892,0.9111,0.0078
21,0.9556,0.9948,0.9556,0.9554,0.1443,0.3049,0.9905,0.9556,0.0085
22,0.9111,0.9933,0.9111,0.9111,0.1402,0.2975,0.9876,0.9111,0.0081
23,0.9556,0.9948,0.9556,0.9556,0.1399,0.2995,0.9902,0.9556,0.0083
24,0.9333,0.9948,0.9333,0.9333,0.1381,0.2966,0.9902,0.9333,0.0088
25,0.9556,0.9956,0.9556,0.9556,0.1354,0.2929,0.9918,0.9556,0.0086
26,0.9333,0.9956,0.9333,0.9333,0.1342,0.2906,0.9918,0.9333,0.0089
27,0.9556,0.9956,0.9556,0.9556,0.1313,0.2858,0.9918,0.9556,0.0088
28,0.9333,0.9948,0.9333,0.9333,0.1268,0.2781,0.9902,0.9333,0.0082
29,0.9333,0.9963,0.9333,0.9333,0.1216,0.2691,0.993,0.9333,0.0083
30,0.9556,0.9963,0.9556,0.9556,0.1227,0.2706,0.993,0.9556,0.0091
31,0.9333,0.9963,0.9333,0.9333,0.1202,0.2656,0.993,0.9333,0.0093
32,0.9333,0.9963,0.9333,0.9333,0.1187,0.2624,0.993,0.9333,0.0094
33,0.9333,0.9963,0.9333,0.9333,0.109,0.2435,0.993,0.9333,0.009
34,0.9111,0.9941,0.9111,0.9111,0.1072,0.2384,0.9892,0.9111,0.0083
35,0.9333,0.9956,0.9333,0.9333,0.1052,0.2361,0.9918,0.9333,0.0086
36,0.9333,0.9956,0.9333,0.9333,0.1041,0.2337,0.9918,0.9333,0.0088
37,0.9333,0.9956,0.9333,0.9333,0.1026,0.2309,0.9918,0.9333,0.009
38,0.9333,0.9963,0.9333,0.9333,0.1013,0.2294,0.993,0.9333,0.0095
39,0.9333,0.9963,0.9333,0.9333,0.1002,0.2262,0.993,0.9333,0.0092
40,0.9333,0.9941,0.9333,0.9333,0.0998,0.2234,0.9892,0.9333,0.0089
