step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0025
1,0.6667,0.8207,0.6667,0.5556,0.5761,12.0342,0.7321,0.6667,0.0021
2,0.6667,0.8207,0.6667,0.5556,0.6158,12.0373,0.7321,0.6667,0.0021
3,0.6889,0.9059,0.6889,0.6023,0.3974,0.635,0.8681,0.6889,0.0021
4,0.8667,0.9422,0.8667,0.8661,0.3343,0.5324,0.8454,0.8667,0.002
5,0.8667,0.9281,0.8667,0.8661,0.3131,0.5115,0.8103,0.8667,0.002
6,0.6667,0.9467,0.6667,0.5896,0.33,0.5261,0.8473,0.6667,0.002
7,0.6667,0.9689,0.6667,0.5556,0.3576,0.555,0.9272,0.6667,0.0021
8,0.8,0.9978,0.8,0.7802,0.2958,0.4928,0.9955,0.8,0.0021
9,0.9778,0.9963,0.9778,0.9778,0.2778,0.4747,0.9926,0.9778,0.002
10,0.8444,0.9881,0.8444,0.8355,0.2875,0.4867,0.978,0.8444,0.002
11,0.8222,0.9778,0.8222,0.8086,0.2933,0.4916,0.9593,0.8222,0.002
12,0.8222,0.9756,0.8222,0.8086,0.2761,0.4698,0.9557,0.8222,0.002
13,0.8222,0.9748,0.8222,0.8086,0.2727,0.4647,0.9557,0.8222,0.002
14,0.8667,0.9644,0.8667,0.8611,0.2669,0.4608,0.938,0.8667,0.002
15,0.8667,0.9593,0.8667,0.8611,0.2675,0.4606,0.9305,0.8667,0.002
16,0.8222,0.9711,0.8222,0.8086,0.2803,0.4751,0.9478,0.8222,0.002
17,0.8222,0.9659,0.8222,0.8086,0.2879,0.4822,0.9402,0.8222,0.0021
18,0.8222,0.9674,0.8222,0.8086,0.2805,0.4728,0.9428,0.8222,0.002
19,0.8444,0.9726,0.8444,0.8355,0.2717,0.4648,0.9507,0.8444,0.002
20,0.8667,0.9681,0.8667,0.8611,0.2698,0.4632,0.9439,0.8667,0.002
21,0.8667,0.9681,0.8667,0.8611,0.266,0.4602,0.9439,0.8667,0.002
22,0.8667,0.9696,0.8667,0.8611,0.265,0.4604,0.9457,0.8667,0.002
23,0.8444,0.9615,0.8444,0.8355,0.2684,0.4631,0.934,0.8444,0.002
24,0.8444,0.9622,0.8444,0.8355,0.2682,0.4639,0.935,0.8444,0.002
25,0.8222,0.9681,0.8222,0.8086,0.2721,0.4678,0.9434,0.8222,0.002
26,0.8667,0.9719,0.8667,0.8611,0.2664,0.4626,0.9499,0.8667,0.002
27,0.8222,0.9696,0.8222,0.8086,0.2691,0.4652,0.9468,0.8222,0.002
28,0.8222,0.9689,0.8222,0.8086,0.2682,0.4634,0.9446,0.8222,0.0021
29,0.8667,0.9711,0.8667,0.8611,0.2656,0.4604,0.9491,0.8667,0.002
30,0.8667,0.9711,0.8667,0.8611,0.2666,0.4628,0.9493,0.8667,0.002
31,0.8889,0.9711,0.8889,0.8878,0.2669,0.4633,0.949,0.8889,0.002
32,0.8889,0.9704,0.8889,0.8878,0.2667,0.4631,0.9466,0.8889,0.002
33,0.8889,0.9696,0.8889,0.8878,0.2663,0.4621,0.9451,0.8889,0.002
34,0.8667,0.9696,0.8667,0.8611,0.2654,0.4608,0.945,0.8667,0.002
35,0.8667,0.9704,0.8667,0.8611,0.2659,0.4624,0.946,0.8667,0.002
36,0.8667,0.9667,0.8667,0.8661,0.2672,0.4626,0.9402,0.8667,0.002
37,0.8222,0.9637,0.8222,0.819,0.2674,0.463,0.9358,0.8222,0.002
38,0.8222,0.963,0.8222,0.8222,0.2655,0.4609,0.9347,0.8222,0.002
39,0.8444,0.9607,0.8444,0.8429,0.2642,0.4592,0.931,0.8444,0.002
40,0.8444,0.9578,0.8444,0.84,0.264,0.4585,0.9268,0.8444,0.002
41,0.8444,0.963,0.8444,0.8429,0.2636,0.4583,0.9345,0.8444,0.002
42,0.8444,0.9652,0.8444,0.84,0.2673,0.4634,0.9375,0.8444,0.002
43,0.8444,0.9637,0.8444,0.84,0.2669,0.4626,0.9368,0.8444,0.002
44,0.8444,0.9615,0.8444,0.84,0.2661,0.4613,0.9319,0.8444,0.0019
45,0.8667,0.9674,0.8667,0.8643,0.2666,0.4627,0.942,0.8667,0.002
46,0.8667,0.9674,0.8667,0.8643,0.2656,0.4604,0.9413,0.8667,0.002
47,0.8667,0.9667,0.8667,0.8643,0.2654,0.4604,0.9401,0.8667,0.002
48,0.8667,0.9667,0.8667,0.8611,0.2659,0.4607,0.9401,0.8667,0.002
49,0.8667,0.9674,0.8667,0.8611,0.2662,0.4619,0.9409,0.8667,0.002
50,0.8667,0.9667,0.8667,0.8611,0.2659,0.4613,0.9392,0.8667,0.0019
51,0.8667,0.9681,0.8667,0.8611,0.2698,0.4667,0.942,0.8667,0.002
52,0.8667,0.9681,0.8667,0.8611,0.2699,0.4667,0.942,0.8667,0.002
53,0.8667,0.9674,0.8667,0.8611,0.2681,0.4655,0.9409,0.8667,0.002
54,0.8444,0.9659,0.8444,0.84,0.268,0.4661,0.9398,0.8444,0.0021
55,0.8667,0.9644,0.8667,0.8611,0.2681,0.4659,0.9385,0.8667,0.002
56,0.8667,0.9652,0.8667,0.8611,0.2677,0.4653,0.9391,0.8667,0.002
57,0.8667,0.9689,0.8667,0.8611,0.2703,0.4685,0.9456,0.8667,0.002
58,0.8667,0.9681,0.8667,0.8611,0.27,0.4682,0.9434,0.8667,0.002
59,0.8667,0.9681,0.8667,0.8611,0.2687,0.468,0.9439,0.8667,0.002
