step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0338
1,0.6667,0.6741,0.6667,0.5556,0.6704,12.1014,0.5539,0.6667,0.0057
2,0.6667,0.6741,0.6667,0.5556,0.6695,12.1095,0.5539,0.6667,0.0053
3,0.6667,0.6741,0.6667,0.5556,0.6689,12.0925,0.5539,0.6667,0.0063
4,0.7556,0.9756,0.7556,0.7176,0.2779,0.4531,0.9442,0.7556,0.0055
5,0.7333,0.9726,0.7333,0.6825,0.3067,0.4887,0.9424,0.7333,0.0053
6,0.8667,0.9889,0.8667,0.8611,0.2667,0.4547,0.9785,0.8667,0.0055
7,0.8667,0.9844,0.8667,0.8611,0.2606,0.4481,0.9689,0.8667,0.0056
8,0.8,0.9822,0.8,0.7802,0.2731,0.4565,0.9658,0.8,0.0056
9,0.9111,0.983,0.9111,0.9095,0.2285,0.4112,0.9675,0.9111,0.0053
10,0.8889,0.9815,0.8889,0.8888,0.2161,0.3976,0.9652,0.8889,0.0054
11,0.9111,0.9837,0.9111,0.9095,0.2261,0.4123,0.969,0.9111,0.0058
12,0.8889,0.9822,0.8889,0.8888,0.2339,0.4262,0.9664,0.8889,0.0052
13,0.9111,0.9807,0.9111,0.9107,0.2273,0.4171,0.9636,0.9111,0.0058
14,0.9111,0.98,0.9111,0.9107,0.2252,0.4139,0.9622,0.9111,0.0054
15,0.8889,0.9778,0.8889,0.8888,0.2278,0.4174,0.9585,0.8889,0.0058
16,0.8889,0.977,0.8889,0.8888,0.2195,0.4051,0.957,0.8889,0.0057
17,0.8889,0.9815,0.8889,0.8878,0.2294,0.42,0.9655,0.8889,0.0058
18,0.8889,0.9807,0.8889,0.8878,0.2251,0.4128,0.963,0.8889,0.0062
19,0.9111,0.9807,0.9111,0.9095,0.2288,0.4176,0.963,0.9111,0.0064
20,0.8889,0.9837,0.8889,0.8857,0.247,0.437,0.969,0.8889,0.0076
21,0.9111,0.9822,0.9111,0.9095,0.2398,0.4314,0.9657,0.9111,0.0069
22,0.9111,0.983,0.9111,0.9095,0.2361,0.425,0.9665,0.9111,0.0066
23,0.9111,0.98,0.9111,0.9095,0.2376,0.4267,0.9622,0.9111,0.0073
24,0.9111,0.9807,0.9111,0.9095,0.2353,0.4227,0.9636,0.9111,0.0073
25,0.8889,0.9793,0.8889,0.8878,0.227,0.4142,0.9615,0.8889,0.0073
26,0.9111,0.98,0.9111,0.9111,0.2299,0.4189,0.9625,0.9111,0.008
27,0.9111,0.9807,0.9111,0.9111,0.2274,0.4153,0.9632,0.9111,0.0075
28,0.9111,0.98,0.9111,0.9111,0.2263,0.4128,0.9622,0.9111,0.0079
