step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0063
1,0.6667,0.7593,0.6667,0.5556,0.6682,12.2854,0.6183,0.6667,0.1169
2,0.7333,0.8344,0.7333,0.6825,0.4583,0.7884,0.7576,0.7333,0.1233
3,0.9111,0.9463,0.9111,0.9118,0.3021,0.5328,0.9098,0.9111,0.1277
4,0.9111,0.9948,0.9111,0.9123,0.2932,0.49,0.9904,0.9111,0.1259
5,0.8444,0.997,0.8444,0.8421,0.3246,0.5065,0.9929,0.8444,0.1244
6,0.8667,0.9956,0.8667,0.8663,0.2843,0.4509,0.9918,0.8667,0.1245
7,0.9333,0.9956,0.9333,0.9327,0.1584,0.3064,0.9918,0.9333,0.1286
8,0.9556,0.9985,0.9556,0.9554,0.1085,0.2468,0.9972,0.9556,0.1275
9,0.8667,0.9837,0.8667,0.8643,0.1549,0.2934,0.9746,0.8667,0.1301
10,0.9778,0.9815,0.9778,0.9778,0.14,0.2961,0.9777,0.9778,0.1257
11,0.9333,0.9756,0.9333,0.9327,0.1442,0.2962,0.9691,0.9333,0.1278
12,0.9556,0.9756,0.9556,0.9556,0.1179,0.2604,0.9692,0.9556,0.1319
13,0.9556,0.983,0.9556,0.9556,0.1184,0.252,0.98,0.9556,0.1319
14,0.9556,0.9911,0.9556,0.9556,0.0968,0.207,0.9836,0.9556,0.1357
15,0.9556,0.9737,0.9556,0.9556,0.129,0.2664,0.9586,0.9556,0.1362
16,0.9556,0.98,0.9556,0.9556,0.106,0.2235,0.9707,0.9556,0.1261
17,0.9556,0.9822,0.9556,0.9556,0.1047,0.2242,0.9759,0.9556,0.1298
18,0.9556,0.9748,0.9556,0.9556,0.1094,0.2386,0.9543,0.9556,0.131
19,0.9556,0.9804,0.9556,0.9556,0.101,0.2196,0.9729,0.9556,0.132
20,0.9556,0.9744,0.9556,0.9556,0.1024,0.2157,0.9529,0.9556,0.1289
21,0.9556,0.9733,0.9556,0.9556,0.1235,0.2513,0.9498,0.9556,0.1335
22,0.9556,0.9763,0.9556,0.9556,0.1129,0.2285,0.9511,0.9556,0.1251
23,0.9556,0.9815,0.9556,0.9556,0.1124,0.2256,0.9668,0.9556,0.1294
24,0.9556,0.9722,0.9556,0.9556,0.1087,0.2357,0.9525,0.9556,0.1254
25,0.9556,0.9867,0.9556,0.9556,0.0976,0.1986,0.975,0.9556,0.1285
26,0.9556,0.9837,0.9556,0.9556,0.1048,0.2178,0.9722,0.9556,0.1228
27,0.9556,0.9881,0.9556,0.9556,0.09,0.1918,0.9796,0.9556,0.126
28,0.9556,0.99,0.9556,0.9556,0.0923,0.1873,0.9817,0.9556,0.1265
29,0.9556,0.9874,0.9556,0.9556,0.0959,0.1872,0.9769,0.9556,0.1245
30,0.9556,0.9826,0.9556,0.9556,0.0984,0.1909,0.9636,0.9556,0.1308
31,0.9556,0.9919,0.9556,0.9556,0.0901,0.1719,0.9836,0.9556,0.1229
32,0.9556,0.9926,0.9556,0.9556,0.0828,0.1577,0.9865,0.9556,0.1306
33,0.9556,0.9881,0.9556,0.9556,0.0972,0.1936,0.9787,0.9556,0.1257
34,0.9556,0.9893,0.9556,0.9556,0.0932,0.17,0.9802,0.9556,0.138
35,0.9556,0.99,0.9556,0.9556,0.0921,0.1779,0.9817,0.9556,0.1318
36,0.9556,0.987,0.9556,0.9556,0.1013,0.1936,0.9768,0.9556,0.1375
37,0.9556,0.9922,0.9556,0.9556,0.0859,0.153,0.9844,0.9556,0.1321
38,0.9556,0.9904,0.9556,0.9556,0.0873,0.1586,0.9829,0.9556,0.1337
39,0.9556,0.9911,0.9556,0.9556,0.0873,0.1593,0.9836,0.9556,0.1333
40,0.9556,0.9911,0.9556,0.9556,0.0904,0.1666,0.9836,0.9556,0.1301
41,0.9556,0.9867,0.9556,0.9556,0.097,0.1766,0.9758,0.9556,0.1333
42,0.9556,0.9874,0.9556,0.9556,0.097,0.1663,0.9782,0.9556,0.1326
43,0.9556,0.99,0.9556,0.9556,0.095,0.1701,0.9803,0.9556,0.1359
44,0.9556,0.9911,0.9556,0.9556,0.0888,0.153,0.9836,0.9556,0.1324
45,0.9556,0.9904,0.9556,0.9556,0.0971,0.1707,0.9829,0.9556,0.1328
46,0.9556,0.9896,0.9556,0.9556,0.0987,0.174,0.98,0.9556,0.1345
47,0.9556,0.9867,0.9556,0.9556,0.1049,0.1916,0.9752,0.9556,0.1355
48,0.9556,0.9885,0.9556,0.9556,0.0923,0.1671,0.9793,0.9556,0.136
49,0.9556,0.9904,0.9556,0.9556,0.0875,0.1532,0.983,0.9556,0.1367
50,0.9556,0.9889,0.9556,0.9556,0.0936,0.1651,0.9801,0.9556,0.1292
51,0.9556,0.9885,0.9556,0.9556,0.0985,0.1785,0.9788,0.9556,0.14
52,0.9556,0.9904,0.9556,0.9556,0.0925,0.1569,0.983,0.9556,0.1281
53,0.9556,0.9852,0.9556,0.9556,0.1076,0.2083,0.975,0.9556,0.1365
54,0.9556,0.9904,0.9556,0.9556,0.0901,0.1558,0.9829,0.9556,0.1332
55,0.9556,0.9867,0.9556,0.9556,0.1029,0.1817,0.9752,0.9556,0.1315
56,0.9556,0.9885,0.9556,0.9556,0.0996,0.1891,0.9781,0.9556,0.1363
57,0.9556,0.99,0.9556,0.9556,0.0834,0.1719,0.9808,0.9556,0.1301
58,0.9556,0.9904,0.9556,0.9556,0.0946,0.1627,0.9829,0.9556,0.1363
59,0.9556,0.9911,0.9556,0.9556,0.0895,0.1511,0.9836,0.9556,0.1314
