step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.346,0.819,0.346,0.3142,0.8288,4.9489,0.3552,0.3466,0.0182
1,0.4095,0.874,0.4095,0.3948,0.7726,2.2577,0.417,0.4098,2.0892
2,0.4637,0.9018,0.4637,0.4532,0.7048,1.9849,0.4812,0.4618,2.2524
3,0.4933,0.9137,0.4933,0.4789,0.6743,1.8791,0.5166,0.4918,2.467
4,0.5313,0.9216,0.5313,0.5185,0.6447,1.7764,0.5385,0.5305,2.6795
5,0.5475,0.9339,0.5475,0.5423,0.6241,1.6253,0.5711,0.5468,2.6132
6,0.5487,0.9403,0.5487,0.5427,0.6135,1.5858,0.5743,0.5477,2.7878
7,0.5973,0.947,0.5973,0.5867,0.5618,1.4555,0.6223,0.5959,2.8399
8,0.5948,0.9471,0.5948,0.5844,0.5597,1.4456,0.6252,0.5935,3.006
9,0.6093,0.9502,0.6093,0.6006,0.5434,1.3942,0.6407,0.6075,3.1851
10,0.611,0.9538,0.611,0.6025,0.5357,1.3646,0.6521,0.609,3.6557
11,0.6278,0.9555,0.6278,0.6185,0.5251,1.3375,0.6549,0.6257,3.6392
12,0.64,0.9573,0.64,0.6281,0.5178,1.2966,0.663,0.6377,3.5352
13,0.6403,0.9603,0.6403,0.6297,0.5171,1.2677,0.6715,0.638,4.0089
14,0.6445,0.9623,0.6445,0.6354,0.5104,1.2424,0.6759,0.6425,3.9324
15,0.6467,0.9636,0.6467,0.6374,0.5069,1.2311,0.6781,0.645,4.4554
16,0.6435,0.9656,0.6435,0.6324,0.5034,1.2096,0.6785,0.6414,4.3761
17,0.6533,0.966,0.6533,0.6445,0.4993,1.1999,0.6834,0.6516,4.6186
18,0.67,0.9679,0.67,0.6629,0.4824,1.1571,0.7037,0.668,4.7947
19,0.6747,0.9677,0.6747,0.6685,0.4747,1.1443,0.7119,0.6727,4.899
20,0.6752,0.968,0.6752,0.6682,0.4738,1.1415,0.7139,0.6732,5.1233
21,0.6638,0.9715,0.6638,0.6572,0.477,1.1274,0.7107,0.6619,5.1587
22,0.6697,0.972,0.6697,0.6635,0.4719,1.1154,0.7169,0.6679,5.4583
23,0.677,0.973,0.677,0.6725,0.4663,1.0997,0.7211,0.6755,5.8381
24,0.671,0.9728,0.671,0.6659,0.4665,1.1006,0.7175,0.6693,5.9586
25,0.6747,0.9732,0.6747,0.6679,0.4636,1.0934,0.7192,0.6729,6.0202
26,0.6773,0.9735,0.6773,0.6697,0.4647,1.0925,0.7211,0.6755,6.1628
27,0.6748,0.9733,0.6748,0.6685,0.4681,1.099,0.7182,0.6732,6.3219
28,0.6757,0.9734,0.6757,0.6683,0.4662,1.0952,0.72,0.6738,6.8751
29,0.678,0.9738,0.678,0.671,0.4651,1.0893,0.7209,0.6762,6.8517
30,0.6813,0.9737,0.6813,0.6743,0.4633,1.085,0.7225,0.6794,6.815
31,0.6813,0.9742,0.6813,0.6751,0.461,1.0783,0.7255,0.6795,7.2812
32,0.6788,0.9741,0.6788,0.6722,0.4636,1.0819,0.7221,0.677,7.6544
33,0.6787,0.9743,0.6787,0.6729,0.4639,1.0798,0.725,0.6771,7.4235
34,0.6765,0.9741,0.6765,0.6695,0.4672,1.0854,0.7204,0.6748,7.8461
35,0.682,0.9747,0.682,0.6743,0.4629,1.078,0.7245,0.6802,8.0495
36,0.68,0.975,0.68,0.6715,0.4626,1.0754,0.7248,0.6781,8.5
37,0.6832,0.9751,0.6832,0.6755,0.4601,1.0694,0.727,0.6814,8.7921
38,0.6835,0.9752,0.6835,0.6756,0.4603,1.0691,0.7283,0.6816,8.3641
39,0.6802,0.975,0.6802,0.672,0.4615,1.0722,0.7257,0.6783,9.0626
40,0.6823,0.975,0.6823,0.6733,0.4611,1.0718,0.7269,0.6804,8.762
41,0.6815,0.9751,0.6815,0.6729,0.4612,1.0709,0.7265,0.6795,9.468
42,0.6825,0.975,0.6825,0.674,0.4616,1.0713,0.7261,0.6805,9.4138
43,0.6862,0.9752,0.6862,0.6768,0.4585,1.0652,0.7285,0.6841,9.3817
44,0.6902,0.9754,0.6902,0.6796,0.4569,1.0612,0.7297,0.688,9.7705
45,0.6912,0.9754,0.6912,0.6822,0.4548,1.0575,0.7325,0.6891,10.1129
46,0.692,0.9753,0.692,0.6836,0.4552,1.0583,0.7327,0.6899,10.0465
47,0.6898,0.9753,0.6898,0.6815,0.4561,1.0593,0.7308,0.6877,10.4135
48,0.6885,0.9752,0.6885,0.6793,0.4564,1.0602,0.7305,0.6863,10.9501
49,0.6902,0.9753,0.6902,0.6809,0.455,1.0578,0.7322,0.6879,10.7988
50,0.6902,0.9754,0.6902,0.6804,0.4556,1.0587,0.7319,0.688,10.7833
51,0.6947,0.9753,0.6947,0.6852,0.4552,1.0577,0.7319,0.6924,11.581
52,0.6923,0.9753,0.6923,0.6831,0.4542,1.0563,0.7325,0.6901,11.3542
53,0.6912,0.9754,0.6912,0.682,0.4547,1.0561,0.7309,0.6889,11.7015
54,0.6898,0.9753,0.6898,0.6808,0.4557,1.0575,0.7297,0.6875,11.5925
55,0.6943,0.9755,0.6943,0.6858,0.4531,1.0524,0.7323,0.692,12.056
56,0.6973,0.9756,0.6973,0.6894,0.4505,1.047,0.7336,0.695,12.8611
57,0.6977,0.9757,0.6977,0.6895,0.4499,1.0453,0.7341,0.6954,12.1085
58,0.6973,0.9758,0.6973,0.6891,0.448,1.0414,0.7365,0.695,13.0573
59,0.7012,0.976,0.7012,0.6937,0.4452,1.0352,0.7399,0.6989,12.7058
