step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0397,0.5,0.0397,0.0029,1.9207,34.6139,0.0385,0.0385,0.0401
1,0.0395,0.5071,0.0395,0.006,1.785,33.3501,0.0424,0.0402,0.0383
2,0.0467,0.5097,0.0467,0.0134,1.7177,33.3203,0.0464,0.0472,0.0403
3,0.0468,0.5177,0.0468,0.0155,1.7117,32.038,0.0486,0.0473,0.0403
4,0.0493,0.5302,0.0493,0.0199,1.6574,30.7218,0.0549,0.0498,0.045
5,0.056,0.5342,0.056,0.0217,1.6346,30.7002,0.059,0.0562,0.059
6,0.0573,0.5458,0.0573,0.0247,1.5827,29.4638,0.0642,0.0576,0.0568
7,0.0592,0.5459,0.0592,0.0274,1.551,29.4326,0.0653,0.0594,0.0569
8,0.0675,0.5488,0.0675,0.0366,1.5285,29.4138,0.0703,0.0675,0.0554
9,0.0685,0.5481,0.0685,0.0338,1.5256,29.4191,0.0678,0.0684,0.0607
10,0.0707,0.5488,0.0707,0.0336,1.5206,29.4088,0.0681,0.0705,0.06
11,0.0743,0.5559,0.0743,0.0393,1.4836,28.2004,0.0701,0.0743,0.0568
12,0.0743,0.5624,0.0743,0.0383,1.4627,26.9935,0.0702,0.0743,0.0602
13,0.0747,0.5623,0.0747,0.0385,1.4495,26.9801,0.0698,0.0746,0.0675
14,0.0755,0.5624,0.0755,0.0367,1.4622,27.0073,0.0727,0.0752,0.0645
15,0.076,0.5597,0.076,0.0358,1.4575,25.8484,0.0719,0.0757,0.0654
16,0.076,0.56,0.076,0.0377,1.4569,25.8119,0.0715,0.0757,0.0654
17,0.0785,0.5594,0.0785,0.0392,1.4363,25.818,0.0713,0.0782,0.0677
18,0.0882,0.5625,0.0882,0.04,1.2661,25.6842,0.0689,0.0875,0.0678
19,0.1017,0.5702,0.1017,0.0499,1.2234,25.6064,0.0791,0.101,0.071
20,0.1003,0.5774,0.1003,0.0518,1.1962,24.3731,0.0806,0.1001,0.0678
21,0.1088,0.5784,0.1088,0.0546,1.1683,24.3607,0.0855,0.1084,0.0683
22,0.1098,0.585,0.1098,0.0576,1.1491,23.1177,0.0879,0.1094,0.0734
23,0.111,0.5931,0.111,0.0607,1.1408,21.9353,0.0925,0.1107,0.0702
24,0.11,0.5937,0.11,0.0597,1.1433,21.9515,0.0924,0.1097,0.0661
25,0.1227,0.6085,0.1227,0.0727,1.1202,20.6418,0.1037,0.1221,0.0715
26,0.1232,0.6072,0.1232,0.0751,1.1181,20.6192,0.1051,0.1226,0.0754
27,0.1247,0.6196,0.1247,0.0796,1.103,19.362,0.1119,0.1242,0.0672
28,0.1267,0.6213,0.1267,0.0819,1.1005,19.354,0.1131,0.1262,0.0713
29,0.136,0.6252,0.136,0.0881,1.0843,19.3193,0.1207,0.1359,0.0697
30,0.1462,0.6417,0.1462,0.1014,1.0708,17.984,0.1347,0.1456,0.0703
31,0.1562,0.6499,0.1562,0.1121,1.0594,17.9312,0.1456,0.1555,0.0718
32,0.1552,0.6497,0.1552,0.1131,1.0627,17.9332,0.145,0.1545,0.0705
33,0.1563,0.6536,0.1563,0.1139,1.0577,16.8042,0.1484,0.1556,0.0684
34,0.1577,0.6618,0.1577,0.1178,1.0567,15.5132,0.1547,0.1569,0.0716
35,0.1615,0.6738,0.1615,0.1244,1.0565,15.5034,0.1691,0.1612,0.0712
36,0.1612,0.6782,0.1612,0.1238,1.0589,15.4974,0.1694,0.1609,0.0702
37,0.1672,0.6798,0.1672,0.1305,1.0578,15.5112,0.1728,0.167,0.0779
38,0.1692,0.6885,0.1692,0.1323,1.0603,14.3667,0.1757,0.169,0.0717
39,0.1693,0.6886,0.1693,0.1331,1.0597,14.3642,0.1764,0.169,0.0748
40,0.173,0.6925,0.173,0.1399,1.054,13.1378,0.1795,0.1727,0.0785
41,0.1697,0.6918,0.1697,0.1358,1.0565,13.1644,0.1809,0.1693,0.0765
42,0.1842,0.6967,0.1842,0.1426,1.0413,13.1426,0.1922,0.1847,0.0726
43,0.1882,0.7111,0.1882,0.15,1.008,11.8846,0.2158,0.1893,0.0791
44,0.191,0.7117,0.191,0.1533,1.0063,11.8788,0.2161,0.1922,0.0765
45,0.1768,0.7111,0.1768,0.1404,1.0287,11.9233,0.2072,0.1783,0.0817
46,0.1772,0.7149,0.1772,0.1429,1.0229,11.8785,0.2101,0.1787,0.08
47,0.1842,0.7192,0.1842,0.147,1.0129,11.8623,0.2185,0.1856,0.0766
48,0.1952,0.7222,0.1952,0.1529,1.005,11.8466,0.2234,0.1962,0.0804
49,0.2033,0.7257,0.2033,0.1532,0.997,11.8565,0.2329,0.2039,0.0766
50,0.2068,0.7268,0.2068,0.1569,0.9827,11.8399,0.2355,0.2072,0.0775
51,0.2053,0.739,0.2053,0.1555,0.981,10.574,0.2398,0.2057,0.0805
52,0.2065,0.741,0.2065,0.1569,0.9804,10.5532,0.2414,0.2069,0.0799
53,0.2158,0.743,0.2158,0.1635,0.9782,10.5834,0.2455,0.2168,0.0719
54,0.2185,0.7429,0.2185,0.1651,0.9783,10.5788,0.2434,0.2194,0.0827
55,0.2205,0.7424,0.2205,0.1679,0.9765,10.576,0.2439,0.2214,0.076
56,0.2185,0.7396,0.2185,0.1666,0.9772,10.5729,0.2416,0.2194,0.0799
