step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3107,0.7597,0.3107,0.2482,0.8355,11.2657,0.34,0.309,0.1235
1,0.4148,0.8619,0.4148,0.3533,0.7315,3.4901,0.4578,0.4139,0.1008
2,0.4808,0.8915,0.4808,0.4347,0.6622,3.2309,0.5537,0.4792,0.1066
3,0.5108,0.9088,0.5108,0.4623,0.6222,3.0638,0.5971,0.5098,0.1137
4,0.5467,0.9215,0.5467,0.5047,0.5981,1.901,0.6115,0.5458,0.1104
5,0.5567,0.9416,0.5567,0.5156,0.5737,1.5999,0.6389,0.5559,0.1154
6,0.565,0.9457,0.565,0.5278,0.5596,1.5437,0.6487,0.5639,0.1169
7,0.5977,0.9498,0.5977,0.5676,0.5397,1.4741,0.6706,0.596,0.1175
8,0.6045,0.9536,0.6045,0.578,0.5238,1.4078,0.6758,0.6027,0.1302
9,0.608,0.954,0.608,0.5805,0.5184,1.3985,0.674,0.6061,0.1202
10,0.6268,0.9578,0.6268,0.6045,0.5053,1.3418,0.6864,0.6251,0.1238
11,0.6437,0.9609,0.6437,0.6257,0.4956,1.287,0.6945,0.642,0.1291
12,0.6432,0.962,0.6432,0.6266,0.4928,1.2689,0.693,0.6413,0.1255
13,0.6453,0.9617,0.6453,0.6281,0.4949,1.2671,0.6895,0.6434,0.1306
14,0.657,0.9637,0.657,0.6418,0.4836,1.23,0.7007,0.6552,0.1307
15,0.659,0.9645,0.659,0.6458,0.4844,1.2153,0.6993,0.6573,0.1302
16,0.6602,0.9644,0.6602,0.6471,0.4814,1.2037,0.6995,0.6584,0.135
17,0.6618,0.9642,0.6618,0.6495,0.4806,1.2015,0.7015,0.6602,0.1379
18,0.6605,0.9649,0.6605,0.6499,0.4774,1.1895,0.7029,0.6588,0.1361
19,0.6612,0.9653,0.6612,0.6495,0.4766,1.1826,0.7033,0.6594,0.1426
20,0.6592,0.9673,0.6592,0.647,0.4741,1.1682,0.7053,0.6572,0.1393
21,0.6602,0.9678,0.6602,0.6484,0.4717,1.1616,0.7051,0.6581,0.141
22,0.661,0.9681,0.661,0.6481,0.4692,1.155,0.7072,0.659,0.1483
23,0.6643,0.9689,0.6643,0.6532,0.4658,1.1448,0.7116,0.6625,0.1463
24,0.6677,0.9697,0.6677,0.658,0.462,1.1331,0.718,0.6659,0.1478
25,0.6738,0.9701,0.6738,0.6646,0.4583,1.1225,0.7216,0.672,0.1517
26,0.6698,0.97,0.6698,0.6599,0.4599,1.1249,0.7188,0.6679,0.1516
27,0.6785,0.9703,0.6785,0.6701,0.4563,1.1157,0.7228,0.6768,0.1565
28,0.6773,0.9704,0.6773,0.6683,0.4556,1.1111,0.7245,0.6755,0.1575
29,0.6825,0.971,0.6825,0.6732,0.4522,1.1011,0.7279,0.6806,0.1545
30,0.6812,0.971,0.6812,0.6721,0.4531,1.1002,0.7267,0.6792,0.1579
31,0.6812,0.9713,0.6812,0.673,0.4523,1.0958,0.7274,0.6794,0.1575
32,0.6832,0.972,0.6832,0.6748,0.4501,1.0881,0.7306,0.6813,0.1521
33,0.686,0.9721,0.686,0.677,0.4487,1.0836,0.7314,0.6841,0.1562
34,0.6872,0.9723,0.6872,0.6785,0.4471,1.0788,0.7329,0.6853,0.147
35,0.687,0.9732,0.687,0.6785,0.446,1.072,0.7339,0.6852,0.1537
36,0.6853,0.9736,0.6853,0.6769,0.4451,1.0675,0.7359,0.6836,0.1503
37,0.6867,0.9739,0.6867,0.6786,0.4443,1.0635,0.7375,0.6849,0.1547
38,0.6878,0.974,0.6878,0.6798,0.4427,1.0602,0.739,0.6861,0.1518
39,0.6878,0.9742,0.6878,0.6813,0.4418,1.0558,0.7398,0.6863,0.1518
40,0.6925,0.9745,0.6925,0.6867,0.4393,1.0503,0.7434,0.6909,0.1633
41,0.6928,0.9747,0.6928,0.687,0.4392,1.0472,0.744,0.6912,0.1585
42,0.691,0.9746,0.691,0.6846,0.4392,1.0475,0.7426,0.6894,0.1514
43,0.6915,0.9746,0.6915,0.6853,0.4388,1.0458,0.7427,0.6898,0.1567
44,0.6943,0.9748,0.6943,0.688,0.4374,1.0421,0.7439,0.6927,0.1383
45,0.6958,0.9747,0.6958,0.6893,0.4367,1.0421,0.7435,0.6942,0.1393
46,0.6967,0.9747,0.6967,0.6905,0.435,1.0384,0.7451,0.695,0.1398
47,0.6962,0.9749,0.6962,0.6899,0.434,1.0351,0.746,0.6945,0.1425
48,0.695,0.9749,0.695,0.6885,0.4327,1.032,0.7465,0.6934,0.1436
49,0.6952,0.9749,0.6952,0.6886,0.4336,1.0328,0.7457,0.6936,0.1475
50,0.6955,0.9751,0.6955,0.6895,0.4332,1.0314,0.7471,0.694,0.1505
51,0.6947,0.9753,0.6947,0.6884,0.4322,1.0286,0.7488,0.6932,0.1563
52,0.6945,0.9752,0.6945,0.6885,0.4322,1.0273,0.7484,0.693,0.1583
53,0.6957,0.9752,0.6957,0.6905,0.4313,1.0257,0.7485,0.6942,0.1596
54,0.6952,0.9753,0.6952,0.6901,0.4305,1.0239,0.7488,0.6937,0.1614
55,0.697,0.9755,0.697,0.6911,0.4312,1.0229,0.7481,0.6954,0.1619
56,0.7002,0.9759,0.7002,0.6947,0.4299,1.0183,0.7507,0.6987,0.1615
57,0.7007,0.9758,0.7007,0.6959,0.4302,1.0185,0.7494,0.6992,0.1646
58,0.7007,0.9759,0.7007,0.696,0.4285,1.0148,0.751,0.6992,0.165
59,0.7013,0.9759,0.7013,0.6969,0.4289,1.0148,0.7507,0.6999,0.1682
