step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.074,0.5608,0.074,0.0528,1.3073,25.6249,0.0795,0.0751,8.2979
1,0.1647,0.6598,0.1647,0.1476,1.0252,16.513,0.1864,0.1652,3.883
2,0.202,0.7048,0.202,0.1852,0.9475,13.9206,0.2319,0.2012,3.8714
3,0.2583,0.7419,0.2583,0.2299,0.8791,11.2873,0.2912,0.2572,3.7212
4,0.3043,0.7711,0.3043,0.2549,0.8525,10.0139,0.3361,0.3041,3.7315
5,0.3502,0.7848,0.3502,0.2995,0.8117,9.865,0.3778,0.3498,3.8189
6,0.3565,0.7866,0.3565,0.3064,0.802,9.8388,0.3784,0.3557,4.0175
7,0.373,0.8096,0.373,0.3215,0.7857,8.4787,0.4073,0.3725,3.9625
8,0.3878,0.8157,0.3878,0.3254,0.7615,8.4214,0.4289,0.3872,3.9871
9,0.398,0.843,0.398,0.3348,0.7454,5.9753,0.4484,0.398,3.9832
10,0.4025,0.8435,0.4025,0.3397,0.7494,5.9899,0.4507,0.4021,4.0058
11,0.4005,0.8609,0.4005,0.3409,0.7521,4.7644,0.4533,0.4005,4.0269
12,0.4385,0.8738,0.4385,0.3882,0.714,4.5385,0.4893,0.4389,3.9799
13,0.4405,0.877,0.4405,0.3947,0.7066,4.5099,0.4946,0.4411,4.0741
14,0.4582,0.8962,0.4582,0.4165,0.69,3.2217,0.5234,0.4588,3.9779
15,0.46,0.8986,0.46,0.4214,0.683,3.1863,0.5316,0.4605,4.0328
16,0.4725,0.9051,0.4725,0.4409,0.6617,3.0751,0.5607,0.4731,3.9932
17,0.4955,0.9051,0.4955,0.4704,0.6436,3.021,0.5692,0.4954,4.1294
18,0.4942,0.9225,0.4942,0.4676,0.6392,1.813,0.5769,0.4933,4.099
19,0.5085,0.925,0.5085,0.4855,0.6295,1.7813,0.5908,0.508,4.1156
20,0.5058,0.9236,0.5058,0.4818,0.6304,1.7853,0.5867,0.5054,4.1272
21,0.5058,0.9242,0.5058,0.4789,0.6215,1.7526,0.5826,0.5053,4.1548
22,0.5045,0.9258,0.5045,0.4734,0.6245,1.7578,0.58,0.5041,4.1358
23,0.5068,0.9259,0.5068,0.477,0.6241,1.7654,0.5833,0.5068,4.1403
24,0.504,0.9243,0.504,0.4751,0.6259,1.7774,0.5808,0.5038,4.1811
25,0.5122,0.9304,0.5122,0.4857,0.6195,1.7239,0.5934,0.512,4.1937
26,0.5308,0.9353,0.5308,0.506,0.6043,1.6584,0.6066,0.5296,4.2424
27,0.5318,0.9374,0.5318,0.5061,0.6026,1.6466,0.6084,0.5303,4.238
28,0.5392,0.9391,0.5392,0.5162,0.5927,1.6109,0.6162,0.5376,4.2792
29,0.5493,0.9389,0.5493,0.526,0.5863,1.5998,0.6235,0.5476,4.2274
30,0.5517,0.9397,0.5517,0.5323,0.5838,1.5842,0.6277,0.55,4.2448
31,0.557,0.9405,0.557,0.5361,0.58,1.5789,0.6311,0.5553,4.3338
32,0.5697,0.9425,0.5697,0.547,0.5723,1.5573,0.638,0.568,4.291
33,0.5742,0.9436,0.5742,0.5531,0.5691,1.5313,0.6401,0.5726,4.3606
34,0.5717,0.9436,0.5717,0.5495,0.5674,1.531,0.6429,0.5701,4.348
35,0.5705,0.9436,0.5705,0.5485,0.5688,1.535,0.6432,0.569,4.3888
36,0.5737,0.9472,0.5737,0.5533,0.5682,1.5058,0.6471,0.5722,4.2303
37,0.572,0.9477,0.572,0.5546,0.568,1.4914,0.6474,0.5706,4.1505
38,0.5693,0.9489,0.5693,0.5549,0.5685,1.4796,0.6479,0.5679,4.1996
39,0.5738,0.9492,0.5738,0.5586,0.5654,1.4739,0.6481,0.5725,4.2037
40,0.5773,0.9509,0.5773,0.5609,0.5615,1.4627,0.6506,0.5759,4.2821
41,0.5822,0.9529,0.5822,0.5684,0.5537,1.4277,0.6601,0.5809,4.5292
42,0.5838,0.9534,0.5838,0.5707,0.5517,1.4218,0.6613,0.5825,4.2955
43,0.5932,0.9542,0.5932,0.5792,0.5454,1.4045,0.6672,0.5916,4.2314
44,0.6007,0.9552,0.6007,0.5857,0.538,1.3867,0.6726,0.599,4.2717
45,0.604,0.9558,0.604,0.5896,0.536,1.3802,0.6724,0.6021,4.3122
46,0.6075,0.956,0.6075,0.5928,0.5324,1.3719,0.6748,0.6058,4.4902
47,0.6097,0.956,0.6097,0.5976,0.5304,1.3694,0.6749,0.6078,4.4398
48,0.6145,0.9563,0.6145,0.6017,0.5286,1.3641,0.6759,0.6126,4.3269
49,0.6137,0.9572,0.6137,0.5999,0.5262,1.3524,0.6768,0.6119,4.3306
50,0.6165,0.9577,0.6165,0.6021,0.5242,1.3465,0.678,0.6145,4.4022
51,0.6168,0.9579,0.6168,0.6026,0.5228,1.3404,0.6769,0.615,4.3438
52,0.6203,0.9578,0.6203,0.6084,0.5184,1.3324,0.6803,0.6185,4.41
53,0.6183,0.958,0.6183,0.6063,0.5185,1.3301,0.6787,0.6165,4.434
54,0.619,0.9586,0.619,0.6067,0.517,1.3223,0.6822,0.6172,4.4665
55,0.6183,0.9588,0.6183,0.6062,0.5164,1.3198,0.6819,0.6166,4.445
56,0.6212,0.9592,0.6212,0.6098,0.5156,1.3088,0.6825,0.6195,4.4232
57,0.623,0.9605,0.623,0.6122,0.5135,1.2976,0.6847,0.6213,4.4243
58,0.6272,0.9608,0.6272,0.614,0.5099,1.289,0.6879,0.6252,4.4523
59,0.6263,0.9609,0.6263,0.6128,0.5096,1.287,0.6875,0.6244,4.5718
