step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4152,0.831,0.4152,0.37,0.7513,7.0128,0.4218,0.4118,0.3746
1,0.5082,0.8963,0.5082,0.4786,0.6593,3.0852,0.5247,0.5037,0.4003
2,0.5803,0.9287,0.5803,0.5605,0.5826,1.6481,0.5933,0.577,0.4839
3,0.6222,0.9381,0.6222,0.6117,0.5361,1.4987,0.6474,0.6204,0.5571
4,0.6317,0.9475,0.6317,0.6173,0.5181,1.3966,0.6663,0.6296,0.6199
5,0.653,0.9546,0.653,0.6423,0.4961,1.3098,0.691,0.6507,0.6702
6,0.6718,0.9583,0.6718,0.6652,0.4786,1.2518,0.7083,0.6697,0.72
7,0.6897,0.9596,0.6897,0.6855,0.4613,1.2188,0.7219,0.6878,0.8699
8,0.693,0.9606,0.693,0.6905,0.4564,1.203,0.7219,0.6913,0.8884
9,0.704,0.9616,0.704,0.7009,0.4465,1.184,0.7323,0.7023,1.0019
10,0.7152,0.9625,0.7152,0.7132,0.4389,1.1666,0.7378,0.7136,1.0136
11,0.7142,0.9641,0.7142,0.7132,0.4346,1.1462,0.741,0.7128,1.0468
12,0.7158,0.9647,0.7158,0.7143,0.4305,1.1378,0.7444,0.7144,1.0808
13,0.7187,0.9668,0.7187,0.7173,0.4236,1.1104,0.755,0.7174,1.2417
14,0.7265,0.9674,0.7265,0.7256,0.4191,1.1022,0.7577,0.7251,1.2434
15,0.7272,0.9676,0.7272,0.726,0.4152,1.0953,0.7596,0.7257,1.3567
16,0.7293,0.9677,0.7293,0.727,0.4113,1.0878,0.7617,0.7276,1.4384
17,0.7293,0.9684,0.7293,0.7272,0.4083,1.0754,0.7643,0.7277,1.454
18,0.7327,0.9688,0.7327,0.7312,0.4063,1.0696,0.7633,0.7311,1.6139
19,0.7333,0.9711,0.7333,0.7313,0.3999,1.0336,0.7742,0.7317,1.5731
20,0.7383,0.9719,0.7383,0.7364,0.3967,1.023,0.7766,0.7366,1.6619
21,0.7388,0.972,0.7388,0.736,0.395,1.0203,0.7778,0.7372,1.8205
22,0.7373,0.9726,0.7373,0.7346,0.3922,1.0111,0.7802,0.7357,1.8628
23,0.7378,0.9727,0.7378,0.7351,0.3907,1.0093,0.7827,0.7363,2.0249
24,0.7393,0.9728,0.7393,0.7367,0.3882,1.007,0.7837,0.7378,2.1856
25,0.7397,0.9732,0.7397,0.7367,0.386,0.9988,0.7863,0.7381,2.2136
26,0.7427,0.9734,0.7427,0.7398,0.3839,0.9942,0.7877,0.7411,2.2785
27,0.7458,0.9734,0.7458,0.7434,0.3814,0.9918,0.7905,0.7443,2.4372
28,0.7482,0.9737,0.7482,0.7455,0.3791,0.9862,0.7921,0.7466,2.5202
29,0.7502,0.9736,0.7502,0.7479,0.378,0.9849,0.7916,0.7486,2.5987
30,0.7498,0.9739,0.7498,0.7476,0.3766,0.98,0.7931,0.7483,2.6409
31,0.7505,0.9741,0.7505,0.7481,0.3746,0.9754,0.7965,0.7489,2.6831
32,0.7523,0.9743,0.7523,0.7499,0.3728,0.9707,0.7975,0.7508,2.4564
33,0.7537,0.9745,0.7537,0.7512,0.3709,0.9673,0.7988,0.7522,2.6726
34,0.7538,0.9748,0.7538,0.7512,0.3717,0.963,0.7973,0.7523,2.872
35,0.7532,0.975,0.7532,0.7504,0.3708,0.9608,0.7982,0.7516,2.9219
36,0.7547,0.9753,0.7547,0.7522,0.3697,0.958,0.7993,0.7531,3.0152
37,0.7557,0.9754,0.7557,0.7532,0.3694,0.9565,0.7992,0.7541,3.0526
38,0.7582,0.9755,0.7582,0.7558,0.368,0.9537,0.8002,0.7566,3.1271
39,0.7573,0.9756,0.7573,0.7551,0.3676,0.9537,0.8004,0.7558,3.2251
40,0.7572,0.9757,0.7572,0.755,0.3673,0.9525,0.8013,0.7556,3.3606
41,0.7557,0.9756,0.7557,0.7534,0.3672,0.9538,0.8004,0.7541,3.258
42,0.7575,0.9756,0.7575,0.7554,0.3658,0.9526,0.8013,0.756,3.3785
43,0.7573,0.9757,0.7573,0.755,0.3654,0.9513,0.8011,0.7558,3.7259
44,0.7583,0.9757,0.7583,0.7562,0.3643,0.95,0.8022,0.7569,3.8397
45,0.7583,0.976,0.7583,0.7562,0.3643,0.9465,0.8018,0.7568,3.8457
46,0.7575,0.9762,0.7575,0.7551,0.3633,0.9428,0.8033,0.756,3.902
47,0.7578,0.9764,0.7578,0.7554,0.3627,0.9392,0.8038,0.7563,4.0391
48,0.7567,0.9764,0.7567,0.7542,0.3635,0.9414,0.8035,0.7552,4.0819
49,0.7562,0.9765,0.7562,0.7539,0.3641,0.9404,0.8027,0.7547,4.0443
50,0.756,0.9769,0.756,0.7534,0.3645,0.9316,0.8036,0.7545,4.246
51,0.7572,0.9772,0.7572,0.7548,0.3627,0.9236,0.8063,0.7556,4.3881
52,0.7578,0.9772,0.7578,0.7556,0.3624,0.9231,0.8069,0.7563,4.2783
53,0.7578,0.9773,0.7578,0.7557,0.361,0.9191,0.8082,0.7564,4.3877
54,0.7558,0.9774,0.7558,0.7533,0.3602,0.9167,0.8089,0.7544,4.4862
55,0.7578,0.9774,0.7578,0.7553,0.3593,0.9154,0.8095,0.7564,4.5561
56,0.7548,0.9775,0.7548,0.7523,0.3592,0.9134,0.8091,0.7534,4.3864
57,0.7575,0.9776,0.7575,0.755,0.3584,0.9109,0.8093,0.7561,4.4787
58,0.7583,0.9777,0.7583,0.7561,0.3584,0.91,0.8092,0.757,4.509
59,0.7583,0.9777,0.7583,0.7561,0.3583,0.9102,0.809,0.757,4.9477
