step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1312,0.5907,0.1312,0.0738,1.1177,24.1708,0.0876,0.1305,0.0169
1,0.1382,0.6227,0.1382,0.0909,1.1004,20.3807,0.0998,0.137,0.0298
2,0.15,0.6489,0.15,0.1074,1.0815,16.7291,0.1166,0.1502,0.0303
3,0.1495,0.6553,0.1495,0.1109,1.1083,15.5244,0.1213,0.15,0.0303
4,0.154,0.6739,0.154,0.1221,1.1045,13.0382,0.1248,0.154,0.0312
5,0.1605,0.6866,0.1605,0.123,1.1242,13.0443,0.1387,0.1609,0.0303
6,0.1758,0.6931,0.1758,0.1439,1.1123,11.8493,0.1472,0.1764,0.0313
7,0.1728,0.6908,0.1728,0.1409,1.1226,11.9078,0.1457,0.1732,0.031
8,0.1877,0.6961,0.1877,0.1575,1.1044,11.8632,0.1518,0.1877,0.031
9,0.1937,0.7267,0.1937,0.1686,1.0978,9.3397,0.1728,0.1935,0.0287
10,0.2013,0.7287,0.2013,0.1779,1.0942,9.3416,0.1793,0.2013,0.0328
11,0.2037,0.7381,0.2037,0.1724,1.1063,8.2658,0.179,0.204,0.0316
12,0.206,0.7397,0.206,0.1698,1.1088,8.2789,0.1689,0.2065,0.0333
13,0.216,0.7692,0.216,0.178,1.0856,5.8466,0.1875,0.2163,0.0344
14,0.2227,0.776,0.2227,0.189,1.0777,4.6712,0.1981,0.2228,0.0328
15,0.2312,0.7809,0.2312,0.2007,1.058,4.5806,0.2013,0.2314,0.0349
16,0.229,0.7827,0.229,0.197,1.0528,4.5666,0.2003,0.2293,0.0335
17,0.2342,0.7875,0.2342,0.1981,1.0568,4.5685,0.208,0.2345,0.0347
18,0.2403,0.7924,0.2403,0.2037,1.0485,4.5337,0.2157,0.2407,0.0343
19,0.2543,0.7985,0.2543,0.2227,1.0309,4.4584,0.2318,0.2544,0.0392
20,0.2592,0.7974,0.2592,0.2255,1.0329,4.5146,0.2336,0.2591,0.0378
21,0.2657,0.8108,0.2657,0.2317,1.0272,3.3979,0.2494,0.2653,0.0397
22,0.2768,0.8136,0.2768,0.2485,1.0172,3.3269,0.2605,0.2764,0.0353
23,0.2865,0.8226,0.2865,0.2559,1.0055,3.2488,0.2634,0.2857,0.037
24,0.304,0.8248,0.304,0.2692,0.9911,3.2439,0.2735,0.3033,0.0376
25,0.3118,0.8298,0.3118,0.2748,0.9813,3.2031,0.2805,0.3109,0.037
26,0.3272,0.8308,0.3272,0.2852,0.9611,3.182,0.2914,0.3264,0.0384
27,0.3317,0.8343,0.3317,0.2893,0.9573,3.1691,0.2977,0.3305,0.0397
