step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.346,0.819,0.346,0.3142,0.8288,4.9489,0.3552,0.3466,0.0234
1,0.3028,0.8437,0.3028,0.3045,0.8916,4.9133,0.3488,0.3034,0.0413
2,0.3248,0.8609,0.3248,0.3067,0.9029,3.7885,0.3673,0.3253,0.0406
3,0.3777,0.8817,0.3777,0.3642,0.8486,3.5516,0.4037,0.3776,0.0444
4,0.421,0.9017,0.421,0.3965,0.8079,2.325,0.4356,0.4204,0.0455
5,0.4213,0.9071,0.4213,0.4016,0.8103,2.2963,0.4321,0.421,0.0441
6,0.4435,0.9148,0.4435,0.4257,0.7903,2.2091,0.4583,0.4429,0.0429
7,0.4638,0.9181,0.4638,0.4515,0.7704,2.114,0.4749,0.4634,0.0467
8,0.4565,0.9189,0.4565,0.4439,0.7789,2.098,0.4699,0.4554,0.0483
9,0.4652,0.9215,0.4652,0.4498,0.772,2.0696,0.477,0.4643,0.0502
10,0.477,0.9258,0.477,0.4625,0.7523,1.9877,0.4852,0.4757,0.0511
11,0.5072,0.9267,0.5072,0.4961,0.7304,1.9529,0.4911,0.5057,0.0534
12,0.5298,0.9294,0.5298,0.5214,0.6947,1.8633,0.5206,0.5284,0.059
13,0.5347,0.9279,0.5347,0.5237,0.6935,1.8828,0.5248,0.533,0.0605
14,0.548,0.9281,0.548,0.5404,0.6876,1.879,0.5228,0.5469,0.0638
15,0.5428,0.9283,0.5428,0.5344,0.6859,1.8773,0.5208,0.5417,0.0653
16,0.5477,0.9282,0.5477,0.5405,0.6853,1.8827,0.5247,0.5463,0.0722
17,0.5572,0.929,0.5572,0.5536,0.6798,1.8608,0.5338,0.5561,0.0711
18,0.559,0.9309,0.559,0.5567,0.6721,1.8314,0.5405,0.558,0.0771
19,0.5655,0.9319,0.5655,0.5648,0.6663,1.8013,0.5481,0.5645,0.0805
20,0.5777,0.9333,0.5777,0.5762,0.6543,1.7691,0.5555,0.5766,0.0834
21,0.5743,0.9338,0.5743,0.5728,0.6546,1.7595,0.5548,0.5731,0.0824
22,0.5818,0.9349,0.5818,0.58,0.6424,1.7324,0.5633,0.5805,0.09
23,0.5865,0.9355,0.5865,0.5856,0.629,1.7121,0.5745,0.5854,0.0893
24,0.5927,0.9374,0.5927,0.5931,0.6209,1.6786,0.5817,0.5916,0.0908
25,0.5967,0.9383,0.5967,0.5969,0.6093,1.6553,0.5921,0.5957,0.0938
26,0.6002,0.9387,0.6002,0.6009,0.6061,1.6489,0.5958,0.5992,0.0944
27,0.6102,0.9401,0.6102,0.6115,0.5914,1.6114,0.6073,0.6093,0.0959
28,0.616,0.9421,0.616,0.6177,0.5833,1.5729,0.616,0.615,0.1007
29,0.6222,0.9429,0.6222,0.6241,0.5778,1.5568,0.6212,0.621,0.0942
30,0.6308,0.9445,0.6308,0.6332,0.5673,1.5253,0.629,0.6297,0.0976
31,0.6348,0.9451,0.6348,0.6368,0.5624,1.5174,0.6312,0.6336,0.0995
32,0.6368,0.9458,0.6368,0.6387,0.5591,1.5038,0.635,0.6356,0.1044
33,0.638,0.9459,0.638,0.6393,0.5556,1.4975,0.6375,0.6367,0.1058
34,0.6433,0.9471,0.6433,0.645,0.549,1.4761,0.6438,0.6421,0.1045
35,0.6522,0.9478,0.6522,0.6546,0.5411,1.4601,0.6503,0.651,0.1063
36,0.6583,0.9484,0.6583,0.6615,0.5347,1.4471,0.6556,0.6572,0.107
37,0.6567,0.9493,0.6567,0.6596,0.5357,1.434,0.6564,0.6556,0.1093
38,0.6573,0.9507,0.6573,0.6597,0.529,1.4073,0.6609,0.6561,0.1035
39,0.6605,0.9517,0.6605,0.6625,0.5255,1.3916,0.6644,0.6593,0.106
40,0.6687,0.9531,0.6687,0.6707,0.5152,1.3615,0.6712,0.6673,0.1026
41,0.673,0.953,0.673,0.6753,0.5128,1.3589,0.6737,0.6717,0.108
42,0.676,0.9546,0.676,0.6782,0.5076,1.3332,0.6774,0.6747,0.1029
43,0.6787,0.9559,0.6787,0.6811,0.5034,1.3101,0.6808,0.6774,0.1001
44,0.679,0.9562,0.679,0.6807,0.5005,1.3033,0.6825,0.6776,0.1068
45,0.6825,0.9562,0.6825,0.6842,0.4976,1.3009,0.684,0.681,0.1005
46,0.6853,0.9573,0.6853,0.687,0.4905,1.2743,0.6899,0.6838,0.1033
47,0.6888,0.9581,0.6888,0.6907,0.4874,1.2605,0.6934,0.6874,0.0977
48,0.6928,0.9588,0.6928,0.6945,0.4826,1.2439,0.6982,0.6914,0.1024
49,0.6973,0.9594,0.6973,0.6986,0.476,1.2298,0.7032,0.6959,0.1577
50,0.6998,0.9611,0.6998,0.7008,0.4654,1.1932,0.7117,0.6984,0.1647
51,0.7065,0.9625,0.7065,0.7073,0.4546,1.1645,0.7207,0.705,0.1572
52,0.7228,0.9633,0.7228,0.7225,0.4427,1.1462,0.7306,0.7212,0.1736
53,0.7267,0.9646,0.7267,0.7262,0.4337,1.1183,0.74,0.725,0.1599
54,0.7325,0.9652,0.7325,0.7322,0.4281,1.1038,0.745,0.731,0.1712
55,0.7348,0.9655,0.7348,0.7346,0.4241,1.0959,0.7494,0.7333,0.1734
56,0.7393,0.9657,0.7393,0.7391,0.4198,1.0881,0.7535,0.7378,0.1761
57,0.741,0.9657,0.741,0.7406,0.4167,1.0858,0.7553,0.7395,0.1737
58,0.7438,0.966,0.7438,0.7436,0.414,1.0798,0.7577,0.7423,0.173
59,0.744,0.9666,0.744,0.7436,0.4115,1.0686,0.7597,0.7425,0.1758
