step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1535,0.7726,0.1535,0.1203,0.9236,5.4012,0.2593,0.1556,3.3067
1,0.2827,0.8482,0.2827,0.2573,0.8982,2.7502,0.3814,0.2844,3.4689
2,0.3467,0.8638,0.3467,0.3345,0.8913,2.6985,0.4074,0.347,3.2721
3,0.3897,0.8812,0.3897,0.3363,0.8871,2.6784,0.4364,0.3884,3.3328
4,0.3987,0.8887,0.3987,0.3401,0.8885,2.6784,0.4555,0.3976,3.2843
5,0.4457,0.9032,0.4457,0.3979,0.887,2.6584,0.4708,0.445,3.3581
6,0.3933,0.9083,0.3933,0.3795,0.8882,2.6543,0.4764,0.393,3.4142
7,0.4478,0.9123,0.4478,0.41,0.8878,2.6485,0.4777,0.448,3.5259
8,0.4247,0.9101,0.4247,0.3964,0.8876,2.6417,0.4791,0.4241,3.3767
9,0.4475,0.9074,0.4475,0.408,0.8866,2.6387,0.4744,0.4471,3.467
10,0.4717,0.9123,0.4717,0.4316,0.886,2.6338,0.4818,0.4711,3.3086
11,0.48,0.9146,0.48,0.4315,0.8868,2.6367,0.4838,0.4798,3.3718
12,0.4655,0.9167,0.4655,0.419,0.8874,2.6413,0.4893,0.4647,3.586
13,0.4593,0.9179,0.4593,0.4168,0.8876,2.6415,0.4933,0.4586,3.3893
14,0.4775,0.9187,0.4775,0.428,0.8871,2.6365,0.502,0.4764,3.2745
15,0.4715,0.9205,0.4715,0.4179,0.8872,2.6381,0.5088,0.4706,3.4207
16,0.4738,0.923,0.4738,0.4162,0.8868,2.635,0.5084,0.4729,3.3292
17,0.4778,0.924,0.4778,0.4128,0.8869,2.6369,0.5133,0.4765,2.9973
18,0.4838,0.9241,0.4838,0.4262,0.8868,2.6353,0.5105,0.4823,3.1911
19,0.4813,0.9244,0.4813,0.4279,0.887,2.6349,0.512,0.4798,3.3774
20,0.4865,0.9246,0.4865,0.4343,0.887,2.6338,0.5133,0.4848,3.1502
21,0.4947,0.9251,0.4947,0.4435,0.887,2.6347,0.5145,0.4933,2.8355
22,0.5015,0.9245,0.5015,0.4543,0.8872,2.6341,0.5154,0.4998,3.1295
23,0.5105,0.9242,0.5105,0.4557,0.8868,2.6321,0.5173,0.5082,3.4281
24,0.5177,0.9255,0.5177,0.4694,0.8864,2.6317,0.5194,0.5156,3.3901
25,0.5295,0.9263,0.5295,0.4883,0.8864,2.6304,0.5211,0.5273,3.3048
26,0.5375,0.9268,0.5375,0.4891,0.8863,2.6294,0.5224,0.5352,3.3483
27,0.5437,0.9264,0.5437,0.4983,0.8862,2.6286,0.5229,0.5414,2.8603
28,0.5312,0.9266,0.5312,0.4832,0.8866,2.6304,0.519,0.5286,2.8701
29,0.541,0.927,0.541,0.4985,0.8869,2.6317,0.5166,0.5384,3.2331
30,0.5413,0.9272,0.5413,0.4981,0.8867,2.6311,0.5181,0.5389,3.4038
31,0.5357,0.9272,0.5357,0.4874,0.8869,2.6318,0.5194,0.5331,3.4815
32,0.5408,0.9275,0.5408,0.4892,0.8869,2.6311,0.5201,0.5385,3.2399
33,0.5428,0.9279,0.5428,0.4901,0.8867,2.6303,0.52,0.5406,3.495
34,0.5408,0.9283,0.5408,0.4873,0.8868,2.6299,0.5214,0.5384,3.2858
35,0.5472,0.9289,0.5472,0.493,0.887,2.6306,0.5224,0.5447,3.0326
36,0.543,0.9291,0.543,0.4817,0.8869,2.6297,0.524,0.5406,3.3684
37,0.5388,0.93,0.5388,0.4696,0.8868,2.6303,0.5254,0.5366,3.279
38,0.5458,0.9307,0.5458,0.48,0.8873,2.6309,0.5264,0.5435,3.4728
39,0.5517,0.931,0.5517,0.4925,0.8875,2.6314,0.5289,0.5494,3.2086
40,0.5573,0.931,0.5573,0.5005,0.8875,2.6317,0.5298,0.5552,3.5481
41,0.5542,0.9314,0.5542,0.4961,0.8873,2.6311,0.5297,0.5519,3.0494
42,0.5577,0.9317,0.5577,0.5033,0.8873,2.6313,0.5305,0.5555,3.0139
43,0.5588,0.9315,0.5588,0.5013,0.8871,2.6312,0.5309,0.5567,3.2636
44,0.552,0.9316,0.552,0.4927,0.8869,2.6304,0.532,0.5496,3.3326
45,0.5483,0.9315,0.5483,0.489,0.887,2.6313,0.532,0.546,3.4064
46,0.5437,0.9312,0.5437,0.4841,0.8869,2.6312,0.5316,0.5413,3.3536
