step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0377,0.5,0.0377,0.0028,1.9247,34.686,0.0385,0.0385,0.0038
1,0.0548,0.5139,0.0548,0.0079,1.44,33.3965,0.0409,0.0564,0.0052
2,0.0627,0.5288,0.0627,0.016,1.324,32.0144,0.0475,0.0639,0.0051
3,0.0737,0.5363,0.0737,0.0247,1.2263,30.7065,0.0573,0.0749,0.0053
4,0.0765,0.544,0.0765,0.0292,1.1893,29.3979,0.0615,0.0776,0.0051
5,0.0937,0.5602,0.0937,0.0462,1.1296,28.0494,0.0789,0.0943,0.0057
6,0.0973,0.568,0.0973,0.0532,1.0983,26.7845,0.082,0.098,0.0078
7,0.1028,0.5783,0.1028,0.0589,1.0667,25.4953,0.0839,0.1034,0.0053
8,0.1097,0.5808,0.1097,0.0649,1.0577,24.1603,0.0817,0.1092,0.0052
9,0.1145,0.5901,0.1145,0.0698,1.0372,22.8291,0.083,0.1137,0.0056
10,0.1157,0.5931,0.1157,0.0727,1.0314,22.8139,0.0863,0.1146,0.0051
11,0.1305,0.6096,0.1305,0.0844,1.0115,21.4924,0.0928,0.1292,0.0051
12,0.1303,0.6129,0.1303,0.0815,1.0117,21.49,0.0951,0.1291,0.0051
13,0.1132,0.6106,0.1132,0.0731,1.0174,21.5034,0.0953,0.1125,0.0053
14,0.1205,0.6249,0.1205,0.0824,1.0023,20.2783,0.1035,0.1203,0.0051
15,0.1118,0.6252,0.1118,0.064,1.0093,20.2965,0.1045,0.1124,0.0051
16,0.1168,0.6407,0.1168,0.073,0.998,18.9795,0.1188,0.1172,0.0058
17,0.1172,0.6424,0.1172,0.0704,1.0019,18.9869,0.1196,0.1175,0.0054
18,0.1188,0.648,0.1188,0.0735,0.9923,17.7369,0.1243,0.1191,0.005
19,0.1335,0.6599,0.1335,0.0906,0.9798,16.478,0.1404,0.134,0.0053
20,0.1287,0.66,0.1287,0.0859,0.9873,16.4924,0.1394,0.1291,0.0051
21,0.1373,0.6633,0.1373,0.0934,0.9851,16.4945,0.1423,0.1373,0.0051
22,0.1383,0.6812,0.1383,0.0955,0.9742,15.2386,0.1674,0.1383,0.0051
23,0.1503,0.6931,0.1503,0.114,0.9644,14.0078,0.1835,0.1507,0.0056
24,0.153,0.7055,0.153,0.1189,0.9567,12.7301,0.1981,0.1533,0.0051
25,0.1562,0.7176,0.1562,0.1246,0.9482,11.4226,0.2145,0.1563,0.0051
26,0.164,0.7177,0.164,0.1247,0.9455,11.4184,0.2143,0.1638,0.0051
27,0.1767,0.7208,0.1767,0.1328,0.9436,11.4144,0.2213,0.1766,0.0051
28,0.1765,0.7227,0.1765,0.1331,0.9409,10.2458,0.2229,0.1765,0.0051
29,0.1783,0.7268,0.1783,0.1321,0.9378,10.2323,0.2283,0.178,0.0051
30,0.1617,0.7272,0.1617,0.1306,0.9431,10.2509,0.2302,0.1614,0.0051
31,0.182,0.7275,0.182,0.1557,0.938,10.2449,0.2332,0.1822,0.0051
32,0.1863,0.7333,0.1863,0.1502,0.9388,10.2499,0.2337,0.187,0.0051
33,0.1925,0.7361,0.1925,0.1462,0.9409,10.2631,0.2376,0.1924,0.0051
34,0.1822,0.7365,0.1822,0.1364,0.944,10.2788,0.238,0.1818,0.0051
35,0.1828,0.7426,0.1828,0.1382,0.9416,10.26,0.2407,0.1824,0.0053
36,0.183,0.7427,0.183,0.1386,0.9413,10.2561,0.2404,0.1826,0.0051
37,0.1872,0.746,0.1872,0.135,0.9377,10.2493,0.2507,0.1863,0.0051
38,0.1743,0.7472,0.1743,0.1203,0.9408,10.2594,0.2532,0.1735,0.0051
39,0.1743,0.7507,0.1743,0.1203,0.9371,10.24,0.2596,0.1735,0.0051
40,0.1842,0.753,0.1842,0.1361,0.936,10.2384,0.2632,0.1836,0.0056
41,0.1885,0.7526,0.1885,0.1348,0.9362,10.2448,0.2645,0.1879,0.0051
42,0.1897,0.7515,0.1897,0.1375,0.9356,10.2461,0.2636,0.1891,0.0051
43,0.1897,0.7538,0.1897,0.1375,0.9333,8.9859,0.2618,0.1891,0.005
44,0.1907,0.7562,0.1907,0.1407,0.9332,8.9828,0.2618,0.19,0.005
45,0.195,0.7722,0.195,0.1493,0.9295,7.7895,0.2801,0.1946,0.005
46,0.1782,0.7732,0.1782,0.1337,0.9321,7.7978,0.284,0.1777,0.0051
47,0.1867,0.7736,0.1867,0.1463,0.9314,7.7976,0.2816,0.186,0.0051
48,0.1998,0.7756,0.1998,0.1622,0.9298,7.7951,0.2859,0.1999,0.005
49,0.2078,0.7759,0.2078,0.1737,0.9282,7.7911,0.2911,0.2074,0.005
50,0.1973,0.7761,0.1973,0.1528,0.9282,7.797,0.2939,0.197,0.005
51,0.1998,0.7758,0.1998,0.152,0.9288,7.8037,0.2893,0.1998,0.005
52,0.2047,0.7763,0.2047,0.1532,0.9267,7.7993,0.288,0.2048,0.0051
53,0.1877,0.7762,0.1877,0.1309,0.9274,7.806,0.2862,0.1877,0.0051
54,0.1977,0.7763,0.1977,0.1451,0.9258,7.8062,0.2873,0.1979,0.0051
