step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2228,0.7901,0.2228,0.1934,0.9174,5.37,0.28,0.2242,1.5303
1,0.0407,0.8049,0.0407,0.0073,0.9852,4.3759,0.2746,0.0408,1.5547
2,0.0743,0.8027,0.0743,0.0298,0.9641,3.16,0.2986,0.0749,1.5291
3,0.1018,0.8099,0.1018,0.0439,0.9639,3.27,0.2968,0.1035,1.5098
4,0.1033,0.8196,0.1033,0.052,0.9533,3.1923,0.2869,0.1043,1.5049
5,0.114,0.8333,0.114,0.0693,0.9413,3.1051,0.2819,0.1152,1.5004
6,0.1123,0.8438,0.1123,0.0698,0.9423,3.1208,0.3085,0.1133,1.4895
7,0.1203,0.8355,0.1203,0.0721,0.9411,3.1433,0.2934,0.1208,1.4768
8,0.1307,0.8497,0.1307,0.0836,0.9367,3.049,0.325,0.1314,1.4676
9,0.1487,0.8638,0.1487,0.0987,0.93,2.9686,0.3312,0.149,1.4702
10,0.173,0.863,0.173,0.1233,0.9312,2.9798,0.3356,0.1735,1.4579
11,0.1733,0.8633,0.1733,0.1138,0.9325,2.9799,0.3239,0.1739,1.453
12,0.195,0.8643,0.195,0.1354,0.9322,2.9679,0.312,0.1953,1.4534
13,0.2182,0.8652,0.2182,0.1504,0.932,2.9637,0.3189,0.2183,1.4402
14,0.1722,0.8659,0.1722,0.1378,0.9344,2.9751,0.3157,0.1733,1.4328
15,0.1823,0.868,0.1823,0.1396,0.9356,2.9846,0.3258,0.1829,1.4655
16,0.2062,0.8672,0.2062,0.1596,0.9363,2.9881,0.3234,0.2073,1.5334
17,0.1898,0.8672,0.1898,0.1428,0.9376,2.9974,0.3209,0.1912,1.5286
18,0.2052,0.8649,0.2052,0.1439,0.9382,3.0054,0.3065,0.206,1.5315
19,0.2012,0.8645,0.2012,0.1439,0.9391,3.0129,0.3054,0.2018,1.512
20,0.1983,0.8635,0.1983,0.141,0.9395,3.0183,0.3055,0.1983,1.5346
21,0.2012,0.8645,0.2012,0.1403,0.9401,3.0211,0.3047,0.2018,1.5408
22,0.199,0.8659,0.199,0.1408,0.9403,3.0229,0.3129,0.1997,1.5387
23,0.1938,0.8665,0.1938,0.1462,0.9403,3.0192,0.3138,0.1944,1.5368
24,0.1905,0.8699,0.1905,0.143,0.9403,3.0213,0.3161,0.1911,1.527
25,0.1967,0.8713,0.1967,0.1487,0.9404,3.0199,0.3203,0.1971,1.5907
26,0.2018,0.8715,0.2018,0.1538,0.9403,3.0197,0.321,0.2021,1.5949
27,0.202,0.8732,0.202,0.1436,0.9404,3.0206,0.3237,0.2022,1.6118
28,0.19,0.8737,0.19,0.1331,0.9401,3.017,0.3239,0.1903,1.6456
29,0.1573,0.8744,0.1573,0.1203,0.9405,3.0188,0.3217,0.1582,1.6403
30,0.1618,0.8742,0.1618,0.1271,0.9405,3.0178,0.3164,0.1628,1.5759
