step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1457,0.6171,0.1457,0.116,1.0215,24.1213,0.1455,0.1459,2.6948
1,0.0593,0.6317,0.0593,0.0297,1.0938,22.8671,0.1738,0.0604,2.6987
2,0.0932,0.6374,0.0932,0.0473,1.0373,20.334,0.1824,0.0931,2.6525
3,0.1182,0.6761,0.1182,0.077,0.9932,14.2057,0.1988,0.1171,2.6177
4,0.1023,0.6729,0.1023,0.0721,0.9874,14.188,0.1907,0.1024,2.5522
5,0.1173,0.7166,0.1173,0.075,0.9636,10.463,0.2226,0.1182,2.5193
6,0.1067,0.7265,0.1067,0.0703,0.9604,8.1002,0.2317,0.1077,2.4415
7,0.1038,0.7346,0.1038,0.0629,0.9568,6.8986,0.2293,0.1052,2.4354
8,0.1183,0.737,0.1183,0.0746,0.9529,6.9071,0.2325,0.1197,2.4554
9,0.1258,0.7413,0.1258,0.0831,0.9499,6.9122,0.2319,0.1267,2.4821
10,0.1383,0.7466,0.1383,0.1052,0.946,6.8678,0.2382,0.1387,2.4835
11,0.1367,0.7722,0.1367,0.095,0.9425,4.344,0.2433,0.1369,2.4586
12,0.1442,0.7818,0.1442,0.1003,0.9391,4.3314,0.2399,0.1441,2.4504
13,0.1485,0.7953,0.1485,0.103,0.94,4.3323,0.2397,0.1488,2.4433
14,0.1578,0.8084,0.1578,0.1148,0.9376,4.2686,0.2461,0.1577,2.4514
15,0.152,0.8127,0.152,0.1156,0.9355,4.2372,0.2476,0.152,2.4104
16,0.1703,0.8121,0.1703,0.1336,0.9348,4.2409,0.2455,0.1704,2.4434
17,0.1598,0.816,0.1598,0.1328,0.9353,4.2328,0.2473,0.1605,2.4689
18,0.142,0.8208,0.142,0.116,0.9361,4.2235,0.251,0.1433,2.5197
19,0.1603,0.8169,0.1603,0.1314,0.9358,4.2201,0.2533,0.1623,2.5228
20,0.1768,0.8171,0.1768,0.1522,0.9356,4.2201,0.254,0.1784,2.5721
21,0.1883,0.8171,0.1883,0.1482,0.937,4.2363,0.2553,0.1897,2.5432
22,0.174,0.8212,0.174,0.1427,0.9385,4.2454,0.2581,0.1766,2.6063
23,0.1833,0.8219,0.1833,0.1408,0.9381,4.2317,0.2829,0.1859,2.7142
24,0.2058,0.8259,0.2058,0.1635,0.9363,4.227,0.2878,0.2074,2.6862
25,0.2255,0.8301,0.2255,0.1836,0.9368,4.2331,0.3005,0.2276,2.654
26,0.2327,0.8514,0.2327,0.1965,0.9346,4.2018,0.3232,0.2335,2.6565
27,0.2385,0.8532,0.2385,0.195,0.9362,4.2123,0.3201,0.2386,2.4135
28,0.2412,0.8595,0.2412,0.1973,0.9371,4.2193,0.322,0.2412,2.1002
29,0.249,0.8621,0.249,0.209,0.9378,4.2257,0.3217,0.2487,2.0948
30,0.2328,0.8535,0.2328,0.2011,0.9384,4.2004,0.3146,0.233,2.1524
31,0.2193,0.8563,0.2193,0.1793,0.9395,4.2034,0.3171,0.2212,2.4475
32,0.2142,0.855,0.2142,0.1743,0.9401,4.2104,0.3094,0.2162,2.8599
33,0.2205,0.8548,0.2205,0.1825,0.9394,4.1972,0.3097,0.2223,2.7556
34,0.2353,0.8566,0.2353,0.1884,0.9385,4.1935,0.3125,0.2375,2.3674
35,0.241,0.8571,0.241,0.201,0.9374,4.1854,0.3104,0.2436,2.0863
36,0.2408,0.8614,0.2408,0.1992,0.9369,3.0316,0.3117,0.2435,2.1068
37,0.2493,0.8619,0.2493,0.2079,0.9366,3.03,0.3113,0.2519,2.3303
38,0.272,0.8692,0.272,0.2288,0.9368,3.0171,0.3172,0.274,2.3249
39,0.2845,0.8709,0.2845,0.2385,0.9361,3.0114,0.3158,0.2868,2.5455
40,0.2745,0.8731,0.2745,0.235,0.9363,3.0097,0.3174,0.2771,2.5554
41,0.2747,0.8739,0.2747,0.2308,0.9365,3.0132,0.316,0.2775,2.5777
