step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.121,0.776,0.121,0.0988,0.932,5.3782,0.2899,0.1222,2.3675
1,0.1972,0.822,0.1972,0.1716,0.9197,4.108,0.3292,0.1977,2.7657
2,0.2748,0.8524,0.2748,0.2416,0.9114,2.8113,0.36,0.2764,2.6307
3,0.3018,0.8737,0.3018,0.2797,0.9151,2.8071,0.3867,0.303,2.4409
4,0.2267,0.8807,0.2267,0.1995,0.9204,2.8271,0.3985,0.2278,2.5711
5,0.229,0.8883,0.229,0.196,0.919,2.8088,0.4169,0.2292,2.5338
6,0.23,0.8966,0.23,0.1764,0.9192,2.8127,0.4143,0.2316,2.5437
7,0.2835,0.9033,0.2835,0.2343,0.9164,2.7891,0.42,0.2841,2.5654
8,0.3168,0.9055,0.3168,0.2676,0.9142,2.7785,0.4337,0.3159,2.5778
9,0.3213,0.9069,0.3213,0.2685,0.915,2.7787,0.4406,0.3215,2.5074
10,0.3523,0.9067,0.3523,0.302,0.9156,2.7834,0.4379,0.3518,2.4726
11,0.3592,0.9091,0.3592,0.3237,0.9156,2.7788,0.4518,0.3578,2.2686
12,0.3815,0.9144,0.3815,0.3543,0.9166,2.7842,0.4516,0.38,2.7616
13,0.431,0.9182,0.431,0.4117,0.9157,2.7781,0.4534,0.4286,2.7826
14,0.4427,0.9186,0.4427,0.4299,0.9154,2.7757,0.4513,0.4393,2.7471
15,0.4765,0.9188,0.4765,0.4679,0.9162,2.7793,0.4526,0.4738,2.7967
16,0.485,0.9185,0.485,0.4807,0.9167,2.7817,0.4542,0.4836,2.7598
17,0.4803,0.921,0.4803,0.4733,0.9172,2.7852,0.4564,0.4787,2.7472
18,0.4713,0.9225,0.4713,0.4625,0.9172,2.7847,0.4666,0.4702,2.7623
19,0.5153,0.9244,0.5153,0.4985,0.9168,2.7821,0.4699,0.5134,2.6321
20,0.4922,0.9269,0.4922,0.4792,0.9172,2.7829,0.4732,0.4905,2.5213
21,0.5162,0.9275,0.5162,0.5007,0.9169,2.7819,0.4744,0.5145,2.6225
22,0.5257,0.9298,0.5257,0.5062,0.9172,2.7854,0.476,0.5243,2.6196
23,0.5168,0.9304,0.5168,0.4982,0.9171,2.7843,0.4788,0.5152,2.6136
24,0.5345,0.9303,0.5345,0.5271,0.917,2.7827,0.4795,0.5345,2.6383
25,0.5168,0.9294,0.5168,0.5162,0.9168,2.7815,0.4772,0.5175,2.6369
26,0.5223,0.9299,0.5223,0.5178,0.9169,2.783,0.482,0.5223,2.603
27,0.558,0.9305,0.558,0.549,0.9165,2.7801,0.4826,0.5581,2.6028
28,0.5585,0.9304,0.5585,0.5474,0.9168,2.7817,0.4815,0.5579,2.5959
29,0.5413,0.9309,0.5413,0.5361,0.9175,2.7865,0.4826,0.5411,2.5309
