step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0977,0.5654,0.0977,0.0638,1.0676,25.4611,0.1004,0.0964,0.0499
1,0.2168,0.6532,0.2168,0.1791,0.9449,17.7811,0.2008,0.2154,0.022
2,0.2878,0.7206,0.2878,0.2514,0.8807,13.0718,0.2957,0.287,0.0236
3,0.3285,0.754,0.3285,0.2816,0.8461,10.6943,0.3438,0.3272,0.0252
4,0.3587,0.7667,0.3587,0.3153,0.827,9.7948,0.3727,0.3568,0.0263
5,0.3672,0.7934,0.3672,0.3408,0.806,7.5204,0.3945,0.365,0.024
6,0.392,0.8096,0.392,0.3648,0.7961,7.4266,0.4158,0.3905,0.0262
7,0.3897,0.8243,0.3897,0.3753,0.7779,6.4029,0.4384,0.3884,0.0254
8,0.3888,0.8189,0.3888,0.3649,0.7842,6.634,0.4221,0.3867,0.027
9,0.3773,0.8147,0.3773,0.3461,0.7881,6.8145,0.4249,0.3761,0.0252
10,0.4123,0.838,0.4123,0.3846,0.7588,6.3669,0.4683,0.4105,0.0257
11,0.4207,0.8333,0.4207,0.3964,0.752,6.6222,0.4645,0.4187,0.0274
12,0.4518,0.8355,0.4518,0.4207,0.7373,6.8875,0.4811,0.4492,0.0267
13,0.4492,0.8461,0.4492,0.4198,0.7323,6.3872,0.4891,0.4462,0.0289
14,0.4715,0.857,0.4715,0.4406,0.7203,6.1468,0.4987,0.4696,0.0255
15,0.4743,0.8544,0.4743,0.443,0.7118,6.083,0.5164,0.4726,0.0282
16,0.4823,0.86,0.4823,0.4519,0.7098,5.7756,0.5131,0.4809,0.0342
17,0.5053,0.8693,0.5053,0.472,0.6885,5.3752,0.5438,0.5035,0.0297
18,0.53,0.8928,0.53,0.4983,0.6662,4.0916,0.5873,0.5285,0.0289
19,0.5368,0.8919,0.5368,0.5032,0.6563,4.3134,0.5949,0.5354,0.0285
20,0.5513,0.8952,0.5513,0.5224,0.6502,4.0023,0.5941,0.5501,0.0299
21,0.571,0.8997,0.571,0.5484,0.635,3.8412,0.614,0.5693,0.0339
22,0.5658,0.901,0.5658,0.5436,0.6301,3.7813,0.6185,0.564,0.0293
23,0.5713,0.9093,0.5713,0.5504,0.6241,3.1892,0.6264,0.5702,0.0291
24,0.577,0.9113,0.577,0.5546,0.6225,3.0322,0.6319,0.5755,0.0312
25,0.589,0.9077,0.589,0.5643,0.6138,3.4114,0.6351,0.5879,0.0322
26,0.5887,0.9129,0.5887,0.5654,0.6087,3.0271,0.6515,0.5877,0.0324
27,0.604,0.9112,0.604,0.5811,0.6008,3.3313,0.6566,0.6033,0.0327
28,0.6005,0.9125,0.6005,0.5819,0.601,3.0645,0.6586,0.5995,0.0332
29,0.6173,0.9152,0.6173,0.5945,0.5866,3.1086,0.6748,0.6164,0.0345
30,0.6157,0.913,0.6157,0.5902,0.5913,3.2582,0.6739,0.6145,0.0313
31,0.6157,0.9243,0.6157,0.5886,0.5797,2.8367,0.6851,0.6144,0.0344
32,0.6108,0.9167,0.6108,0.5831,0.5796,3.2147,0.6788,0.6098,0.0342
33,0.6178,0.9195,0.6178,0.5887,0.5737,3.114,0.6827,0.6169,0.0366
34,0.6132,0.922,0.6132,0.5867,0.5704,3.0336,0.6841,0.6121,0.0355
35,0.6217,0.9222,0.6217,0.5946,0.5697,3.0953,0.6864,0.6205,0.0397
36,0.6285,0.9228,0.6285,0.6003,0.565,3.0457,0.6934,0.6273,0.0348
37,0.65,0.9393,0.65,0.63,0.5519,2.358,0.7135,0.6486,0.0347
38,0.6433,0.9419,0.6433,0.6223,0.547,2.1496,0.7155,0.6419,0.0313
39,0.6518,0.9435,0.6518,0.6329,0.5456,2.0473,0.7258,0.6506,0.0356
40,0.6413,0.9414,0.6413,0.6205,0.5462,2.1855,0.7162,0.6399,0.037
41,0.664,0.9442,0.664,0.6448,0.5368,2.0027,0.7279,0.6628,0.0354
42,0.6487,0.9403,0.6487,0.6269,0.5377,2.2358,0.7207,0.6474,0.032
43,0.6647,0.943,0.6647,0.6434,0.5319,2.1531,0.7281,0.6634,0.0364
44,0.6772,0.9456,0.6772,0.6574,0.5238,1.9874,0.7351,0.6756,0.038
45,0.6727,0.9437,0.6727,0.6528,0.5266,1.9527,0.733,0.6713,0.0359
46,0.678,0.9489,0.678,0.6578,0.5194,1.9971,0.7411,0.6761,0.0348
47,0.6622,0.9433,0.6622,0.6402,0.5274,2.0705,0.7325,0.6607,0.0343
48,0.679,0.947,0.679,0.6605,0.515,2.0772,0.7496,0.6777,0.0359
49,0.6905,0.9508,0.6905,0.6717,0.5126,1.9378,0.7511,0.6892,0.0339
50,0.6962,0.9487,0.6962,0.6785,0.5048,1.9825,0.7565,0.6948,0.0356
51,0.7063,0.9488,0.7063,0.6858,0.502,2.1343,0.7658,0.7047,0.0364
52,0.7117,0.9544,0.7117,0.6947,0.5015,1.8705,0.768,0.7103,0.0346
53,0.7212,0.9569,0.7212,0.7052,0.498,1.801,0.7707,0.72,0.0353
54,0.7278,0.9571,0.7278,0.71,0.4935,1.9209,0.7818,0.7265,0.0374
55,0.7255,0.9581,0.7255,0.7111,0.4845,1.7271,0.7811,0.7241,0.0374
56,0.7272,0.9596,0.7272,0.7116,0.4864,1.8108,0.7874,0.7261,0.0362
57,0.7305,0.9596,0.7305,0.7152,0.4847,1.8848,0.785,0.7293,0.0374
58,0.7265,0.9581,0.7265,0.7124,0.4859,1.8207,0.7834,0.7251,0.0382
59,0.7367,0.96,0.7367,0.7282,0.486,1.6777,0.7873,0.7358,0.036
