step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1285,0.568,0.1285,0.0587,1.0619,25.4793,0.0956,0.1291,0.0156
1,0.1415,0.6148,0.1415,0.0847,1.017,21.7238,0.1304,0.1423,0.1439
2,0.1967,0.669,0.1967,0.1482,0.9498,17.8009,0.2124,0.1957,0.1514
3,0.1968,0.6869,0.1968,0.1417,0.9486,15.8691,0.2168,0.1971,0.1617
4,0.2437,0.7302,0.2437,0.1975,0.9041,12.5802,0.2888,0.2442,0.1676
5,0.2752,0.7474,0.2752,0.2278,0.8901,11.0725,0.2944,0.2753,0.1829
6,0.2933,0.7596,0.2933,0.2345,0.8649,11.0971,0.3249,0.2932,0.18
7,0.2797,0.7804,0.2797,0.2262,0.8538,9.0943,0.3431,0.2793,0.1845
8,0.3102,0.7935,0.3102,0.2589,0.8398,8.1634,0.3664,0.31,0.1907
9,0.3395,0.828,0.3395,0.3096,0.8105,5.8475,0.4006,0.3381,0.1966
10,0.3545,0.8372,0.3545,0.3137,0.8023,5.8112,0.4063,0.3531,0.1994
11,0.3625,0.8407,0.3625,0.3214,0.7985,4.9115,0.4259,0.3602,0.2035
12,0.381,0.8545,0.381,0.3436,0.7812,4.4756,0.4331,0.3788,0.2134
13,0.4072,0.8584,0.4072,0.3712,0.7757,4.0493,0.4385,0.4054,0.2062
14,0.3935,0.8639,0.3935,0.3557,0.7729,4.3254,0.4529,0.3913,0.2091
15,0.4083,0.8721,0.4083,0.3739,0.7645,3.9115,0.4545,0.4064,0.2152
16,0.4065,0.8751,0.4065,0.3737,0.7584,4.0817,0.4746,0.4042,0.2106
17,0.4222,0.8718,0.4222,0.3879,0.7591,4.1442,0.4746,0.4193,0.2115
18,0.43,0.8853,0.43,0.3982,0.745,3.9943,0.49,0.4274,0.2181
19,0.4385,0.8908,0.4385,0.4016,0.742,3.5904,0.5093,0.4365,0.2158
20,0.4412,0.8877,0.4412,0.4068,0.7463,3.5877,0.4864,0.4392,0.2212
21,0.4622,0.8997,0.4622,0.4292,0.7311,3.5368,0.5315,0.4601,0.2253
22,0.4632,0.9013,0.4632,0.4304,0.7357,3.1749,0.5121,0.4609,0.2306
23,0.4635,0.9085,0.4635,0.4321,0.7322,2.977,0.5224,0.4618,0.2311
24,0.4615,0.9037,0.4615,0.4359,0.7286,3.0946,0.5262,0.4598,0.2291
25,0.4647,0.9029,0.4647,0.4379,0.7314,2.7871,0.5186,0.4626,0.2317
26,0.4923,0.9096,0.4923,0.4657,0.7151,3.1198,0.5663,0.4901,0.2428
27,0.497,0.9208,0.497,0.4698,0.709,2.5394,0.563,0.4947,0.2465
28,0.5037,0.9134,0.5037,0.4767,0.7114,2.7502,0.5617,0.5014,0.2431
29,0.5097,0.9288,0.5097,0.4862,0.6969,2.3929,0.592,0.5081,0.2445
30,0.5207,0.9286,0.5207,0.4969,0.6997,2.3692,0.5794,0.5194,0.2513
31,0.518,0.9241,0.518,0.4965,0.6936,2.6557,0.5863,0.5166,0.2527
32,0.532,0.9313,0.532,0.5133,0.6865,2.3451,0.6209,0.5313,0.2483
33,0.5342,0.9387,0.5342,0.5171,0.6822,2.241,0.6141,0.5329,0.255
34,0.5443,0.9425,0.5443,0.5272,0.6824,2.1762,0.6289,0.5433,0.2781
35,0.5578,0.9421,0.5578,0.5411,0.6725,2.2886,0.6403,0.5569,0.2631
36,0.5533,0.9442,0.5533,0.5347,0.6774,2.1918,0.6414,0.5524,0.2635
37,0.5715,0.9473,0.5715,0.5488,0.6635,2.1868,0.6407,0.5705,0.2592
38,0.5707,0.9468,0.5707,0.5494,0.6704,2.0893,0.6429,0.5696,0.2675
39,0.551,0.949,0.551,0.5308,0.6716,2.0785,0.6407,0.5499,0.2706
40,0.572,0.9509,0.572,0.5521,0.6659,1.9303,0.6438,0.5703,0.2691
41,0.57,0.951,0.57,0.5498,0.6603,1.926,0.6592,0.5687,0.2757
42,0.5917,0.9533,0.5917,0.5782,0.6548,1.9154,0.6743,0.5902,0.2767
43,0.5928,0.9547,0.5928,0.5774,0.6506,1.9024,0.6736,0.5919,0.2788
44,0.6138,0.9597,0.6138,0.5977,0.6363,1.7889,0.6969,0.6125,0.2825
45,0.6183,0.9588,0.6183,0.6002,0.635,1.8949,0.6999,0.6172,0.281
46,0.6078,0.9611,0.6078,0.591,0.6394,1.7812,0.6976,0.6068,0.2746
47,0.6282,0.9619,0.6282,0.6118,0.6336,1.7259,0.7071,0.6273,0.3316
48,0.6232,0.9588,0.6232,0.6075,0.6309,1.7726,0.7087,0.6221,0.3313
49,0.63,0.962,0.63,0.6113,0.6263,1.7385,0.7148,0.6291,0.3259
50,0.6193,0.9623,0.6193,0.604,0.6268,1.7592,0.7145,0.6182,0.3426
51,0.6202,0.9635,0.6202,0.6055,0.6309,1.7593,0.7091,0.6191,0.3423
52,0.6252,0.9621,0.6252,0.605,0.6237,1.7269,0.7152,0.6237,0.3235
53,0.636,0.9653,0.636,0.6179,0.6207,1.6423,0.7231,0.6344,0.3239
54,0.6463,0.9712,0.6463,0.6325,0.6087,1.5829,0.7459,0.6455,0.3253
55,0.653,0.9698,0.653,0.6394,0.6131,1.6261,0.7474,0.6519,0.302
56,0.6568,0.9691,0.6568,0.6438,0.6073,1.6392,0.7385,0.6555,0.305
57,0.6467,0.9698,0.6467,0.6315,0.6141,1.619,0.7451,0.6452,0.3121
58,0.6652,0.9715,0.6652,0.6512,0.5956,1.6178,0.7654,0.6639,0.3122
