step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0368,0.5,0.0368,0.0027,1.9263,34.716,0.0385,0.0385,0.0039
1,0.0393,0.4992,0.0393,0.0044,1.5824,33.4142,0.039,0.0396,0.0033
2,0.0608,0.5164,0.0608,0.0148,1.4314,32.1265,0.0521,0.0618,0.0032
3,0.0833,0.5312,0.0833,0.0343,1.3063,30.8094,0.0719,0.0847,0.0032
4,0.0982,0.5433,0.0982,0.0397,1.2212,29.4338,0.0784,0.0981,0.0032
5,0.1168,0.5563,0.1168,0.0553,1.1763,28.0866,0.0865,0.1157,0.0032
6,0.1303,0.5717,0.1303,0.066,1.1553,26.7838,0.0991,0.1303,0.0032
7,0.1403,0.5798,0.1403,0.0777,1.1098,25.533,0.1135,0.1408,0.0032
8,0.1427,0.5816,0.1427,0.0761,1.102,25.5202,0.1134,0.1432,0.0032
9,0.1553,0.591,0.1553,0.0881,1.0711,24.2281,0.1217,0.1559,0.0032
10,0.1618,0.5937,0.1618,0.0896,1.0615,24.2154,0.1345,0.162,0.004
11,0.1718,0.6084,0.1718,0.1001,1.0314,22.9441,0.1515,0.1722,0.004
12,0.1752,0.6132,0.1752,0.109,1.0137,21.7384,0.16,0.1759,0.004
13,0.1897,0.6274,0.1897,0.1218,0.9927,20.3761,0.1664,0.1895,0.004
14,0.1827,0.6236,0.1827,0.1245,1.0215,20.4196,0.1554,0.1825,0.0039
15,0.1867,0.6389,0.1867,0.1344,1.0055,19.1682,0.1704,0.1867,0.004
16,0.1835,0.6376,0.1835,0.1336,1.0202,19.182,0.1694,0.1836,0.004
17,0.1918,0.6504,0.1918,0.1442,1.0042,17.9147,0.1784,0.1919,0.004
18,0.2203,0.6674,0.2203,0.1573,0.9594,17.8165,0.2008,0.2192,0.004
19,0.2205,0.6745,0.2205,0.1615,0.9543,16.6317,0.201,0.2197,0.004
20,0.2085,0.6682,0.2085,0.1655,0.9719,16.6688,0.1986,0.2078,0.0039
21,0.2142,0.6827,0.2142,0.1757,0.9561,15.3489,0.2245,0.2131,0.0039
22,0.212,0.6865,0.212,0.1744,0.9639,15.3506,0.2254,0.2117,0.0039
23,0.2172,0.6905,0.2172,0.1723,0.961,15.3327,0.2271,0.2169,0.0039
24,0.225,0.6916,0.225,0.1837,0.9534,15.3138,0.2368,0.2251,0.0039
25,0.2295,0.6922,0.2295,0.1858,0.9522,15.3111,0.2411,0.2292,0.0039
26,0.235,0.7019,0.235,0.1947,0.9446,14.0101,0.2478,0.2346,0.0039
27,0.2372,0.7027,0.2372,0.193,0.9415,14.0095,0.2494,0.2365,0.0039
