step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0377,0.5,0.0377,0.0028,1.9247,34.686,0.0385,0.0385,0.0105
1,0.0368,0.5049,0.0368,0.0038,1.4385,33.3793,0.0424,0.0376,0.1116
2,0.0462,0.5209,0.0462,0.011,1.2973,32.0825,0.0453,0.0471,0.116
3,0.0682,0.5263,0.0682,0.0141,1.2752,32.0682,0.0518,0.0696,0.1244
4,0.0858,0.538,0.0858,0.0232,1.1875,30.763,0.0552,0.0874,0.1255
5,0.0887,0.5337,0.0887,0.0261,1.1416,29.4545,0.0552,0.0903,0.1252
6,0.0817,0.5374,0.0817,0.0279,1.1149,28.3298,0.0637,0.083,0.1297
7,0.0868,0.5498,0.0868,0.0298,1.0881,26.8239,0.069,0.0881,0.1323
8,0.0863,0.5451,0.0863,0.0355,1.0737,25.8502,0.0638,0.0873,0.135
9,0.0962,0.5509,0.0962,0.0431,1.058,24.6321,0.076,0.0979,0.1377
10,0.084,0.5629,0.084,0.0441,1.0667,24.3756,0.0714,0.085,0.1403
11,0.1012,0.5711,0.1012,0.044,1.0677,24.3426,0.0759,0.1026,0.1406
12,0.123,0.5785,0.123,0.0595,1.0376,23.2199,0.0963,0.1253,0.1502
13,0.126,0.586,0.126,0.0644,1.0289,22.2769,0.0959,0.1281,0.1443
14,0.125,0.5813,0.125,0.0651,1.029,21.2698,0.0945,0.1272,0.1447
15,0.1043,0.58,0.1043,0.0498,1.0529,21.1242,0.0856,0.1052,0.1474
16,0.1373,0.6031,0.1373,0.0734,1.0286,20.1911,0.1236,0.1376,0.1478
17,0.1265,0.6011,0.1265,0.0711,1.0233,19.7564,0.1033,0.1268,0.1498
18,0.1215,0.585,0.1215,0.0633,1.0287,19.8268,0.0972,0.1219,0.1523
19,0.1422,0.5983,0.1422,0.0862,1.013,19.0055,0.122,0.1425,0.1501
20,0.1332,0.6062,0.1332,0.0929,1.0165,17.497,0.1218,0.1334,0.1559
21,0.1502,0.6077,0.1502,0.1041,0.9955,16.8376,0.1335,0.1501,0.1544
22,0.1637,0.6153,0.1637,0.1079,0.9942,16.3988,0.1282,0.164,0.1572
23,0.1742,0.6264,0.1742,0.1212,0.9847,15.8428,0.1459,0.1743,0.1576
24,0.1787,0.6415,0.1787,0.1288,0.9762,15.4353,0.1558,0.1787,0.1599
25,0.1867,0.6442,0.1867,0.1326,0.9682,15.1789,0.1693,0.1866,0.1602
26,0.1715,0.6343,0.1715,0.1209,0.9817,16.005,0.1515,0.171,0.1609
27,0.1845,0.6324,0.1845,0.1274,0.9751,15.7521,0.1549,0.1849,0.162
28,0.1903,0.6344,0.1903,0.1428,0.9696,15.6066,0.1687,0.1902,0.1661
29,0.1895,0.6461,0.1895,0.1423,0.9765,15.1682,0.1632,0.1896,0.1614
30,0.2057,0.6464,0.2057,0.1431,0.9547,15.3672,0.1761,0.2056,0.1628
31,0.1945,0.6433,0.1945,0.1324,0.9576,15.5832,0.1695,0.1943,0.1629
32,0.2065,0.6434,0.2065,0.1458,0.9589,15.6868,0.1912,0.2061,0.1653
33,0.215,0.645,0.215,0.1548,0.9494,15.7765,0.1812,0.2145,0.1637
34,0.215,0.6609,0.215,0.1461,0.9491,15.6231,0.1804,0.2147,0.1648
35,0.2095,0.663,0.2095,0.1507,0.9523,14.4319,0.1924,0.2091,0.1652
36,0.2132,0.667,0.2132,0.1599,0.9421,13.9357,0.1927,0.2127,0.1658
37,0.2152,0.6846,0.2152,0.165,0.9477,13.1749,0.1974,0.2149,0.1679
38,0.2092,0.6902,0.2092,0.1512,0.9453,11.9339,0.1887,0.2089,0.166
39,0.2263,0.6784,0.2263,0.1676,0.9332,12.0135,0.1947,0.226,0.1671
40,0.2133,0.7052,0.2133,0.1619,0.9334,10.3534,0.2088,0.2129,0.1695
41,0.2257,0.6873,0.2257,0.1733,0.9313,11.0541,0.2127,0.225,0.166
42,0.225,0.6932,0.225,0.1715,0.9273,10.7658,0.2186,0.2246,0.1671
43,0.2222,0.6844,0.2222,0.1645,0.9336,11.2098,0.2098,0.2218,0.1665
44,0.2202,0.7066,0.2202,0.1579,0.921,10.3536,0.2118,0.2199,0.1668
45,0.2192,0.7088,0.2192,0.1665,0.9195,10.4179,0.2212,0.2189,0.1685
46,0.2197,0.6884,0.2197,0.172,0.9293,10.794,0.2064,0.219,0.1682
47,0.2268,0.6885,0.2268,0.1797,0.9303,11.25,0.2179,0.2263,0.1693
48,0.224,0.7062,0.224,0.1728,0.9198,10.2551,0.2165,0.2235,0.17
49,0.2385,0.7094,0.2385,0.1937,0.9135,10.5426,0.2417,0.2376,0.1692
50,0.2513,0.7247,0.2513,0.2067,0.8936,9.9864,0.2634,0.2512,0.1689
51,0.2402,0.721,0.2402,0.2026,0.9058,10.3163,0.2476,0.2396,0.1706
52,0.244,0.7214,0.244,0.204,0.9014,10.058,0.2621,0.2434,0.1705
53,0.243,0.7089,0.243,0.2059,0.9071,10.7006,0.2536,0.2428,0.1702
54,0.2428,0.7315,0.2428,0.2129,0.8987,9.2507,0.2678,0.2422,0.169
55,0.2463,0.741,0.2463,0.2211,0.9048,9.0291,0.2719,0.2463,0.1747
56,0.2613,0.74,0.2613,0.2256,0.8956,8.7562,0.2676,0.2609,0.1738
57,0.2592,0.7403,0.2592,0.2268,0.8884,9.5795,0.2848,0.2589,0.1756
58,0.2727,0.7557,0.2727,0.2366,0.8787,8.3735,0.2929,0.2723,0.1749
59,0.2633,0.7477,0.2633,0.2352,0.8824,8.6272,0.2846,0.2628,0.1758
