step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4227,0.7229,0.4227,0.3165,0.7979,15.2928,0.4411,0.4272,0.0822
1,0.5515,0.8212,0.5515,0.4897,0.629,8.3989,0.6049,0.5568,0.1596
2,0.6831,0.9237,0.6831,0.6755,0.4758,1.1662,0.773,0.6842,0.1622
3,0.7113,0.9187,0.7113,0.706,0.4278,1.1831,0.7894,0.7135,0.1621
4,0.7586,0.9577,0.7586,0.7501,0.3727,0.8708,0.8245,0.7588,0.1626
5,0.7708,0.9635,0.7708,0.7639,0.3546,0.8234,0.8451,0.7703,0.1647
6,0.7726,0.9651,0.7726,0.7655,0.3376,0.7908,0.8543,0.7719,0.1619
7,0.7941,0.9725,0.7941,0.7871,0.3111,0.7179,0.8671,0.793,0.1618
8,0.8387,0.9801,0.8387,0.8375,0.2749,0.617,0.9014,0.8387,0.1621
9,0.8475,0.9823,0.8475,0.8453,0.2622,0.5832,0.9176,0.8471,0.1634
10,0.8672,0.9857,0.8672,0.8677,0.2347,0.5255,0.9256,0.8675,0.1635
11,0.8705,0.9858,0.8705,0.8705,0.2269,0.5093,0.9256,0.8709,0.1654
12,0.873,0.9863,0.873,0.8724,0.2142,0.4847,0.9303,0.8731,0.1636
13,0.8748,0.9864,0.8748,0.8747,0.2086,0.4764,0.9363,0.8748,0.1641
14,0.8748,0.9898,0.8748,0.8745,0.2102,0.452,0.9386,0.8749,0.1645
15,0.8851,0.991,0.8851,0.8843,0.1966,0.4314,0.9456,0.885,0.1661
16,0.8793,0.9911,0.8793,0.8785,0.1972,0.4292,0.9449,0.8794,0.1666
17,0.8878,0.9921,0.8878,0.887,0.1859,0.4084,0.9503,0.8881,0.1689
18,0.8939,0.9928,0.8939,0.8943,0.1833,0.3975,0.9512,0.8945,0.1718
19,0.8972,0.9927,0.8972,0.8976,0.1846,0.4002,0.9505,0.8977,0.1704
20,0.8945,0.9924,0.8945,0.895,0.1858,0.3989,0.9487,0.8949,0.1776
21,0.8969,0.9926,0.8969,0.8976,0.1802,0.3888,0.9508,0.8974,0.1689
22,0.8978,0.9928,0.8978,0.8985,0.1752,0.3794,0.9531,0.8984,0.1691
23,0.8996,0.9926,0.8996,0.9003,0.1739,0.3779,0.9532,0.9003,0.1676
24,0.899,0.9927,0.899,0.8995,0.1718,0.3716,0.9515,0.8999,0.1679
25,0.8978,0.9927,0.8978,0.8981,0.1702,0.3687,0.9522,0.8985,0.1703
26,0.8969,0.9926,0.8969,0.8971,0.1694,0.3668,0.9519,0.8976,0.1821
27,0.9054,0.9936,0.9054,0.9055,0.1615,0.3524,0.9569,0.9059,0.1722
28,0.9057,0.9935,0.9057,0.9059,0.1604,0.354,0.9576,0.906,0.1718
29,0.9081,0.9937,0.9081,0.9082,0.158,0.3492,0.9587,0.9085,0.1706
30,0.9096,0.9938,0.9096,0.9098,0.1558,0.3434,0.9591,0.9099,0.1826
31,0.9102,0.9939,0.9102,0.9103,0.1542,0.3408,0.9598,0.9103,0.1965
32,0.9139,0.9941,0.9139,0.9137,0.1496,0.3308,0.9605,0.9139,0.1736
33,0.9166,0.9946,0.9166,0.9169,0.1488,0.3283,0.9627,0.9168,0.1712
34,0.9218,0.9946,0.9218,0.9217,0.1461,0.3256,0.9636,0.9218,0.1865
35,0.9215,0.9948,0.9215,0.9214,0.1442,0.3219,0.9649,0.9214,0.1843
36,0.9227,0.9949,0.9227,0.9226,0.1427,0.3193,0.9657,0.9226,0.1764
37,0.9218,0.9947,0.9218,0.9217,0.1447,0.3233,0.965,0.9217,0.1732
38,0.9212,0.9947,0.9212,0.9213,0.143,0.3206,0.9652,0.9212,0.1736
39,0.9266,0.9949,0.9266,0.9271,0.1412,0.3175,0.9667,0.9269,0.1704
40,0.9257,0.995,0.9257,0.9261,0.1395,0.3131,0.9671,0.9259,0.172
