step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7047,0.9086,0.7047,0.6655,0.4658,4.222,0.7571,0.7014,0.0896
1,0.7784,0.9737,0.7784,0.7695,0.3651,0.7626,0.8616,0.7767,0.0656
2,0.8075,0.981,0.8075,0.8007,0.311,0.6682,0.9028,0.8061,0.1592
3,0.8526,0.9898,0.8526,0.8494,0.2424,0.5154,0.9343,0.8529,0.1475
4,0.8684,0.9898,0.8684,0.8649,0.2144,0.4705,0.9396,0.8684,0.1564
5,0.8775,0.9908,0.8775,0.8738,0.1966,0.4376,0.9457,0.8772,0.158
6,0.8814,0.9917,0.8814,0.8781,0.1849,0.4102,0.9498,0.8815,0.159
7,0.8966,0.9923,0.8966,0.8942,0.1725,0.3883,0.9538,0.8963,0.1566
8,0.9024,0.9929,0.9024,0.9005,0.1639,0.3739,0.9583,0.9021,0.1507
9,0.9087,0.994,0.9087,0.9067,0.1578,0.3581,0.9624,0.9082,0.157
10,0.9063,0.994,0.9063,0.9044,0.1551,0.3539,0.9628,0.9058,0.1602
11,0.9112,0.9942,0.9112,0.9094,0.1489,0.341,0.964,0.9107,0.1551
12,0.9115,0.9944,0.9115,0.9095,0.1454,0.3331,0.9652,0.9109,0.1579
13,0.9121,0.9946,0.9121,0.9103,0.1448,0.329,0.9667,0.9115,0.1595
14,0.9118,0.9946,0.9118,0.9096,0.1426,0.3239,0.9665,0.9111,0.1486
15,0.9127,0.9944,0.9127,0.9105,0.141,0.3219,0.9662,0.912,0.151
16,0.9127,0.9945,0.9127,0.9107,0.1373,0.3137,0.9666,0.9121,0.1654
17,0.9151,0.9946,0.9151,0.9134,0.1342,0.3067,0.9673,0.9146,0.1586
18,0.9187,0.9947,0.9187,0.9171,0.1309,0.301,0.9681,0.9183,0.1604
19,0.9212,0.9947,0.9212,0.9199,0.1278,0.2957,0.9684,0.9208,0.1608
20,0.9221,0.9947,0.9221,0.9208,0.1263,0.293,0.9694,0.9217,0.1597
21,0.9221,0.9947,0.9221,0.9209,0.1241,0.2891,0.9696,0.9217,0.1579
22,0.9239,0.9946,0.9239,0.9227,0.1233,0.2879,0.9692,0.9236,0.1593
23,0.9263,0.9946,0.9263,0.9253,0.1222,0.2854,0.9691,0.9261,0.1598
24,0.9266,0.9946,0.9266,0.9256,0.1202,0.2815,0.9692,0.9264,0.1632
25,0.9275,0.9946,0.9275,0.9267,0.1189,0.2782,0.9696,0.9273,0.1565
26,0.9269,0.9948,0.9269,0.926,0.118,0.2747,0.9703,0.9267,0.1638
27,0.9275,0.9949,0.9275,0.9267,0.1162,0.2698,0.9706,0.9273,0.1567
28,0.9269,0.995,0.9269,0.9261,0.1152,0.2674,0.9707,0.9267,0.1476
29,0.9284,0.9951,0.9284,0.9277,0.1138,0.2641,0.9712,0.9283,0.1586
30,0.9284,0.995,0.9284,0.9277,0.1137,0.264,0.9711,0.9283,0.1609
31,0.9275,0.995,0.9275,0.9268,0.113,0.2625,0.9712,0.9274,0.1641
32,0.9294,0.995,0.9294,0.9286,0.1116,0.2606,0.9715,0.9291,0.152
33,0.9294,0.9951,0.9294,0.9286,0.1112,0.2591,0.9717,0.9291,0.1579
34,0.9297,0.9951,0.9297,0.9289,0.1113,0.2585,0.9719,0.9295,0.1582
35,0.93,0.9951,0.93,0.9292,0.1104,0.2572,0.9717,0.9298,0.1652
36,0.93,0.9951,0.93,0.9293,0.1103,0.256,0.9719,0.9298,0.1584
37,0.9297,0.9951,0.9297,0.9289,0.1099,0.2553,0.972,0.9295,0.159
38,0.9297,0.995,0.9297,0.9289,0.1103,0.2562,0.9715,0.9295,0.1667
39,0.9281,0.9953,0.9281,0.9274,0.1107,0.2543,0.9719,0.928,0.1465
40,0.9284,0.9953,0.9284,0.9277,0.1105,0.254,0.9719,0.9283,0.1526
41,0.9297,0.9953,0.9297,0.9289,0.1098,0.2529,0.9717,0.9295,0.1609
