step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0112
1,0.168,0.542,0.168,0.0556,1.3161,28.6527,0.1155,0.1615,0.0107
2,0.2623,0.6104,0.2623,0.1215,1.131,25.2281,0.1812,0.2597,0.0127
3,0.3484,0.6682,0.3484,0.2002,0.9586,21.8449,0.2858,0.3495,0.0174
4,0.403,0.7111,0.403,0.2698,0.879,18.5099,0.3138,0.407,0.016
5,0.4169,0.6983,0.4169,0.3038,0.8673,15.3915,0.3112,0.4215,0.0174
6,0.4112,0.7063,0.4112,0.2995,0.8533,15.399,0.3433,0.4158,0.0162
7,0.4196,0.7155,0.4196,0.2988,0.8207,15.3538,0.3788,0.4239,0.0164
8,0.4008,0.7153,0.4008,0.2827,0.84,15.3756,0.3723,0.4059,0.0164
9,0.4815,0.7679,0.4815,0.3807,0.7433,11.7465,0.4769,0.4834,0.0164
10,0.4936,0.7681,0.4936,0.3871,0.7279,11.7165,0.4691,0.4969,0.0194
11,0.5173,0.7617,0.5173,0.4082,0.7232,11.7344,0.4777,0.5195,0.0222
12,0.537,0.78,0.537,0.4465,0.6916,8.578,0.5192,0.54,0.0223
13,0.5901,0.8155,0.5901,0.5305,0.6329,5.0475,0.5791,0.5903,0.0225
14,0.5764,0.8126,0.5764,0.5161,0.655,5.1039,0.5803,0.5764,0.0238
15,0.5643,0.8116,0.5643,0.4992,0.6545,5.1008,0.5619,0.5641,0.0233
16,0.5691,0.812,0.5691,0.5162,0.6592,5.12,0.5549,0.5692,0.0227
17,0.6246,0.865,0.6246,0.5996,0.5586,1.4962,0.6692,0.6227,0.0227
18,0.6367,0.8935,0.6367,0.6178,0.5299,1.3607,0.7021,0.6354,0.0225
19,0.6568,0.8966,0.6568,0.6368,0.515,1.33,0.7134,0.6569,0.0244
20,0.6671,0.9032,0.6671,0.6458,0.5045,1.308,0.7256,0.6666,0.0229
21,0.6559,0.9051,0.6559,0.6291,0.5066,1.299,0.7241,0.6563,0.0223
22,0.651,0.904,0.651,0.6183,0.5128,1.3177,0.708,0.6506,0.0223
23,0.648,0.903,0.648,0.6146,0.516,1.3276,0.7035,0.6476,0.0234
24,0.6486,0.9027,0.6486,0.6138,0.5144,1.3424,0.7091,0.6483,0.0229
25,0.6698,0.9016,0.6698,0.6393,0.4992,1.3294,0.7165,0.6687,0.023
26,0.711,0.9072,0.711,0.6894,0.4525,1.2522,0.7455,0.7114,0.0235
27,0.7198,0.9089,0.7198,0.6952,0.4408,1.2432,0.7659,0.7204,0.0233
28,0.7223,0.9448,0.7223,0.7074,0.4259,1.0057,0.7849,0.7232,0.0228
29,0.7268,0.9452,0.7268,0.7121,0.4222,1.0015,0.7917,0.7277,0.0234
30,0.7417,0.9458,0.7417,0.7262,0.4057,0.9779,0.7929,0.7434,0.024
31,0.7662,0.9477,0.7662,0.7504,0.3817,0.9345,0.8005,0.7669,0.0237
32,0.7832,0.9532,0.7832,0.7664,0.3609,0.8856,0.8131,0.7832,0.0236
33,0.8017,0.955,0.8017,0.794,0.3437,0.8643,0.8344,0.8027,0.0238
34,0.7956,0.956,0.7956,0.7876,0.3479,0.8366,0.8331,0.7962,0.024
35,0.8163,0.96,0.8163,0.809,0.326,0.774,0.8404,0.8159,0.0244
36,0.8205,0.9631,0.8205,0.8129,0.3186,0.7413,0.8439,0.8198,0.0235
37,0.8214,0.9624,0.8214,0.815,0.3155,0.7422,0.8492,0.8209,0.0266
38,0.825,0.9636,0.825,0.8187,0.3117,0.7345,0.8515,0.8243,0.0243
39,0.8263,0.9715,0.8263,0.8211,0.3109,0.7085,0.8545,0.8256,0.0245
40,0.8226,0.9705,0.8226,0.8163,0.3123,0.7112,0.8532,0.822,0.0241
41,0.8317,0.972,0.8317,0.826,0.2998,0.6864,0.8608,0.8308,0.0236
42,0.8263,0.9703,0.8263,0.82,0.3061,0.7017,0.8533,0.8255,0.0242
43,0.8169,0.9692,0.8169,0.8129,0.3157,0.7173,0.8463,0.8159,0.0246
44,0.8257,0.9703,0.8257,0.8204,0.3099,0.7055,0.8519,0.8244,0.0241
45,0.8235,0.9701,0.8235,0.8182,0.3112,0.7087,0.8505,0.8222,0.0241
46,0.8166,0.9697,0.8166,0.8103,0.3158,0.7171,0.8477,0.8147,0.0236
47,0.8126,0.9695,0.8126,0.806,0.3141,0.7171,0.848,0.8107,0.025
48,0.8208,0.9703,0.8208,0.8146,0.3049,0.7032,0.8562,0.8194,0.0242
49,0.8229,0.9704,0.8229,0.8166,0.3038,0.7067,0.8601,0.8216,0.0237
50,0.8184,0.9696,0.8184,0.811,0.3069,0.7131,0.8552,0.8168,0.0244
51,0.8166,0.9699,0.8166,0.8121,0.3105,0.7119,0.8503,0.8148,0.0249
52,0.8147,0.9707,0.8147,0.8099,0.3095,0.7016,0.8517,0.8127,0.0245
53,0.8205,0.9732,0.8205,0.8168,0.2996,0.685,0.8648,0.8188,0.0248
54,0.8247,0.9737,0.8247,0.8206,0.2952,0.6761,0.8657,0.8233,0.0239
55,0.8275,0.9763,0.8275,0.8237,0.2876,0.6473,0.8734,0.8259,0.0251
56,0.8211,0.9761,0.8211,0.8165,0.29,0.6519,0.8724,0.8193,0.0307
57,0.8335,0.9771,0.8335,0.8281,0.275,0.6252,0.8758,0.8324,0.0256
58,0.8375,0.9776,0.8375,0.8312,0.2681,0.6132,0.8783,0.8365,0.0265
59,0.8384,0.9768,0.8384,0.8314,0.2696,0.6218,0.8779,0.8374,0.0263
