step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0084
1,0.1695,0.5475,0.1695,0.0578,1.3286,28.9227,0.1171,0.1699,0.5283
2,0.2326,0.6013,0.2326,0.1078,1.1165,25.5729,0.1725,0.2357,0.524
3,0.2853,0.6518,0.2853,0.1696,0.9991,22.2532,0.2414,0.2908,0.5904
4,0.3032,0.6541,0.3032,0.1734,0.992,22.2567,0.2502,0.3099,0.586
5,0.305,0.6599,0.305,0.1792,1.0062,22.2527,0.251,0.3094,0.4805
6,0.3347,0.6651,0.3347,0.1966,0.9843,22.243,0.2586,0.3404,0.5055
7,0.4306,0.7158,0.4306,0.2938,0.8977,18.6519,0.3299,0.4324,0.5032
8,0.476,0.7598,0.476,0.3664,0.8498,15.1121,0.3949,0.476,0.5799
9,0.3954,0.7609,0.3954,0.2988,0.8553,15.1299,0.4051,0.3955,0.4915
10,0.409,0.804,0.409,0.3261,0.8245,11.6219,0.4703,0.4086,0.5313
11,0.3902,0.8007,0.3902,0.3074,0.8247,11.6317,0.4633,0.3904,0.528
12,0.4166,0.8047,0.4166,0.3175,0.814,11.6155,0.4945,0.4153,0.5952
13,0.4767,0.803,0.4767,0.3859,0.805,11.6015,0.5008,0.4726,0.5317
14,0.48,0.8079,0.48,0.3862,0.8033,11.6005,0.5138,0.4777,0.5257
15,0.5067,0.8595,0.5067,0.4347,0.771,8.3419,0.6049,0.5055,0.5357
16,0.507,0.8629,0.507,0.4265,0.7674,8.3314,0.6262,0.5061,0.5681
17,0.527,0.8604,0.527,0.45,0.7685,8.3362,0.6156,0.5274,0.6323
18,0.5194,0.8619,0.5194,0.4411,0.7716,8.3442,0.6184,0.5191,0.4992
19,0.5118,0.8644,0.5118,0.4233,0.7771,8.3573,0.626,0.5116,0.5093
20,0.5158,0.8547,0.5158,0.4321,0.7736,5.2576,0.6255,0.5158,0.4971
21,0.5512,0.8525,0.5512,0.4783,0.7706,5.2553,0.6157,0.5527,0.5128
22,0.5731,0.8541,0.5731,0.4856,0.7653,5.2505,0.6241,0.5759,0.6182
23,0.5973,0.856,0.5973,0.5057,0.7692,5.262,0.6239,0.599,0.5745
24,0.6586,0.8571,0.6586,0.5883,0.7625,5.2435,0.6276,0.6579,0.5047
25,0.6871,0.8601,0.6871,0.6181,0.7637,5.2447,0.6375,0.6882,0.5229
26,0.6662,0.8602,0.6662,0.6058,0.7716,5.2664,0.6368,0.6659,0.5974
27,0.5916,0.8627,0.5916,0.5282,0.7732,5.272,0.652,0.5905,0.6046
28,0.5646,0.8634,0.5646,0.495,0.7732,5.2777,0.6506,0.5645,0.5459
29,0.5713,0.8651,0.5713,0.4999,0.7776,5.2928,0.6536,0.5715,0.5302
30,0.5779,0.8652,0.5779,0.4841,0.7833,5.3112,0.6504,0.5765,0.564
31,0.5791,0.8639,0.5791,0.4868,0.7831,5.2795,0.6609,0.5778,0.5518
32,0.5652,0.8642,0.5652,0.4681,0.7825,5.2795,0.6622,0.5638,0.5842
33,0.6474,0.8647,0.6474,0.5735,0.7818,5.277,0.6628,0.6494,0.554
34,0.6125,0.8641,0.6125,0.544,0.7874,5.2917,0.6627,0.6147,0.5308
35,0.6301,0.8637,0.6301,0.5545,0.7832,5.2851,0.6609,0.6333,0.6765
36,0.6507,0.861,0.6507,0.601,0.786,5.278,0.6553,0.6549,0.5776
37,0.711,0.8601,0.711,0.6741,0.7828,5.2721,0.647,0.7129,0.5935
38,0.7153,0.8617,0.7153,0.678,0.7839,5.2757,0.6496,0.7174,0.5716
39,0.6498,0.8623,0.6498,0.5939,0.7839,5.2764,0.6539,0.6501,0.646
40,0.641,0.863,0.641,0.5783,0.7819,5.2766,0.6545,0.6417,0.6209
41,0.6304,0.8638,0.6304,0.5626,0.7801,5.2733,0.6617,0.6313,0.6021
42,0.5609,0.8624,0.5609,0.4697,0.7822,5.2784,0.6571,0.5618,0.608
43,0.5843,0.8625,0.5843,0.5121,0.7841,5.2751,0.6587,0.5862,0.588
44,0.5561,0.862,0.5561,0.4606,0.7854,5.2796,0.6555,0.5576,0.5967
45,0.5706,0.8622,0.5706,0.4845,0.788,5.2761,0.6552,0.5728,0.5943
46,0.5713,0.9117,0.5713,0.4858,0.766,1.7878,0.7432,0.5733,0.5838
47,0.6046,0.9103,0.6046,0.5449,0.7611,1.77,0.7375,0.6053,0.6291
48,0.6113,0.9104,0.6113,0.5507,0.7628,1.7772,0.7384,0.6123,0.6413
49,0.6331,0.9628,0.6331,0.5777,0.7518,1.7135,0.7953,0.6352,0.6204
50,0.6034,0.9593,0.6034,0.5414,0.7539,1.7179,0.781,0.605,0.596
51,0.664,0.9596,0.664,0.6333,0.752,1.7092,0.7814,0.6682,0.6068
52,0.6789,0.9646,0.6789,0.6526,0.7455,1.68,0.7963,0.6825,0.6895
53,0.7262,0.9676,0.7262,0.7021,0.73,1.643,0.8148,0.7278,0.6589
54,0.7256,0.9685,0.7256,0.7013,0.7256,1.6358,0.827,0.7272,0.5774
55,0.6753,0.9686,0.6753,0.6383,0.7268,1.6391,0.825,0.6754,0.592
56,0.6631,0.9653,0.6631,0.6126,0.729,1.6458,0.817,0.6637,0.6543
57,0.6595,0.9652,0.6595,0.6085,0.7299,1.6473,0.8108,0.6601,0.682
58,0.6777,0.9793,0.6777,0.6364,0.7253,1.6314,0.8655,0.6792,0.6597
59,0.6659,0.9794,0.6659,0.6223,0.7262,1.6357,0.8651,0.6677,0.641
