step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0961,0.5,0.0961,0.0175,1.8078,32.5792,0.1,0.1,1.5406
1,0.0979,0.5312,0.0979,0.0209,1.7069,29.5313,0.1148,0.1019,0.222
2,0.151,0.5634,0.151,0.0624,1.4507,26.229,0.2169,0.1571,0.2141
3,0.1762,0.5868,0.1762,0.1029,1.3198,22.7026,0.2447,0.1813,0.2272
4,0.1862,0.6067,0.1862,0.1128,1.2205,22.6376,0.2667,0.1909,0.2288
5,0.1992,0.6051,0.1992,0.1209,1.2013,22.6363,0.2674,0.2035,0.2377
6,0.1762,0.6002,0.1762,0.0919,1.1582,22.6249,0.2563,0.1813,0.2435
7,0.2122,0.6271,0.2122,0.1467,1.0479,19.3618,0.301,0.2192,0.2485
8,0.2122,0.5984,0.2122,0.1404,1.0338,19.3982,0.286,0.2191,0.2599
9,0.2796,0.6481,0.2796,0.1989,0.9408,15.828,0.323,0.2835,0.2744
10,0.3017,0.6881,0.3017,0.2359,0.8949,12.3307,0.3831,0.3048,0.3122
11,0.312,0.691,0.312,0.2438,0.8699,12.3052,0.3854,0.3147,0.2979
12,0.3957,0.7371,0.3957,0.3364,0.8046,8.742,0.4623,0.3952,0.2478
13,0.4172,0.7347,0.4172,0.3534,0.8019,8.7342,0.4661,0.418,0.2784
14,0.4257,0.7678,0.4257,0.3753,0.7746,8.4522,0.509,0.4275,0.255
15,0.4227,0.7731,0.4227,0.3703,0.7752,8.4552,0.5146,0.4265,0.2562
16,0.4763,0.8052,0.4763,0.424,0.7612,8.4175,0.5938,0.4774,0.2695
17,0.4666,0.8091,0.4666,0.409,0.764,8.4277,0.603,0.4697,0.3208
18,0.4445,0.8075,0.4445,0.3922,0.7748,8.4542,0.5934,0.4472,0.2971
19,0.5009,0.8127,0.5009,0.4528,0.7648,8.4282,0.6139,0.5014,0.293
20,0.5121,0.812,0.5121,0.4527,0.7689,8.4371,0.6057,0.5121,0.2807
21,0.4718,0.8131,0.4718,0.411,0.7768,8.4503,0.605,0.4726,0.2512
22,0.5015,0.862,0.5015,0.4606,0.7439,5.1937,0.6817,0.5035,0.2585
23,0.4718,0.8532,0.4718,0.4274,0.7604,5.2373,0.6599,0.4745,0.305
24,0.4618,0.8567,0.4618,0.4141,0.7672,5.2546,0.6618,0.4645,0.2496
25,0.4254,0.8574,0.4254,0.3771,0.7766,5.2772,0.6697,0.428,0.268
26,0.3884,0.857,0.3884,0.3406,0.7815,5.2845,0.668,0.3915,0.2761
27,0.4248,0.8649,0.4248,0.3502,0.7762,5.2776,0.6926,0.4261,0.306
28,0.396,0.864,0.396,0.3197,0.7825,5.2935,0.6906,0.3978,0.2483
29,0.3081,0.8619,0.3081,0.2446,0.7987,5.3266,0.6782,0.308,0.2872
30,0.2495,0.8618,0.2495,0.1782,0.8133,5.3545,0.6769,0.2489,0.329
31,0.2747,0.8695,0.2747,0.2139,0.7969,5.305,0.6911,0.2731,0.2645
32,0.3178,0.8711,0.3178,0.2694,0.7881,5.2772,0.6897,0.3179,0.2775
33,0.3278,0.8644,0.3278,0.2851,0.7907,5.2904,0.6467,0.3296,0.3391
34,0.3432,0.8621,0.3432,0.3095,0.7847,5.2801,0.6476,0.3457,0.2462
35,0.3702,0.8641,0.3702,0.3535,0.7708,5.2551,0.6656,0.3738,0.3236
36,0.3869,0.8713,0.3869,0.3666,0.7672,5.2478,0.6771,0.3912,0.3214
37,0.3869,0.9199,0.3869,0.3666,0.7468,1.7621,0.7573,0.3912,0.3083
38,0.3287,0.9185,0.3287,0.3134,0.753,1.7719,0.7528,0.3324,0.2658
39,0.339,0.9194,0.339,0.315,0.7468,1.7627,0.7557,0.3423,0.3155
40,0.3766,0.9224,0.3766,0.3348,0.7429,1.7592,0.7643,0.3815,0.284
41,0.319,0.923,0.319,0.2767,0.7494,1.7715,0.7689,0.3238,0.2556
42,0.3281,0.9218,0.3281,0.2951,0.7439,1.7497,0.7628,0.3325,0.3123
43,0.3836,0.9255,0.3836,0.369,0.7361,1.7306,0.7775,0.3859,0.2799
44,0.4454,0.9253,0.4454,0.4466,0.7303,1.7274,0.781,0.4502,0.3113
45,0.4618,0.9274,0.4618,0.4456,0.7286,1.7272,0.7916,0.4679,0.3208
46,0.4624,0.9291,0.4624,0.4468,0.7244,1.7108,0.7984,0.4685,0.3042
47,0.4515,0.9288,0.4515,0.4231,0.7251,1.7168,0.7951,0.4579,0.3268
48,0.4281,0.9283,0.4281,0.4009,0.7302,1.7245,0.7934,0.4342,0.2917
49,0.4491,0.93,0.4491,0.4077,0.7312,1.7297,0.7991,0.4543,0.2901
50,0.4178,0.9306,0.4178,0.3672,0.7334,1.738,0.8033,0.424,0.3152
51,0.4112,0.9307,0.4112,0.3431,0.7357,1.7465,0.8029,0.4176,0.3244
52,0.429,0.9264,0.429,0.3679,0.7348,1.7469,0.7966,0.4347,0.2839
53,0.3463,0.9273,0.3463,0.2602,0.7438,1.7665,0.7977,0.3509,0.3164
54,0.3266,0.9272,0.3266,0.2319,0.7508,1.7821,0.7962,0.3311,0.2739
55,0.332,0.9309,0.332,0.2408,0.7482,1.7737,0.8045,0.3363,0.3206
56,0.3026,0.9304,0.3026,0.199,0.757,1.7892,0.8032,0.3066,0.3518
57,0.2893,0.9325,0.2893,0.1856,0.7639,1.8026,0.8104,0.2935,0.3091
58,0.3008,0.9311,0.3008,0.2039,0.7624,1.8034,0.8053,0.3046,0.3091
59,0.3008,0.931,0.3008,0.2032,0.7618,1.8032,0.8063,0.3046,0.2939
