step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7438,0.9371,0.7438,0.7424,0.5544,2.4654,0.8189,0.7472,7.3711
1,0.7887,0.9841,0.7887,0.7784,0.4289,0.9244,0.8857,0.7861,6.2484
2,0.8402,0.9905,0.8402,0.8359,0.3532,0.7706,0.9388,0.8389,6.3614
3,0.8532,0.9887,0.8532,0.8464,0.3047,0.6901,0.9346,0.8521,6.6197
4,0.8954,0.9933,0.8954,0.8923,0.2526,0.5713,0.9563,0.8944,6.7032
5,0.8793,0.9944,0.8793,0.8796,0.252,0.5536,0.9595,0.8803,7.0001
6,0.9099,0.9963,0.9099,0.9103,0.2211,0.4858,0.9688,0.9106,6.9473
7,0.9266,0.9976,0.9266,0.9267,0.1953,0.4368,0.9806,0.927,7.1322
8,0.9342,0.9984,0.9342,0.9341,0.1787,0.4053,0.9874,0.9348,7.3055
9,0.9394,0.9983,0.9394,0.9392,0.1684,0.3852,0.9852,0.9404,7.5935
10,0.9633,0.9989,0.9633,0.9636,0.1328,0.3355,0.9922,0.9636,7.6416
11,0.9615,0.999,0.9615,0.9617,0.1328,0.3184,0.9919,0.9618,7.7427
12,0.9709,0.9992,0.9709,0.9711,0.1242,0.3089,0.9939,0.9711,7.9077
13,0.9676,0.9993,0.9676,0.9677,0.1134,0.2842,0.9942,0.9676,7.9788
14,0.9757,0.9994,0.9757,0.9759,0.1017,0.264,0.9955,0.9759,8.1653
15,0.976,0.9992,0.976,0.9763,0.0963,0.2623,0.9957,0.9763,8.201
16,0.9745,0.9995,0.9745,0.9748,0.0924,0.2406,0.9959,0.9748,8.3684
17,0.9754,0.9993,0.9754,0.9757,0.0881,0.2388,0.9959,0.9756,8.468
18,0.9727,0.9993,0.9727,0.9731,0.0853,0.2337,0.9956,0.973,8.6121
19,0.9827,0.9996,0.9827,0.983,0.0805,0.2158,0.9967,0.983,8.5928
20,0.9818,0.9996,0.9818,0.9821,0.0788,0.2136,0.997,0.982,8.7011
