step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0078
1,0.1731,0.5589,0.1731,0.0572,1.2733,28.665,0.158,0.1665,0.106
2,0.2617,0.6181,0.2617,0.1205,1.0591,25.0202,0.2649,0.2516,0.114
3,0.3226,0.6554,0.3226,0.1857,0.9689,21.7362,0.2841,0.3152,0.119
4,0.3414,0.6829,0.3414,0.2403,0.9081,18.4605,0.3286,0.3365,0.1174
5,0.2386,0.6824,0.2386,0.1759,0.9499,18.4928,0.3122,0.2345,0.122
6,0.2229,0.6601,0.2229,0.177,0.9591,18.5076,0.2886,0.2207,0.1224
7,0.2268,0.6959,0.2268,0.1899,0.9234,15.2542,0.3211,0.2279,0.1213
8,0.3241,0.7089,0.3241,0.254,0.883,15.211,0.35,0.322,0.124
9,0.3605,0.7245,0.3605,0.2749,0.8569,15.1807,0.3855,0.3599,0.1266
10,0.4236,0.7802,0.4236,0.357,0.7834,11.6001,0.4517,0.421,0.1275
11,0.4539,0.7844,0.4539,0.3977,0.7547,8.8238,0.4917,0.4521,0.1316
12,0.433,0.7673,0.433,0.3816,0.7656,8.5333,0.4583,0.4297,0.1337
13,0.4703,0.8135,0.4703,0.4356,0.7218,4.9683,0.5195,0.4673,0.1309
14,0.4069,0.7634,0.4069,0.3696,0.7704,5.5735,0.4309,0.4038,0.1333
15,0.4997,0.8059,0.4997,0.4424,0.7119,5.9624,0.5218,0.4932,0.1325
16,0.4669,0.8353,0.4669,0.421,0.7114,5.07,0.521,0.4627,0.1304
17,0.4861,0.8202,0.4861,0.4314,0.7079,5.3526,0.5214,0.4809,0.1319
18,0.5525,0.895,0.5525,0.5254,0.6502,1.6768,0.6133,0.5492,0.133
19,0.5491,0.8664,0.5491,0.5176,0.6634,1.5653,0.6029,0.5465,0.1331
20,0.57,0.9078,0.57,0.5545,0.6386,1.4287,0.6287,0.5663,0.1329
21,0.5797,0.914,0.5797,0.5674,0.6325,1.4072,0.6521,0.5749,0.1326
22,0.597,0.917,0.597,0.5752,0.6074,1.3558,0.6615,0.5946,0.1337
23,0.6143,0.9253,0.6143,0.5858,0.6099,1.3676,0.6842,0.6118,0.135
24,0.6374,0.9158,0.6374,0.5968,0.6084,1.3694,0.6807,0.635,0.1347
25,0.6304,0.9348,0.6304,0.5951,0.5943,1.3091,0.7082,0.6302,0.1362
26,0.6637,0.9412,0.6637,0.6258,0.571,1.2575,0.7195,0.6615,0.1367
27,0.6082,0.9368,0.6082,0.566,0.5799,1.2815,0.7144,0.6088,0.1402
28,0.6104,0.9315,0.6104,0.5502,0.5806,1.3246,0.7086,0.6108,0.1397
29,0.6434,0.9348,0.6434,0.6044,0.5608,1.2649,0.7273,0.6426,0.1383
30,0.6337,0.9414,0.6337,0.5996,0.5613,1.2424,0.7352,0.6327,0.1415
31,0.6468,0.9409,0.6468,0.6195,0.5447,1.2318,0.7558,0.6474,0.1416
32,0.6264,0.9365,0.6264,0.5879,0.5569,1.2825,0.7503,0.6269,0.1397
33,0.6598,0.9397,0.6598,0.623,0.5345,1.2226,0.7401,0.6597,0.1384
34,0.6683,0.9432,0.6683,0.6391,0.5268,1.2159,0.7567,0.6679,0.1376
35,0.6707,0.9393,0.6707,0.6394,0.5312,1.2293,0.7648,0.6723,0.1394
36,0.711,0.9496,0.711,0.6885,0.5117,1.1557,0.779,0.7119,0.1397
37,0.7044,0.9562,0.7044,0.6881,0.504,1.118,0.7994,0.7048,0.1356
38,0.6847,0.9545,0.6847,0.6617,0.5015,1.1453,0.7936,0.6856,0.136
39,0.7016,0.9588,0.7016,0.6823,0.5043,1.104,0.7924,0.7016,0.1411
40,0.7044,0.954,0.7044,0.6813,0.4929,1.0939,0.7872,0.7039,0.1443
41,0.7095,0.9568,0.7095,0.6795,0.4933,1.097,0.7872,0.7092,0.1468
42,0.7444,0.9589,0.7444,0.7271,0.4759,1.053,0.8126,0.7431,0.1507
43,0.748,0.9638,0.748,0.7323,0.4656,1.0335,0.8246,0.7472,0.1484
44,0.7514,0.9612,0.7514,0.7337,0.4681,1.0235,0.8186,0.7511,0.1497
45,0.7429,0.9629,0.7429,0.7266,0.462,1.0775,0.826,0.7407,0.1517
46,0.7344,0.9436,0.7344,0.711,0.4742,1.1227,0.7957,0.7324,0.1493
47,0.7568,0.9648,0.7568,0.7411,0.4592,0.9974,0.8269,0.7543,0.1469
48,0.7647,0.9667,0.7647,0.7511,0.442,0.9797,0.833,0.7621,0.1477
49,0.7723,0.9731,0.7723,0.7536,0.4335,0.9453,0.8493,0.7685,0.1484
50,0.772,0.9666,0.772,0.7544,0.4419,0.9546,0.8262,0.769,0.1469
51,0.7332,0.9654,0.7332,0.7135,0.4603,0.9919,0.8143,0.7311,0.146
52,0.7753,0.9665,0.7753,0.755,0.4378,0.9663,0.8428,0.7716,0.1462
53,0.7859,0.9749,0.7859,0.7697,0.4317,0.9349,0.849,0.7825,0.145
54,0.7796,0.9752,0.7796,0.7629,0.4435,0.9566,0.8532,0.7759,0.1452
55,0.7905,0.9731,0.7905,0.7732,0.4373,0.9557,0.8524,0.7865,0.1465
56,0.768,0.973,0.768,0.7491,0.4366,0.9554,0.8533,0.764,0.1479
57,0.7835,0.9692,0.7835,0.7712,0.4411,0.9597,0.855,0.7802,0.1471
58,0.7838,0.9782,0.7838,0.7708,0.4264,0.9164,0.8683,0.7815,0.1465
59,0.7911,0.9708,0.7911,0.772,0.41,0.9049,0.8621,0.7875,0.1465
