step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7574,0.9759,0.7574,0.752,0.4246,0.928,0.8794,0.7557,0.0163
1,0.8996,0.9913,0.8996,0.8995,0.2666,0.6233,0.9582,0.899,0.1662
2,0.9336,0.9958,0.9336,0.9344,0.196,0.4768,0.9759,0.9339,0.1807
3,0.9509,0.9971,0.9509,0.9516,0.1882,0.4587,0.9827,0.9517,0.1958
4,0.9645,0.9981,0.9645,0.9648,0.1731,0.4302,0.9881,0.965,0.2085
5,0.973,0.9982,0.973,0.9733,0.1589,0.4064,0.9913,0.9734,0.2145
6,0.9809,0.9991,0.9809,0.981,0.1377,0.3595,0.9951,0.9811,0.2235
7,0.987,0.9991,0.987,0.987,0.1307,0.3448,0.9956,0.987,0.2331
8,0.9879,0.9991,0.9879,0.9879,0.1357,0.3646,0.9964,0.9879,0.2416
9,0.9891,0.9993,0.9891,0.9891,0.1295,0.3559,0.997,0.9891,0.2508
10,0.9906,0.9993,0.9906,0.9907,0.1161,0.3305,0.9976,0.9907,0.2536
11,0.9918,0.9993,0.9918,0.9918,0.1129,0.326,0.9974,0.9919,0.2542
12,0.9912,0.9994,0.9912,0.9912,0.1051,0.3099,0.9976,0.9912,0.2656
13,0.9933,0.9993,0.9933,0.9934,0.095,0.3009,0.9977,0.9933,0.2779
14,0.9939,0.9995,0.9939,0.994,0.0916,0.2838,0.9979,0.9939,0.2858
15,0.9924,0.9993,0.9924,0.9925,0.0868,0.2843,0.9979,0.9924,0.2934
16,0.9921,0.9995,0.9921,0.9921,0.0774,0.2533,0.9979,0.9921,0.3069
17,0.9927,0.9993,0.9927,0.9927,0.0791,0.2661,0.9979,0.9927,0.3168
18,0.993,0.9992,0.993,0.9931,0.0725,0.26,0.9979,0.993,0.3227
19,0.9924,0.9992,0.9924,0.9924,0.067,0.2475,0.9979,0.9924,0.3489
20,0.993,0.9995,0.993,0.9931,0.0667,0.2367,0.9985,0.993,0.3808
21,0.9933,0.9994,0.9933,0.9934,0.0642,0.2213,0.9982,0.9933,0.4042
22,0.9933,0.9994,0.9933,0.9934,0.0594,0.2206,0.9985,0.9933,0.419
23,0.9921,0.9992,0.9921,0.9922,0.054,0.2157,0.9982,0.9921,0.4479
24,0.993,0.9995,0.993,0.9931,0.0533,0.2042,0.9983,0.993,0.4489
25,0.9927,0.9994,0.9927,0.9928,0.0507,0.1966,0.9981,0.9927,0.4464
26,0.9927,0.9992,0.9927,0.9928,0.0496,0.2035,0.9978,0.9927,0.4297
27,0.993,0.9995,0.993,0.9931,0.0494,0.1823,0.9982,0.993,0.4454
28,0.9918,0.9995,0.9918,0.9919,0.0454,0.172,0.9982,0.9919,0.4733
29,0.9915,0.9995,0.9915,0.9916,0.0455,0.1732,0.9982,0.9915,0.4724
30,0.993,0.9993,0.993,0.993,0.0413,0.1772,0.9981,0.993,0.4881
