step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.5,0.2256,0.0614,1.5487,27.9106,0.1667,0.1667,0.9172
1,0.2284,0.527,0.2284,0.0658,1.3004,20.5523,0.1903,0.1688,0.0911
2,0.2273,0.5296,0.2273,0.0657,1.2679,15.5289,0.1944,0.168,0.0881
3,0.2279,0.5542,0.2279,0.0927,1.2339,15.0683,0.224,0.1844,0.0885
4,0.2279,0.5375,0.2279,0.0935,1.1619,7.8691,0.2195,0.1844,0.0891
5,0.2452,0.5527,0.2452,0.1287,1.104,7.7441,0.2351,0.1981,0.0903
6,0.2458,0.5646,0.2458,0.1427,1.0673,7.6682,0.2465,0.1988,0.0914
7,0.2396,0.5657,0.2396,0.1366,1.059,7.6753,0.25,0.1891,0.0928
8,0.2228,0.5661,0.2228,0.1057,1.0571,7.6988,0.2522,0.166,0.0907
9,0.2284,0.5603,0.2284,0.0943,1.1136,7.8122,0.2457,0.1695,0.0952
10,0.2312,0.5847,0.2312,0.0961,1.087,2.2927,0.2587,0.1717,0.0924
11,0.2307,0.5761,0.2307,0.0885,1.1491,2.4614,0.2549,0.1711,0.0925
12,0.2307,0.582,0.2307,0.0932,1.1278,2.4401,0.2576,0.1711,0.0907
13,0.2363,0.5941,0.2363,0.1031,1.0952,2.3036,0.2682,0.1765,0.094
14,0.2346,0.6006,0.2346,0.1059,1.0702,2.2772,0.2713,0.1752,0.0944
15,0.2284,0.609,0.2284,0.1064,1.0369,2.2602,0.2767,0.1706,0.0938
16,0.2346,0.6169,0.2346,0.1175,1.0121,2.1855,0.2844,0.1767,0.0953
17,0.2452,0.6309,0.2452,0.1342,0.9593,2.0044,0.2945,0.1849,0.0933
18,0.2536,0.6414,0.2536,0.1495,0.928,1.9536,0.3011,0.1916,0.0933
19,0.2828,0.6444,0.2828,0.1758,0.9089,1.9403,0.3041,0.2141,0.0935
20,0.2956,0.6525,0.2956,0.1843,0.8954,1.9371,0.309,0.2243,0.0944
21,0.3029,0.6598,0.3029,0.1868,0.8894,1.9386,0.3152,0.2301,0.0925
