step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4882,0.7682,0.4882,0.4177,0.6356,1.7851,0.4857,0.4272,1.7214
1,0.6086,0.8669,0.6086,0.5196,0.5255,1.0397,0.6162,0.5228,1.399
2,0.659,0.8866,0.659,0.5644,0.4692,0.9401,0.6596,0.5674,1.311
3,0.6937,0.9219,0.6937,0.6117,0.4245,0.8405,0.7159,0.6069,1.408
4,0.7021,0.9288,0.7021,0.6193,0.4077,0.8036,0.7389,0.6124,1.4735
5,0.7105,0.9344,0.7105,0.6262,0.3924,0.769,0.7481,0.619,1.3526
6,0.7256,0.9378,0.7256,0.6392,0.3832,0.7482,0.756,0.6315,1.4347
7,0.7228,0.9378,0.7228,0.6363,0.3826,0.7473,0.765,0.6295,1.2918
8,0.7492,0.9463,0.7492,0.6671,0.3639,0.7019,0.8034,0.656,1.4986
9,0.7564,0.9494,0.7564,0.6821,0.3535,0.6806,0.8158,0.6666,1.428
10,0.7542,0.9516,0.7542,0.6813,0.3464,0.6679,0.8218,0.6659,1.3575
11,0.7643,0.9536,0.7643,0.6812,0.3384,0.6523,0.8222,0.6693,1.5171
12,0.7643,0.9563,0.7643,0.6807,0.3335,0.6358,0.8318,0.6694,1.4213
13,0.7592,0.9567,0.7592,0.6941,0.3326,0.6319,0.8333,0.6758,1.5977
14,0.7693,0.9578,0.7693,0.7011,0.3253,0.6176,0.8256,0.6839,1.5128
15,0.7699,0.9586,0.7699,0.6941,0.327,0.6157,0.8286,0.6789,1.4433
16,0.7788,0.9602,0.7788,0.6929,0.3173,0.6015,0.8359,0.6807,1.5727
17,0.7805,0.961,0.7805,0.6945,0.3127,0.5904,0.8358,0.6822,1.3189
18,0.7766,0.9619,0.7766,0.7004,0.3084,0.5797,0.8369,0.685,1.5057
19,0.7867,0.9626,0.7867,0.7244,0.3038,0.5737,0.8374,0.7038,1.3815
20,0.7884,0.9641,0.7884,0.7178,0.2971,0.5605,0.8451,0.6994,1.468
21,0.7923,0.9667,0.7923,0.7424,0.286,0.539,0.8619,0.7179,1.6189
