step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2352,0.6213,0.2352,0.0879,1.1149,8.2207,0.285,0.179,0.0111
1,0.3847,0.7195,0.3847,0.2118,0.7881,2.1692,0.3844,0.2982,0.012
2,0.4334,0.7593,0.4334,0.2934,0.7056,1.9335,0.4583,0.3465,0.0101
3,0.5218,0.7716,0.5218,0.427,0.6236,1.7717,0.5051,0.4353,0.0097
4,0.5459,0.8303,0.5459,0.4592,0.5968,1.1896,0.5517,0.4546,0.0098
5,0.5761,0.8537,0.5761,0.5049,0.5649,1.1125,0.598,0.4927,0.0094
6,0.5929,0.8766,0.5929,0.563,0.5456,1.0746,0.6632,0.5335,0.0094
7,0.5901,0.8832,0.5901,0.5485,0.5395,1.0457,0.6667,0.5226,0.0096
8,0.6316,0.8964,0.6316,0.5781,0.4983,0.9695,0.6915,0.5543,0.0098
9,0.6646,0.9091,0.6646,0.6065,0.4668,0.913,0.712,0.591,0.0098
10,0.6657,0.915,0.6657,0.5987,0.4563,0.888,0.7224,0.5874,0.0093
11,0.6876,0.9168,0.6876,0.6087,0.4497,0.8719,0.7231,0.5998,0.0108
12,0.6859,0.9185,0.6859,0.6069,0.4457,0.8611,0.7271,0.5956,0.0099
13,0.6859,0.9207,0.6859,0.6093,0.4423,0.8477,0.7274,0.5933,0.0102
14,0.6865,0.9217,0.6865,0.6085,0.4383,0.8407,0.7291,0.5937,0.0108
15,0.687,0.9212,0.687,0.6099,0.438,0.8383,0.7269,0.5945,0.0097
16,0.6965,0.9244,0.6965,0.6074,0.4282,0.8173,0.7393,0.5973,0.0107
17,0.6993,0.9234,0.6993,0.6089,0.4282,0.8217,0.7377,0.5999,0.0096
18,0.696,0.9219,0.696,0.6066,0.4265,0.818,0.7325,0.5969,0.0095
19,0.6999,0.9219,0.6999,0.6092,0.4225,0.8153,0.7343,0.5984,0.0097
20,0.7044,0.923,0.7044,0.6126,0.4168,0.8058,0.7342,0.6041,0.0098
21,0.7144,0.9257,0.7144,0.621,0.4075,0.785,0.7404,0.613,0.0103
22,0.7167,0.9286,0.7167,0.6232,0.3982,0.7651,0.7455,0.6146,0.01
23,0.7206,0.9299,0.7206,0.6249,0.3975,0.7649,0.7498,0.6174,0.0103
24,0.7262,0.9308,0.7262,0.6298,0.3924,0.7554,0.7513,0.6231,0.0098
25,0.7262,0.931,0.7262,0.6308,0.392,0.7542,0.7497,0.624,0.0095
26,0.724,0.9309,0.724,0.6295,0.3915,0.7512,0.7499,0.6216,0.01
27,0.7234,0.932,0.7234,0.629,0.3852,0.7404,0.7533,0.621,0.0097
28,0.7318,0.9328,0.7318,0.6354,0.3815,0.7345,0.7557,0.6295,0.0095
29,0.7335,0.9339,0.7335,0.6375,0.3773,0.7295,0.759,0.6311,0.0097
30,0.7352,0.9348,0.7352,0.6379,0.3735,0.7229,0.766,0.6332,0.0106
31,0.7469,0.9371,0.7469,0.647,0.3605,0.6981,0.7715,0.6429,0.0097
32,0.7475,0.9384,0.7475,0.6476,0.3592,0.6947,0.7736,0.6435,0.0096
33,0.7441,0.938,0.7441,0.6454,0.3575,0.6918,0.775,0.6411,0.0109
34,0.748,0.9405,0.748,0.6488,0.3543,0.6836,0.7801,0.645,0.0095
35,0.7469,0.9483,0.7469,0.648,0.3534,0.6718,0.799,0.6442,0.0113
36,0.7469,0.9483,0.7469,0.6485,0.3531,0.6724,0.7985,0.6449,0.0099
37,0.7408,0.947,0.7408,0.6437,0.3583,0.6799,0.7939,0.6397,0.0109
38,0.7514,0.9482,0.7514,0.6524,0.3547,0.6743,0.7981,0.6486,0.0097
39,0.752,0.9502,0.752,0.6523,0.3472,0.6601,0.8013,0.649,0.0102
40,0.7587,0.9515,0.7587,0.6574,0.3431,0.6523,0.804,0.6542,0.0095
41,0.757,0.9524,0.757,0.6562,0.3413,0.6485,0.8081,0.653,0.0103
42,0.7615,0.9543,0.7615,0.6784,0.3363,0.6363,0.8206,0.6671,0.0101
43,0.7727,0.9553,0.7727,0.7325,0.3295,0.6246,0.8145,0.7088,0.0097
44,0.7648,0.9545,0.7648,0.72,0.333,0.63,0.8107,0.6968,0.0098
45,0.7732,0.9565,0.7732,0.7331,0.3224,0.6139,0.8139,0.7091,0.0091
46,0.7699,0.9566,0.7699,0.7239,0.3216,0.6118,0.8137,0.7022,0.0094
47,0.7727,0.9565,0.7727,0.7304,0.3224,0.614,0.8148,0.7088,0.0101
48,0.7744,0.957,0.7744,0.7325,0.3196,0.6092,0.8167,0.7116,0.0094
49,0.7738,0.9577,0.7738,0.7319,0.3162,0.6042,0.8202,0.7115,0.0092
50,0.7732,0.9583,0.7732,0.7309,0.3158,0.6029,0.8215,0.7114,0.0092
51,0.7744,0.9607,0.7744,0.7322,0.3105,0.5884,0.8336,0.7119,0.0103
52,0.7777,0.9615,0.7777,0.7352,0.3062,0.5808,0.8353,0.7141,0.0092
53,0.7783,0.9612,0.7783,0.729,0.3069,0.5832,0.8332,0.7093,0.0099
54,0.7788,0.9612,0.7788,0.7293,0.3068,0.5833,0.8334,0.7095,0.0092
55,0.7788,0.9617,0.7788,0.7289,0.3047,0.5788,0.8342,0.7091,0.0091
