step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5605,0.8745,0.5605,0.4974,0.581,1.1693,0.677,0.4947,0.0202
1,0.6344,0.8941,0.6344,0.6017,0.5119,1.0231,0.6804,0.5916,0.0687
2,0.6842,0.9237,0.6842,0.6618,0.4392,0.8467,0.7769,0.6365,0.1144
3,0.7044,0.9366,0.7044,0.6973,0.4044,0.7552,0.8044,0.6647,0.1403
4,0.7251,0.9381,0.7251,0.7274,0.3912,0.7361,0.8103,0.6994,0.1583
5,0.7464,0.9441,0.7464,0.746,0.366,0.6927,0.8248,0.7193,0.1744
6,0.762,0.9491,0.762,0.762,0.3504,0.6627,0.8382,0.7328,0.1956
7,0.776,0.9538,0.776,0.7732,0.3316,0.6271,0.8474,0.7453,0.2308
8,0.7727,0.9549,0.7727,0.7663,0.3254,0.6179,0.8489,0.7366,1.2098
9,0.7839,0.9582,0.7839,0.77,0.3123,0.5889,0.856,0.7426,0.2906
10,0.7934,0.962,0.7934,0.7818,0.2946,0.5588,0.864,0.7571,0.3425
11,0.7984,0.9625,0.7984,0.7857,0.2911,0.5547,0.8666,0.7623,0.3449
12,0.8012,0.9604,0.8012,0.7852,0.2905,0.5635,0.8635,0.7597,0.3772
13,0.808,0.9637,0.808,0.7882,0.2823,0.545,0.8717,0.7651,1.2094
14,0.8141,0.9653,0.8141,0.8035,0.2759,0.5346,0.876,0.7856,0.4498
15,0.8152,0.9665,0.8152,0.8054,0.2705,0.5264,0.8793,0.7868,0.6107
16,0.8292,0.9684,0.8292,0.8205,0.2615,0.5103,0.8846,0.8038,0.5207
17,0.8259,0.9678,0.8259,0.8241,0.2622,0.5151,0.8835,0.8059,0.5677
18,0.8331,0.9684,0.8331,0.8301,0.2587,0.5096,0.8834,0.812,0.6222
19,0.8354,0.9684,0.8354,0.8293,0.2568,0.5106,0.8829,0.8142,0.6556
20,0.8343,0.9689,0.8343,0.8283,0.2541,0.5052,0.8842,0.8136,0.6884
21,0.8331,0.9695,0.8331,0.8275,0.2521,0.5029,0.8872,0.812,0.4073
22,0.8309,0.9694,0.8309,0.832,0.2524,0.5059,0.8861,0.8163,0.7856
23,0.8393,0.9705,0.8393,0.8389,0.2511,0.498,0.8909,0.8226,0.8675
24,0.8387,0.9715,0.8387,0.8385,0.2472,0.4904,0.896,0.8223,0.8918
25,0.8432,0.9726,0.8432,0.8422,0.2418,0.4803,0.8997,0.8261,1.0498
26,0.8432,0.9735,0.8432,0.8423,0.2369,0.4725,0.9015,0.8262,0.9848
27,0.8438,0.974,0.8438,0.8438,0.2342,0.4676,0.9006,0.8325,0.5803
28,0.8421,0.9747,0.8421,0.8388,0.2318,0.4603,0.902,0.8264,1.1101
29,0.8483,0.9763,0.8483,0.8458,0.2236,0.4476,0.9064,0.8306,0.6658
30,0.8555,0.9773,0.8555,0.852,0.217,0.4375,0.9085,0.8363,0.7622
31,0.8516,0.9775,0.8516,0.8488,0.2172,0.4366,0.9125,0.8331,1.4258
32,0.8522,0.9774,0.8522,0.853,0.216,0.4369,0.9134,0.839,1.2152
33,0.8583,0.9775,0.8583,0.8577,0.216,0.436,0.9119,0.8437,0.8578
