step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5969,0.809,0.5969,0.5058,0.5321,1.5759,0.5682,0.4984,0.0349
1,0.668,0.8425,0.668,0.5701,0.4573,1.4073,0.6392,0.5654,0.1159
2,0.7172,0.9114,0.7172,0.6122,0.4098,0.8109,0.6853,0.606,0.1471
3,0.7497,0.9145,0.7497,0.6399,0.3791,0.752,0.7099,0.6323,0.1899
4,0.7396,0.9021,0.7396,0.6315,0.3685,0.7362,0.7035,0.6251,0.229
5,0.7604,0.9126,0.7604,0.6503,0.3492,0.703,0.7217,0.6438,0.2503
6,0.7788,0.918,0.7788,0.6657,0.3332,0.6814,0.7264,0.6621,0.2972
7,0.7833,0.9041,0.7833,0.6692,0.3191,0.6631,0.7267,0.6657,0.3345
8,0.7816,0.9056,0.7816,0.6668,0.3209,0.6623,0.728,0.665,0.411
9,0.7844,0.9148,0.7844,0.6696,0.3119,0.6502,0.7337,0.6686,0.4778
10,0.7934,0.954,0.7934,0.6764,0.3044,0.594,0.804,0.6759,0.5229
11,0.8057,0.9616,0.8057,0.7148,0.2876,0.5547,0.8401,0.7017,0.6107
12,0.8024,0.9634,0.8024,0.7292,0.2815,0.5439,0.853,0.71,0.4096
13,0.8169,0.967,0.8169,0.7885,0.2697,0.5199,0.8708,0.7635,0.4785
14,0.8287,0.9709,0.8287,0.8143,0.2549,0.4888,0.8825,0.7897,0.5196
15,0.8326,0.9727,0.8326,0.8195,0.2471,0.4718,0.8906,0.7985,0.5527
16,0.8399,0.9757,0.8399,0.8295,0.2333,0.4452,0.9012,0.8105,0.6837
17,0.8522,0.9763,0.8522,0.8467,0.2273,0.4378,0.9005,0.8304,0.6949
18,0.8466,0.9767,0.8466,0.8346,0.225,0.4314,0.9011,0.8156,0.7789
19,0.8544,0.9776,0.8544,0.8448,0.2194,0.4228,0.9026,0.8275,1.3445
20,0.8583,0.9779,0.8583,0.8476,0.2175,0.4208,0.9029,0.8308,0.8053
21,0.8533,0.9784,0.8533,0.8369,0.2171,0.4167,0.903,0.821,1.3144
22,0.8555,0.9786,0.8555,0.8388,0.2148,0.413,0.9056,0.8234,1.4633
23,0.8522,0.9793,0.8522,0.8361,0.2131,0.4091,0.9068,0.8203,1.1281
24,0.8555,0.9792,0.8555,0.8385,0.2118,0.4073,0.9068,0.8224,1.81
25,0.8617,0.9793,0.8617,0.8441,0.2091,0.4046,0.9069,0.8279,1.7749
26,0.8583,0.9807,0.8583,0.8413,0.2073,0.3968,0.9125,0.8253,1.0752
27,0.8583,0.9807,0.8583,0.8437,0.2083,0.3989,0.9129,0.8249,2.0081
28,0.8561,0.9804,0.8561,0.8461,0.2089,0.4005,0.9127,0.8283,1.4318
29,0.8572,0.9801,0.8572,0.8466,0.2088,0.4037,0.9119,0.8292,2.4732
30,0.8623,0.9797,0.8623,0.8506,0.2085,0.4051,0.9112,0.8334,1.4425
31,0.8634,0.9803,0.8634,0.8519,0.2059,0.3995,0.9123,0.8345,1.6203
32,0.86,0.9807,0.86,0.8492,0.2069,0.3998,0.9155,0.8318,1.5863
33,0.86,0.9802,0.86,0.8488,0.2088,0.4031,0.9123,0.8315,2.761
34,0.8578,0.9806,0.8578,0.8471,0.2064,0.3987,0.9135,0.83,1.9324
35,0.8595,0.9801,0.8595,0.8523,0.2066,0.3986,0.9154,0.8363,1.8687
36,0.8617,0.9802,0.8617,0.854,0.2055,0.3979,0.9156,0.8382,2.266
37,0.8651,0.9806,0.8651,0.8566,0.2038,0.3935,0.9164,0.8407,2.3207
38,0.8623,0.9807,0.8623,0.8508,0.2041,0.3921,0.9169,0.8331,2.0739
39,0.8634,0.9813,0.8634,0.8555,0.2004,0.3863,0.9188,0.8398,2.0043
40,0.8667,0.9812,0.8667,0.8582,0.199,0.3854,0.9185,0.8424,2.4211
41,0.8684,0.9818,0.8684,0.8597,0.1984,0.3831,0.9241,0.8439,2.2467
42,0.8656,0.9823,0.8656,0.8587,0.1963,0.3806,0.929,0.8469,2.6924
43,0.8679,0.9823,0.8679,0.8604,0.1965,0.3804,0.9303,0.8484,2.6489
44,0.8684,0.9825,0.8684,0.8668,0.1948,0.3778,0.9328,0.8546,3.1265
45,0.8673,0.9824,0.8673,0.8659,0.1957,0.3801,0.9326,0.8534,2.6249
46,0.8639,0.9826,0.8639,0.8649,0.1952,0.3794,0.9294,0.8613,2.7084
