step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0162,0.5,0.0162,0.0053,1.9675,35.4584,0.1667,0.1667,0.9849
1,0.2172,0.6204,0.2172,0.0856,1.2628,27.8246,0.2583,0.1835,0.9313
2,0.2178,0.6319,0.2178,0.0868,1.0624,21.9908,0.2622,0.184,0.9394
3,0.0162,0.6371,0.0162,0.0053,1.1596,22.0929,0.2792,0.1667,0.9567
4,0.0162,0.628,0.0162,0.0053,1.0213,14.6641,0.2871,0.1667,0.975
5,0.2268,0.6578,0.2268,0.1052,0.9919,14.6307,0.3144,0.2971,0.9221
6,0.2268,0.6735,0.2268,0.1052,0.9353,9.4757,0.3226,0.2971,0.9332
7,0.0162,0.6721,0.0162,0.0053,0.9924,9.5723,0.3279,0.1667,0.9288
8,0.0162,0.6855,0.0162,0.0053,0.9675,9.5456,0.3443,0.1667,0.9159
9,0.0162,0.7047,0.0162,0.0053,0.9152,2.016,0.3607,0.1667,0.9322
10,0.0162,0.7446,0.0162,0.0053,0.8912,1.9592,0.3803,0.1667,0.9056
11,0.1797,0.7471,0.1797,0.0849,0.8923,1.978,0.3885,0.3169,0.8988
12,0.2912,0.7423,0.2912,0.1877,0.8832,1.9712,0.3872,0.383,0.9021
13,0.3247,0.7489,0.3247,0.2426,0.8727,1.9567,0.3977,0.4072,0.9034
14,0.3247,0.7487,0.3247,0.2426,0.8521,1.8667,0.4036,0.4072,0.8817
15,0.2161,0.755,0.2161,0.0592,0.8509,1.8692,0.415,0.1667,0.9151
16,0.3483,0.7591,0.3483,0.1733,0.8478,1.867,0.427,0.2669,0.9168
17,0.3483,0.7882,0.3483,0.1733,0.8383,1.8173,0.4623,0.2669,0.923
18,0.2161,0.7855,0.2161,0.0592,0.84,1.8234,0.4618,0.1667,0.9173
19,0.3662,0.7927,0.3662,0.174,0.8398,1.826,0.4704,0.2808,0.9076
