step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.7922,0.2256,0.0614,0.8028,1.6581,0.4352,0.1667,1.2093
1,0.2184,0.8219,0.2184,0.0597,0.8077,1.6758,0.4939,0.1667,0.664
2,0.2161,0.8438,0.2161,0.0592,0.8021,1.6599,0.5452,0.1667,0.6588
3,0.2161,0.8489,0.2161,0.0592,0.8041,1.6673,0.5561,0.1667,0.6824
4,0.2161,0.8682,0.2161,0.0592,0.8064,1.666,0.5894,0.1667,0.6875
5,0.2161,0.8767,0.2161,0.0592,0.8063,1.6665,0.6123,0.1667,0.7024
6,0.2161,0.8801,0.2161,0.0592,0.8059,1.6643,0.623,0.1667,0.6463
7,0.2161,0.8886,0.2161,0.0592,0.806,1.6655,0.6408,0.1667,0.7158
8,0.2161,0.8934,0.2161,0.0592,0.8062,1.6656,0.6559,0.1667,0.7112
9,0.2161,0.8976,0.2161,0.0592,0.8073,1.6686,0.6668,0.1667,0.7317
10,0.2161,0.8985,0.2161,0.0592,0.8075,1.6697,0.667,0.1667,0.7287
11,0.2161,0.9011,0.2161,0.0592,0.8069,1.6684,0.6754,0.1667,0.7525
12,0.2161,0.9025,0.2161,0.0592,0.8079,1.6714,0.6826,0.1667,0.7507
13,0.2161,0.9054,0.2161,0.0592,0.8077,1.6706,0.6887,0.1667,0.694
14,0.2161,0.9054,0.2161,0.0592,0.8091,1.6747,0.6871,0.1667,0.6958
15,0.2161,0.9033,0.2161,0.0592,0.8084,1.6731,0.6817,0.1667,0.7574
16,0.2161,0.9017,0.2161,0.0592,0.8081,1.6719,0.6729,0.1667,0.7587
17,0.2161,0.9036,0.2161,0.0592,0.8087,1.6733,0.6819,0.1667,0.7816
18,0.2161,0.9042,0.2161,0.0592,0.8076,1.6706,0.6867,0.1667,0.783
19,0.2161,0.907,0.2161,0.0592,0.8075,1.6706,0.6926,0.1667,0.7985
20,0.2161,0.906,0.2161,0.0592,0.8081,1.6716,0.6895,0.1667,0.8035
21,0.2161,0.9065,0.2161,0.0592,0.8081,1.6718,0.6907,0.1667,0.7404
22,0.2161,0.9069,0.2161,0.0592,0.8084,1.6722,0.6891,0.1667,0.8177
23,0.2161,0.9057,0.2161,0.0592,0.8079,1.6712,0.6867,0.1667,0.838
24,0.2161,0.9053,0.2161,0.0592,0.808,1.6715,0.6853,0.1667,0.8602
25,0.2161,0.9051,0.2161,0.0592,0.8077,1.6711,0.6854,0.1667,0.7698
26,0.2161,0.9046,0.2161,0.0592,0.8075,1.6704,0.686,0.1667,0.8539
27,0.2161,0.9027,0.2161,0.0592,0.8074,1.6705,0.6799,0.1667,0.8824
28,0.2161,0.9011,0.2161,0.0592,0.8069,1.6694,0.6746,0.1667,0.9118
29,0.2161,0.9007,0.2161,0.0592,0.8069,1.6691,0.676,0.1667,0.9996
30,0.2161,0.901,0.2161,0.0592,0.8068,1.669,0.6764,0.1667,0.989
31,0.2161,0.9013,0.2161,0.0592,0.8069,1.6695,0.6788,0.1667,0.9919
32,0.2161,0.9019,0.2161,0.0592,0.8069,1.6699,0.6792,0.1667,1.0087
33,0.2161,0.9014,0.2161,0.0592,0.806,1.6679,0.6787,0.1667,1.0262
34,0.2161,0.9019,0.2161,0.0592,0.806,1.6675,0.6815,0.1667,0.9523
35,0.3214,0.9024,0.3214,0.1454,0.8058,1.6666,0.6832,0.2442,1.0396
36,0.2161,0.904,0.2161,0.0592,0.8059,1.667,0.6866,0.1667,1.0419
37,0.2161,0.9044,0.2161,0.0592,0.8059,1.6666,0.6882,0.1667,1.0029
38,0.2161,0.904,0.2161,0.0592,0.8056,1.6653,0.6861,0.1667,1.0729
39,0.2161,0.9046,0.2161,0.0592,0.8061,1.6666,0.6888,0.1667,1.0409
40,0.2161,0.9037,0.2161,0.0592,0.8057,1.6659,0.6876,0.1667,1.0766
41,0.2161,0.9036,0.2161,0.0592,0.8052,1.6642,0.6841,0.1667,1.11
42,0.2161,0.9037,0.2161,0.0592,0.805,1.6635,0.6868,0.1667,1.0801
43,0.2161,0.9038,0.2161,0.0592,0.8047,1.663,0.6876,0.1667,1.0838
44,0.2161,0.9041,0.2161,0.0592,0.8044,1.6624,0.6892,0.1667,1.0698
45,0.2161,0.9035,0.2161,0.0592,0.8044,1.6625,0.6896,0.1667,1.0981
46,0.2161,0.9032,0.2161,0.0592,0.8043,1.6625,0.6874,0.1667,1.0669
47,0.2161,0.9038,0.2161,0.0592,0.8042,1.6621,0.6871,0.1667,1.1379
48,0.2161,0.9032,0.2161,0.0592,0.804,1.6614,0.6878,0.1667,1.0807
49,0.2161,0.9031,0.2161,0.0592,0.8038,1.6612,0.6868,0.1667,1.133
50,0.2161,0.9023,0.2161,0.0592,0.8037,1.6607,0.6841,0.1667,1.1452
51,0.2161,0.9034,0.2161,0.0592,0.8035,1.6605,0.6876,0.1667,1.127
52,0.2161,0.9035,0.2161,0.0592,0.8034,1.6596,0.6844,0.1667,1.1565
53,0.2772,0.9031,0.2772,0.1187,0.8032,1.6593,0.6849,0.2117,1.187
54,0.3141,0.9033,0.3141,0.1408,0.8032,1.6592,0.6834,0.2389,1.1726
55,0.2805,0.9034,0.2805,0.1208,0.803,1.6588,0.6842,0.2141,1.1988
56,0.2648,0.9029,0.2648,0.1151,0.8028,1.6582,0.6843,0.1969,1.1901
57,0.2262,0.9027,0.2262,0.0623,0.8025,1.6575,0.6854,0.1671,1.2181
58,0.2273,0.9024,0.2273,0.064,0.8023,1.6572,0.6849,0.168,1.2457
59,0.2256,0.9028,0.2256,0.0614,0.8023,1.6569,0.6786,0.1667,1.2696
