step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.7787,0.2256,0.0614,0.8204,1.7014,0.4102,0.1667,3.8579
1,0.2256,0.8127,0.2256,0.0614,0.8083,1.6686,0.493,0.1667,3.0975
2,0.2256,0.8286,0.2256,0.0614,0.809,1.6723,0.5092,0.1667,3.302
3,0.2256,0.8628,0.2256,0.0614,0.808,1.6714,0.576,0.1667,3.438
4,0.2256,0.8747,0.2256,0.0614,0.809,1.6749,0.6005,0.1667,3.5609
5,0.2161,0.8765,0.2161,0.0592,0.81,1.6761,0.6074,0.1667,3.6667
6,0.2161,0.8756,0.2161,0.0592,0.8111,1.6793,0.5995,0.1667,3.7514
7,0.2161,0.8674,0.2161,0.0592,0.8121,1.6818,0.5875,0.1667,3.929
8,0.2256,0.8892,0.2256,0.0614,0.8108,1.6788,0.6434,0.1667,4.0381
9,0.2256,0.8902,0.2256,0.0614,0.8105,1.6774,0.6374,0.1667,4.1228
10,0.2256,0.8865,0.2256,0.0614,0.8098,1.6752,0.6297,0.1667,4.1779
11,0.2256,0.8852,0.2256,0.0614,0.8099,1.6757,0.6247,0.1667,4.2269
12,0.2256,0.8921,0.2256,0.0614,0.8108,1.679,0.6388,0.1667,4.2816
13,0.2256,0.8891,0.2256,0.0614,0.8107,1.6783,0.6247,0.1667,4.2803
14,0.2256,0.8869,0.2256,0.0614,0.8109,1.6786,0.6191,0.1667,4.4672
15,0.2256,0.8931,0.2256,0.0614,0.8106,1.6774,0.6293,0.1667,4.4761
16,0.2256,0.8904,0.2256,0.0614,0.8109,1.6778,0.6225,0.1667,4.4927
17,0.2256,0.8919,0.2256,0.0614,0.8106,1.6775,0.6248,0.1667,4.6209
18,0.2256,0.8961,0.2256,0.0614,0.8101,1.6759,0.6348,0.1667,4.6397
19,0.2256,0.8953,0.2256,0.0614,0.8114,1.6797,0.6323,0.1667,4.6828
20,0.2256,0.894,0.2256,0.0614,0.8112,1.6784,0.6261,0.1667,4.7125
