step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2805,0.7932,0.2805,0.1705,0.8049,2.164,0.5309,0.2488,1.2042
1,0.2256,0.8696,0.2256,0.0614,0.803,1.6657,0.6287,0.1667,1.7989
2,0.2161,0.8717,0.2161,0.0592,0.8046,1.6645,0.6341,0.1667,2.3988
3,0.2161,0.8667,0.2161,0.0592,0.8072,1.6708,0.6192,0.1667,2.918
4,0.2161,0.8771,0.2161,0.0592,0.8034,1.6604,0.6457,0.1667,3.6696
5,0.2161,0.8817,0.2161,0.0592,0.8036,1.6608,0.6724,0.1667,4.3943
6,0.2256,0.8821,0.2256,0.0614,0.8028,1.6586,0.6649,0.1667,4.9009
7,0.2256,0.8854,0.2256,0.0614,0.8021,1.6564,0.6652,0.1667,5.55
8,0.2256,0.8885,0.2256,0.0614,0.8012,1.6535,0.67,0.1667,5.8129
9,0.2256,0.8881,0.2256,0.0614,0.8014,1.6538,0.6714,0.1667,6.4758
10,0.2256,0.8892,0.2256,0.0614,0.8016,1.6541,0.6734,0.1667,7.1051
11,0.2256,0.8915,0.2256,0.0614,0.8016,1.6543,0.6808,0.1667,8.3793
12,0.2256,0.8925,0.2256,0.0614,0.8015,1.6542,0.6837,0.1667,7.9385
13,0.2256,0.8891,0.2256,0.0614,0.8016,1.6542,0.6838,0.1667,9.4997
14,0.2256,0.8925,0.2256,0.0614,0.8018,1.6549,0.6898,0.1667,8.8839
15,0.2256,0.892,0.2256,0.0614,0.8021,1.6556,0.6888,0.1667,9.8451
16,0.2256,0.8939,0.2256,0.0614,0.8018,1.6548,0.6858,0.1667,9.8057
17,0.2256,0.8956,0.2256,0.0614,0.8014,1.6537,0.6891,0.1667,10.7826
18,0.2637,0.8954,0.2637,0.1135,0.8016,1.6541,0.6852,0.196,10.9857
19,0.2256,0.8929,0.2256,0.0614,0.8015,1.6537,0.6791,0.1667,12.6777
20,0.2256,0.8913,0.2256,0.0614,0.8017,1.6543,0.6784,0.1667,11.9433
21,0.2256,0.8909,0.2256,0.0614,0.8018,1.6546,0.6761,0.1667,12.846
22,0.2256,0.8903,0.2256,0.0614,0.8019,1.655,0.6739,0.1667,13.2305
23,0.2256,0.8904,0.2256,0.0614,0.8021,1.6555,0.6732,0.1667,13.8553
24,0.2256,0.8907,0.2256,0.0614,0.802,1.6552,0.6835,0.1667,15.2963
25,0.2256,0.8908,0.2256,0.0614,0.8016,1.6543,0.6841,0.1667,14.6999
26,0.2256,0.8914,0.2256,0.0614,0.8017,1.6545,0.6824,0.1667,14.7661
27,0.2256,0.8914,0.2256,0.0614,0.8018,1.6548,0.6833,0.1667,14.7585
28,0.2256,0.8915,0.2256,0.0614,0.8021,1.6555,0.684,0.1667,16.0177
29,0.36,0.8908,0.36,0.1852,0.8021,1.6557,0.6835,0.2712,16.0027
30,0.3147,0.8898,0.3147,0.1617,0.8018,1.6549,0.6826,0.2354,16.4861
31,0.3606,0.8908,0.3606,0.1855,0.8015,1.6544,0.6828,0.2716,18.0905
32,0.2256,0.8907,0.2256,0.0614,0.8017,1.6548,0.684,0.1667,16.4201
33,0.2256,0.8906,0.2256,0.0614,0.8016,1.6547,0.6831,0.1667,17.8721
34,0.2256,0.89,0.2256,0.0614,0.8016,1.6549,0.6829,0.1667,25.5964
35,0.2256,0.8899,0.2256,0.0614,0.8018,1.6553,0.6839,0.1667,26.8633
36,0.2256,0.8902,0.2256,0.0614,0.8017,1.6554,0.6846,0.1667,26.5317
37,0.2256,0.8899,0.2256,0.0614,0.8019,1.6556,0.6798,0.1667,25.6416
38,0.2256,0.8898,0.2256,0.0614,0.8017,1.6553,0.681,0.1667,24.3976
39,0.2755,0.8893,0.2755,0.1266,0.8018,1.6554,0.6718,0.2051,26.1264
40,0.3337,0.8878,0.3337,0.1757,0.8019,1.6554,0.6685,0.2501,32.3907
41,0.3695,0.886,0.3695,0.1895,0.802,1.6556,0.6672,0.2785,33.1657
42,0.2436,0.8863,0.2436,0.0878,0.802,1.6556,0.6727,0.1805,36.4358
43,0.2928,0.8858,0.2928,0.1439,0.802,1.6556,0.6726,0.2185,35.953
44,0.3331,0.8874,0.3331,0.1509,0.8021,1.6558,0.6776,0.253,37.4704
45,0.3382,0.888,0.3382,0.1537,0.802,1.6555,0.677,0.2568,37.1796
46,0.2161,0.8893,0.2161,0.0592,0.8019,1.6553,0.6777,0.1667,38.54
47,0.2161,0.8906,0.2161,0.0592,0.8019,1.6553,0.6792,0.1667,37.2136
48,0.2161,0.8897,0.2161,0.0592,0.8019,1.6553,0.6785,0.1667,38.5707
49,0.2217,0.8892,0.2217,0.0677,0.8019,1.6553,0.6798,0.1708,35.6774
50,0.2161,0.8898,0.2161,0.0592,0.8018,1.6551,0.6806,0.1667,37.0234
51,0.2161,0.8915,0.2161,0.0592,0.8018,1.6552,0.6831,0.1667,36.0618
52,0.2161,0.8919,0.2161,0.0592,0.8018,1.6553,0.6838,0.1667,35.2006
53,0.2161,0.8933,0.2161,0.0592,0.8018,1.6552,0.6845,0.1667,35.4065
54,0.2161,0.8936,0.2161,0.0592,0.8017,1.6549,0.684,0.1667,37.1515
55,0.2161,0.8945,0.2161,0.0592,0.8018,1.655,0.6849,0.1667,38.5096
56,0.2161,0.8946,0.2161,0.0592,0.8017,1.6547,0.6819,0.1667,40.3689
57,0.2161,0.8958,0.2161,0.0592,0.8016,1.6545,0.6829,0.1667,50.4558
58,0.2161,0.8969,0.2161,0.0592,0.8017,1.6547,0.6849,0.1667,51.1914
59,0.2161,0.8972,0.2161,0.0592,0.8016,1.6545,0.6884,0.1667,52.297
