step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.646,0.2256,0.0614,0.8555,7.3096,0.3148,0.1667,0.9037
1,0.2464,0.6667,0.2464,0.1064,0.8295,2.267,0.3528,0.1865,0.8161
2,0.2256,0.6781,0.2256,0.0614,0.8421,2.3241,0.3693,0.1667,0.836
3,0.2161,0.6641,0.2161,0.0592,0.8851,2.4321,0.3522,0.1667,0.8239
4,0.2161,0.6635,0.2161,0.0592,0.8476,1.8913,0.3181,0.1667,0.8135
5,0.2161,0.6482,0.2161,0.0592,0.8325,1.8818,0.2877,0.1667,0.8429
6,0.2503,0.6333,0.2503,0.1026,0.8302,1.9155,0.2903,0.1904,0.8025
7,0.2335,0.6684,0.2335,0.0734,0.8301,1.8449,0.3156,0.1727,0.7963
8,0.2161,0.6346,0.2161,0.0592,0.8426,1.8802,0.2886,0.1667,0.7923
9,0.2161,0.6299,0.2161,0.0592,0.8335,1.8701,0.2856,0.1667,0.8166
10,0.2464,0.6799,0.2464,0.1074,0.824,1.7824,0.3357,0.1881,0.8094
11,0.2716,0.7,0.2716,0.1192,0.8215,1.7623,0.3569,0.2022,0.8069
12,0.2161,0.7142,0.2161,0.0593,0.8225,1.7704,0.3679,0.1667,0.8048
13,0.2256,0.715,0.2256,0.0614,0.8237,1.7793,0.3741,0.1667,0.8158
14,0.2161,0.6812,0.2161,0.0592,0.8268,1.7734,0.3494,0.1667,0.7876
15,0.2436,0.7008,0.2436,0.1073,0.8219,1.7439,0.3594,0.1858,0.8038
16,0.2458,0.7055,0.2458,0.0907,0.822,1.7397,0.3635,0.1822,0.8297
17,0.2161,0.6894,0.2161,0.0592,0.8269,1.7528,0.3455,0.1667,0.7763
18,0.2161,0.6971,0.2161,0.0592,0.8255,1.7543,0.355,0.1667,0.7829
19,0.2161,0.6913,0.2161,0.0592,0.8211,1.7332,0.3419,0.1667,0.7732
20,0.2161,0.6857,0.2161,0.0592,0.8141,1.6976,0.3333,0.1667,0.7646
21,0.2318,0.6928,0.2318,0.1034,0.813,1.6953,0.3396,0.1766,0.7899
22,0.2329,0.7115,0.2329,0.1042,0.8124,1.6963,0.3594,0.1774,0.7695
23,0.2279,0.7248,0.2279,0.0765,0.8108,1.6855,0.3785,0.1753,0.7827
24,0.2615,0.7215,0.2615,0.1106,0.809,1.6797,0.3731,0.1944,0.7755
25,0.229,0.7378,0.229,0.0779,0.8092,1.6812,0.3975,0.1762,0.7963
26,0.2704,0.7384,0.2704,0.1241,0.8082,1.6774,0.3994,0.2032,0.7761
27,0.2676,0.7485,0.2676,0.1162,0.8072,1.6748,0.4089,0.1991,0.779
28,0.2161,0.7551,0.2161,0.0592,0.807,1.673,0.4164,0.1667,0.7747
29,0.2699,0.756,0.2699,0.1241,0.8067,1.6731,0.4193,0.203,0.7666
30,0.238,0.7591,0.238,0.0799,0.8071,1.6735,0.4199,0.1762,0.7618
31,0.2161,0.7406,0.2161,0.0592,0.8096,1.6794,0.3965,0.1667,0.7782
32,0.2161,0.7459,0.2161,0.0592,0.8094,1.6787,0.4028,0.1667,0.7651
33,0.2161,0.7462,0.2161,0.0592,0.8082,1.676,0.4047,0.1667,0.766
34,0.2161,0.7472,0.2161,0.0592,0.8076,1.6746,0.4048,0.1667,0.7373
35,0.2161,0.7485,0.2161,0.0592,0.8064,1.671,0.4107,0.1667,0.7537
36,0.2374,0.7496,0.2374,0.1069,0.8059,1.67,0.4116,0.1807,0.7368
37,0.2391,0.7555,0.2391,0.0933,0.8053,1.6677,0.4182,0.1834,0.7492
38,0.2391,0.7585,0.2391,0.1077,0.805,1.6663,0.4239,0.1819,0.7409
39,0.2772,0.7633,0.2772,0.1246,0.8048,1.6664,0.4352,0.2067,0.742
40,0.2727,0.7744,0.2727,0.1256,0.8044,1.6654,0.4615,0.2052,0.7377
41,0.2256,0.7812,0.2256,0.0614,0.8043,1.6652,0.4667,0.1667,0.7741
42,0.2161,0.7653,0.2161,0.0592,0.8056,1.6683,0.4436,0.1667,0.7466
43,0.2228,0.7683,0.2228,0.0694,0.8055,1.6674,0.447,0.1716,0.735
44,0.2749,0.7712,0.2749,0.1267,0.8054,1.6671,0.4523,0.2069,0.7533
45,0.2346,0.7764,0.2346,0.0751,0.8053,1.6669,0.4573,0.1736,0.7444
46,0.2161,0.7677,0.2161,0.0592,0.8063,1.6689,0.4436,0.1667,0.7419
47,0.2161,0.7681,0.2161,0.0593,0.806,1.6682,0.4463,0.1667,0.7343
48,0.2828,0.7705,0.2828,0.1285,0.8059,1.6685,0.4468,0.2114,0.7196
49,0.2665,0.782,0.2665,0.1229,0.805,1.666,0.4635,0.2008,0.721
50,0.2172,0.7866,0.2172,0.061,0.8047,1.6644,0.4713,0.1675,0.7335
51,0.2822,0.7867,0.2822,0.1286,0.8046,1.6641,0.4736,0.2112,0.7156
52,0.2374,0.7904,0.2374,0.1072,0.8044,1.6638,0.4803,0.1806,0.7234
53,0.2475,0.7917,0.2475,0.0929,0.8045,1.664,0.4837,0.1835,0.7127
54,0.2184,0.7913,0.2184,0.0627,0.8049,1.6643,0.4813,0.1683,0.7121
55,0.2531,0.793,0.2531,0.1171,0.8053,1.6652,0.4867,0.191,0.7239
56,0.2553,0.7948,0.2553,0.1036,0.8049,1.6645,0.4898,0.1896,0.6991
57,0.2307,0.799,0.2307,0.0804,0.8049,1.6639,0.4991,0.1774,0.7136
58,0.2424,0.8015,0.2424,0.1018,0.8052,1.6646,0.5051,0.1855,0.7048
59,0.2576,0.8027,0.2576,0.1192,0.8054,1.665,0.5079,0.1943,0.7148
