step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.5,0.2256,0.0614,1.5487,27.9106,0.1667,0.1667,0.9394
1,0.2256,0.5,0.2256,0.0614,1.5487,27.9106,0.1667,0.1667,0.0967
2,0.2256,0.5216,0.2256,0.0614,1.1722,20.472,0.1906,0.1667,0.0896
3,0.2335,0.5182,0.2335,0.0783,1.0684,20.4272,0.1797,0.1729,0.0861
4,0.2262,0.5406,0.2262,0.0638,0.9581,15.2237,0.195,0.1671,0.0906
5,0.243,0.5457,0.243,0.0936,0.8921,9.5326,0.2024,0.1803,0.0886
6,0.2312,0.5725,0.2312,0.0729,0.8283,2.1945,0.2161,0.1711,0.0945
7,0.248,0.5571,0.248,0.1236,0.8311,2.2465,0.208,0.1934,0.0947
8,0.2318,0.5787,0.2318,0.0753,0.8378,2.2382,0.2266,0.1727,0.0919
9,0.2284,0.6078,0.2284,0.0686,0.8457,1.7912,0.238,0.1695,0.0888
10,0.2307,0.5899,0.2307,0.0825,0.8655,1.9068,0.2148,0.1737,0.0905
11,0.2514,0.6136,0.2514,0.1116,0.8232,1.7335,0.2528,0.1951,0.0893
12,0.2329,0.6483,0.2329,0.0864,0.8195,1.7033,0.2537,0.1746,0.0906
13,0.2441,0.64,0.2441,0.1244,0.8024,1.6706,0.2567,0.188,0.0921
14,0.3371,0.6353,0.3371,0.2099,0.7776,1.6216,0.2714,0.2547,0.0928
15,0.2564,0.6339,0.2564,0.1348,0.7973,1.6654,0.248,0.1929,0.0977
16,0.2682,0.6714,0.2682,0.1539,0.7939,1.6525,0.2729,0.2132,0.0901
17,0.3052,0.6689,0.3052,0.2023,0.773,1.602,0.2899,0.2353,0.091
18,0.2844,0.6883,0.2844,0.1717,0.7747,1.5936,0.3013,0.2183,0.0914
19,0.313,0.6418,0.313,0.2329,0.7821,1.6197,0.2551,0.2515,0.0943
20,0.2917,0.6546,0.2917,0.2042,0.7793,1.6059,0.2674,0.2277,0.095
21,0.3169,0.6538,0.3169,0.1963,0.7755,1.6026,0.282,0.2484,0.091
22,0.266,0.6162,0.266,0.135,0.8033,1.673,0.2455,0.2006,0.0917
23,0.3343,0.7,0.3343,0.204,0.7658,1.5892,0.307,0.2574,0.0928
24,0.3001,0.6685,0.3001,0.1514,0.7768,1.6493,0.2943,0.2296,0.0917
25,0.2738,0.6497,0.2738,0.1248,0.7941,1.6541,0.2777,0.2099,0.0936
26,0.3024,0.6591,0.3024,0.1584,0.7772,1.6207,0.2838,0.2317,0.0964
27,0.2721,0.6612,0.2721,0.1254,0.7895,1.6803,0.2873,0.2084,0.0883
28,0.2917,0.6764,0.2917,0.1344,0.7917,1.6547,0.2895,0.2223,0.0878
29,0.257,0.7309,0.257,0.1164,0.7781,1.5937,0.3401,0.1978,0.0879
30,0.2878,0.6956,0.2878,0.1546,0.7719,1.5945,0.3101,0.2222,0.0898
31,0.2531,0.7325,0.2531,0.1114,0.778,1.5992,0.3481,0.1945,0.0942
32,0.271,0.7044,0.271,0.1412,0.7697,1.5988,0.3206,0.2107,0.0971
33,0.2637,0.6761,0.2637,0.1294,0.7763,1.6363,0.3118,0.2045,0.1005
34,0.341,0.7308,0.341,0.2036,0.7576,1.5669,0.3391,0.2657,0.0989
35,0.3673,0.7152,0.3673,0.1979,0.7565,1.5658,0.331,0.2839,0.1026
36,0.3466,0.6885,0.3466,0.2181,0.7637,1.5777,0.313,0.2713,0.0997
37,0.3628,0.7381,0.3628,0.2437,0.7438,1.534,0.3621,0.2808,0.0969
38,0.3791,0.698,0.3791,0.2662,0.7572,1.5886,0.3151,0.3027,0.1044
39,0.3718,0.7228,0.3718,0.249,0.7471,1.5332,0.3428,0.288,0.1036
40,0.3807,0.6898,0.3807,0.2688,0.7474,1.6253,0.3329,0.2979,0.1052
41,0.3819,0.7257,0.3819,0.2661,0.7449,1.5361,0.3374,0.2987,0.1081
42,0.3897,0.7431,0.3897,0.2594,0.7428,1.5127,0.3549,0.3016,0.1007
43,0.3309,0.7127,0.3309,0.1986,0.7547,1.5902,0.3467,0.2518,0.1038
44,0.3567,0.7204,0.3567,0.2228,0.7491,1.5502,0.3376,0.2725,0.1063
45,0.3779,0.7357,0.3779,0.2558,0.7446,1.5215,0.3634,0.2906,0.112
46,0.3768,0.7435,0.3768,0.2453,0.739,1.5087,0.3549,0.289,0.1023
47,0.3522,0.7298,0.3522,0.2392,0.7411,1.5203,0.3504,0.2705,0.1025
48,0.3651,0.729,0.3651,0.2418,0.7406,1.6086,0.3684,0.2789,0.1052
49,0.3259,0.706,0.3259,0.235,0.7625,1.5548,0.3206,0.256,0.1112
50,0.3511,0.7472,0.3511,0.2363,0.7367,1.5412,0.3826,0.2704,0.1078
51,0.3656,0.7221,0.3656,0.2496,0.7423,1.5433,0.3491,0.2827,0.1078
52,0.346,0.7023,0.346,0.2322,0.7408,1.6798,0.3725,0.2678,0.1033
53,0.3354,0.7098,0.3354,0.2145,0.7492,1.6256,0.3295,0.2579,0.1053
54,0.3483,0.7117,0.3483,0.2479,0.7391,1.6058,0.3786,0.2742,0.105
55,0.3931,0.7253,0.3931,0.2703,0.7333,1.6649,0.3693,0.3069,0.1055
56,0.3337,0.7197,0.3337,0.2207,0.745,1.56,0.3648,0.2565,0.1073
57,0.4278,0.7492,0.4278,0.3191,0.7228,1.5523,0.3938,0.3397,0.1058
