step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4507,0.7402,0.4507,0.3433,0.6939,1.9139,0.4353,0.3581,2.3727
1,0.4787,0.7914,0.4787,0.3675,0.6784,1.459,0.4884,0.3793,2.5647
2,0.4972,0.8133,0.4972,0.3798,0.6724,1.4429,0.531,0.3938,2.3738
3,0.5224,0.825,0.5224,0.4205,0.6668,1.3403,0.5217,0.4227,2.8303
4,0.537,0.8213,0.537,0.4363,0.6603,1.4323,0.5404,0.4339,2.6777
5,0.5543,0.8348,0.5543,0.4601,0.6498,1.427,0.5714,0.4543,2.885
6,0.5448,0.8393,0.5448,0.4384,0.649,1.3548,0.5533,0.44,2.975
7,0.5901,0.8495,0.5901,0.4856,0.6375,1.3182,0.5689,0.4863,2.7757
8,0.5582,0.8451,0.5582,0.4616,0.6367,1.3971,0.5877,0.4558,3.1922
9,0.5543,0.8528,0.5543,0.4622,0.6372,1.333,0.5776,0.4545,3.0043
10,0.5896,0.8688,0.5896,0.4889,0.6313,1.2812,0.5976,0.4862,3.4208
11,0.5857,0.8458,0.5857,0.4765,0.6299,1.3728,0.5966,0.478,3.2234
12,0.57,0.8911,0.57,0.4723,0.625,1.2407,0.646,0.4658,3.6772
13,0.561,0.8778,0.561,0.453,0.6276,1.2521,0.615,0.4528,3.3915
14,0.5929,0.8875,0.5929,0.4926,0.6208,1.2391,0.6365,0.486,3.731
15,0.6125,0.8906,0.6125,0.5124,0.6151,1.2243,0.6586,0.5049,3.6605
16,0.6148,0.8798,0.6148,0.5165,0.6097,1.2531,0.6453,0.5097,3.7961
17,0.6103,0.8949,0.6103,0.5132,0.6098,1.2128,0.6527,0.5055,3.9339
18,0.5873,0.8974,0.5873,0.5092,0.6093,1.2106,0.6448,0.4933,4.3302
19,0.6204,0.8962,0.6204,0.5346,0.6027,1.2322,0.6632,0.5199,4.1641
20,0.6226,0.8993,0.6226,0.5492,0.601,1.209,0.6696,0.5294,4.1375
21,0.6288,0.9065,0.6288,0.5467,0.5934,1.1767,0.6814,0.5301,4.7454
22,0.6394,0.908,0.6394,0.5396,0.5904,1.1716,0.6928,0.5307,4.5241
23,0.6377,0.913,0.6377,0.5586,0.5912,1.1732,0.6961,0.5399,4.6252
24,0.64,0.9024,0.64,0.5644,0.5929,1.1924,0.6824,0.5407,4.7725
25,0.6344,0.9059,0.6344,0.5486,0.5896,1.1833,0.6943,0.5311,4.7577
26,0.6596,0.9066,0.6596,0.5683,0.5838,1.1766,0.7019,0.5515,5.1561
27,0.6349,0.9096,0.6349,0.5572,0.5844,1.1548,0.6891,0.5364,5.0599
28,0.6601,0.9131,0.6601,0.5715,0.5789,1.1476,0.6954,0.5547,5.0996
29,0.6523,0.9102,0.6523,0.5633,0.5755,1.1578,0.7054,0.549,5.334
30,0.6613,0.9185,0.6613,0.5608,0.5755,1.1381,0.7265,0.552,5.4574
31,0.6562,0.9049,0.6562,0.57,0.5744,1.1581,0.6996,0.553,5.6455
32,0.6551,0.9139,0.6551,0.5667,0.5744,1.1343,0.7044,0.5503,5.6816
33,0.668,0.9208,0.668,0.5812,0.562,1.1121,0.7414,0.5641,5.9245
34,0.6831,0.9179,0.6831,0.5866,0.5615,1.1347,0.7154,0.5745,5.9647
35,0.6764,0.9143,0.6764,0.5756,0.5591,1.1115,0.7038,0.5677,6.2615
36,0.682,0.9234,0.682,0.6036,0.5554,1.1045,0.7313,0.5847,6.4026
37,0.6786,0.9204,0.6786,0.5785,0.5525,1.1174,0.7282,0.568,6.4259
38,0.6775,0.9171,0.6775,0.5777,0.5567,1.1072,0.7221,0.5681,6.389
39,0.6758,0.9254,0.6758,0.5853,0.5558,1.1018,0.7164,0.5704,6.7711
40,0.7133,0.9258,0.7133,0.6168,0.5459,1.1035,0.7499,0.6047,6.9235
41,0.7004,0.9233,0.7004,0.6045,0.5467,1.1055,0.7303,0.5924,7.1752
42,0.6881,0.9168,0.6881,0.5972,0.5463,1.1033,0.7191,0.5837,6.755
43,0.6887,0.927,0.6887,0.5975,0.5471,1.1049,0.7427,0.5836,7.3575
44,0.6848,0.9269,0.6848,0.5934,0.5454,1.1018,0.7559,0.5784,7.3515
45,0.6932,0.9304,0.6932,0.6105,0.5407,1.0743,0.7458,0.5926,7.6295
46,0.7021,0.9312,0.7021,0.6268,0.5372,1.0681,0.7492,0.6048,7.7528
47,0.6937,0.9315,0.6937,0.6117,0.5379,1.068,0.7416,0.5952,7.7779
48,0.6943,0.9268,0.6943,0.6203,0.5324,1.0607,0.749,0.5995,7.6165
49,0.7044,0.9323,0.7044,0.6104,0.5308,1.0728,0.7639,0.5978,8.1798
50,0.7021,0.9242,0.7021,0.6275,0.5284,1.0879,0.7506,0.6064,8.2551
51,0.7044,0.9313,0.7044,0.628,0.5302,1.0558,0.7756,0.6084,8.3628
52,0.6971,0.9317,0.6971,0.6039,0.5291,1.0546,0.748,0.5918,8.1339
53,0.7044,0.9288,0.7044,0.6113,0.5248,1.0629,0.7494,0.5991,8.7456
54,0.7044,0.9341,0.7044,0.5997,0.5241,1.044,0.7597,0.5946,8.8405
