step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1859,0.6138,0.1859,0.074,0.8693,6.8876,0.2482,0.1788,0.013
1,0.3751,0.7091,0.3751,0.2588,0.7459,1.5512,0.3547,0.2958,0.0149
2,0.3953,0.7143,0.3953,0.2819,0.7311,1.5138,0.3675,0.3163,0.0097
3,0.3886,0.7434,0.3886,0.2593,0.7226,1.483,0.4054,0.3013,0.0118
4,0.4059,0.7662,0.4059,0.2602,0.7192,1.4607,0.4191,0.3105,0.0105
5,0.4272,0.754,0.4272,0.3184,0.7115,1.4766,0.419,0.338,0.0124
6,0.4832,0.791,0.4832,0.3812,0.6857,1.4063,0.474,0.3881,0.0131
7,0.4916,0.7926,0.4916,0.4061,0.6848,1.4176,0.4868,0.4088,0.0083
8,0.5302,0.825,0.5302,0.4357,0.6698,1.3534,0.5365,0.4388,0.0107
9,0.533,0.8432,0.533,0.4409,0.6634,1.3493,0.5631,0.4415,0.0095
10,0.5101,0.831,0.5101,0.4195,0.6674,1.3419,0.5278,0.4205,0.0141
11,0.5325,0.8321,0.5325,0.4382,0.6594,1.3284,0.5417,0.4432,0.0128
12,0.5588,0.8546,0.5588,0.4654,0.6484,1.302,0.572,0.4669,0.0102
13,0.533,0.8474,0.533,0.4316,0.652,1.3141,0.5593,0.4386,0.0136
14,0.5465,0.8434,0.5465,0.4501,0.6489,1.3099,0.5488,0.4536,0.0081
15,0.5538,0.8618,0.5538,0.4716,0.644,1.2959,0.5912,0.4684,0.0112
16,0.5594,0.8654,0.5594,0.4627,0.6424,1.2946,0.5952,0.4652,0.0115
17,0.5834,0.8623,0.5834,0.487,0.638,1.2861,0.609,0.491,0.0122
18,0.5722,0.863,0.5722,0.4775,0.6329,1.2754,0.623,0.4802,0.0096
19,0.5873,0.8682,0.5873,0.4919,0.6273,1.2648,0.6419,0.4939,0.0085
20,0.6013,0.8734,0.6013,0.5033,0.6301,1.2695,0.633,0.5055,0.012
21,0.6109,0.8749,0.6109,0.5115,0.6233,1.257,0.6387,0.5125,0.0154
22,0.6097,0.8638,0.6097,0.5213,0.6282,1.2658,0.6344,0.518,0.0106
23,0.6075,0.8828,0.6075,0.5222,0.6197,1.2443,0.6487,0.5139,0.0137
24,0.6349,0.8792,0.6349,0.5351,0.6162,1.2388,0.6602,0.5342,0.0118
25,0.6153,0.8764,0.6153,0.5176,0.6173,1.2399,0.6393,0.5155,0.0138
26,0.6394,0.8848,0.6394,0.5343,0.6106,1.2271,0.6702,0.5357,0.009
27,0.6097,0.8814,0.6097,0.5091,0.6087,1.2238,0.6313,0.5122,0.0091
28,0.6131,0.8843,0.6131,0.5112,0.6137,1.233,0.6543,0.5121,0.0115
29,0.6316,0.8905,0.6316,0.5267,0.607,1.2171,0.6567,0.5296,0.0091
30,0.6422,0.8879,0.6422,0.5357,0.602,1.2134,0.659,0.5415,0.0102
31,0.6405,0.8839,0.6405,0.5334,0.6018,1.214,0.6605,0.5376,0.0116
32,0.6282,0.888,0.6282,0.5243,0.6007,1.2092,0.6571,0.5281,0.0101
33,0.6361,0.8873,0.6361,0.5338,0.603,1.2136,0.6387,0.5366,0.0093
34,0.6366,0.8919,0.6366,0.5304,0.596,1.2003,0.6681,0.5344,0.0092
35,0.6361,0.8886,0.6361,0.5311,0.5996,1.2095,0.6689,0.5355,0.0105
36,0.6327,0.8792,0.6327,0.5299,0.595,1.2014,0.644,0.5329,0.0099
37,0.6327,0.8812,0.6327,0.5288,0.5994,1.2106,0.6291,0.5337,0.0087
38,0.6361,0.8885,0.6361,0.5348,0.5945,1.1962,0.676,0.5374,0.0131
39,0.6349,0.8913,0.6349,0.5352,0.5943,1.1928,0.6594,0.5347,0.0094
40,0.6394,0.8942,0.6394,0.5391,0.5923,1.1916,0.6664,0.5381,0.011
41,0.6495,0.8885,0.6495,0.5483,0.5874,1.1836,0.6606,0.55,0.0092
42,0.6445,0.8876,0.6445,0.5397,0.5881,1.185,0.6628,0.5424,0.0149
43,0.6389,0.8981,0.6389,0.5382,0.5894,1.1848,0.672,0.5396,0.0125
44,0.6394,0.8872,0.6394,0.54,0.5924,1.2101,0.6548,0.5406,0.0101
45,0.6461,0.9005,0.6461,0.5495,0.5873,1.1796,0.6862,0.5489,0.0105
46,0.6467,0.8868,0.6467,0.5448,0.5905,1.2065,0.6715,0.5463,0.0075
47,0.6489,0.8916,0.6489,0.549,0.5912,1.1858,0.6809,0.5456,0.0106
48,0.6461,0.9009,0.6461,0.5477,0.5886,1.1785,0.6837,0.5444,0.0082
49,0.6433,0.8997,0.6433,0.5472,0.5809,1.1644,0.6926,0.5462,0.0099
50,0.654,0.8945,0.654,0.5553,0.5802,1.1657,0.6829,0.5526,0.0113
51,0.6534,0.9032,0.6534,0.5531,0.5779,1.1596,0.6971,0.5522,0.0101
52,0.6506,0.8939,0.6506,0.5522,0.5803,1.169,0.6685,0.5497,0.0135
53,0.6417,0.9012,0.6417,0.5431,0.5812,1.165,0.6854,0.5404,0.0093
54,0.6394,0.8937,0.6394,0.5422,0.5819,1.1693,0.6698,0.5385,0.012
55,0.6489,0.8962,0.6489,0.549,0.581,1.1667,0.6749,0.5493,0.0105
56,0.6523,0.8929,0.6523,0.5629,0.5836,1.1889,0.685,0.5563,0.0101
57,0.6495,0.9063,0.6495,0.5704,0.5781,1.1578,0.7036,0.5581,0.0098
58,0.6439,0.9019,0.6439,0.5423,0.5782,1.1636,0.7025,0.5425,0.0098
59,0.6422,0.9069,0.6422,0.5704,0.5784,1.1584,0.7098,0.5567,0.0116
