step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4961,0.7538,0.4961,0.3504,0.6931,1.9315,0.459,0.4057,0.0255
1,0.4406,0.7579,0.4406,0.3362,0.7003,1.9322,0.4716,0.3866,0.1844
2,0.561,0.7848,0.561,0.4731,0.6689,1.8641,0.5266,0.4892,0.2405
3,0.5594,0.7871,0.5594,0.4643,0.6627,1.8461,0.5242,0.4739,0.3053
4,0.6092,0.8353,0.6092,0.518,0.648,1.5013,0.5616,0.5184,0.3694
5,0.6019,0.8471,0.6019,0.5194,0.6384,1.3192,0.5834,0.5108,0.4695
6,0.6041,0.8913,0.6041,0.5423,0.6412,1.2756,0.6623,0.5217,0.5424
7,0.6478,0.9046,0.6478,0.6329,0.6288,1.2554,0.6974,0.5947,0.6361
8,0.6277,0.9061,0.6277,0.61,0.628,1.2529,0.6969,0.5704,0.7485
9,0.6153,0.9038,0.6153,0.5784,0.6308,1.2526,0.6919,0.5434,0.8226
10,0.6288,0.904,0.6288,0.6206,0.6231,1.2389,0.6993,0.5801,0.9553
11,0.6529,0.9073,0.6529,0.6356,0.6146,1.2226,0.7166,0.5957,1.0634
12,0.6428,0.9144,0.6428,0.6163,0.6116,1.2143,0.7256,0.5768,1.1715
13,0.6512,0.9134,0.6512,0.614,0.6129,1.2166,0.7208,0.5778,1.3056
14,0.6607,0.9212,0.6607,0.6262,0.6072,1.2037,0.7322,0.5904,1.3923
15,0.6506,0.9126,0.6506,0.6064,0.6084,1.2064,0.7276,0.5717,1.4829
16,0.6719,0.9194,0.6719,0.6321,0.6032,1.1971,0.7383,0.5961,1.6264
17,0.6641,0.9221,0.6641,0.639,0.6052,1.1986,0.7305,0.5975,1.743
18,0.6725,0.9258,0.6725,0.6476,0.6075,1.1993,0.7375,0.6067,1.866
19,0.6837,0.9215,0.6837,0.6422,0.6015,1.1894,0.7297,0.6082,1.9884
20,0.6792,0.9254,0.6792,0.6396,0.5995,1.186,0.735,0.603,2.0827
21,0.6747,0.9217,0.6747,0.6183,0.5974,1.1817,0.7392,0.5893,2.2114
22,0.6865,0.924,0.6865,0.6447,0.5925,1.175,0.7471,0.6111,2.3261
23,0.692,0.9252,0.692,0.635,0.5973,1.1811,0.7289,0.6037,2.4507
24,0.682,0.9299,0.682,0.6262,0.59,1.168,0.7511,0.5957,2.5682
25,0.7021,0.934,0.7021,0.6508,0.5789,1.1477,0.7627,0.6188,2.7207
26,0.7027,0.9273,0.7027,0.6438,0.5843,1.1571,0.7507,0.6143,2.8935
27,0.7066,0.935,0.7066,0.6533,0.5822,1.1524,0.7646,0.6199,2.9192
28,0.7144,0.9288,0.7144,0.6669,0.5831,1.1568,0.7578,0.6333,3.0496
29,0.7116,0.9323,0.7116,0.6498,0.5765,1.1433,0.767,0.6206,3.1162
30,0.7172,0.9317,0.7172,0.6532,0.5796,1.1497,0.7641,0.6264,3.2558
31,0.7004,0.9349,0.7004,0.6507,0.58,1.1491,0.7678,0.619,3.36
32,0.7189,0.933,0.7189,0.6567,0.5757,1.1422,0.7491,0.6283,3.4483
33,0.71,0.9299,0.71,0.6462,0.5759,1.1435,0.7485,0.6192,3.6094
34,0.7016,0.9396,0.7016,0.6567,0.5696,1.1261,0.7608,0.6238,3.75
35,0.7184,0.9318,0.7184,0.6852,0.5682,1.1288,0.7569,0.649,3.898
36,0.7268,0.9364,0.7268,0.6694,0.566,1.1248,0.7618,0.6402,4.0253
37,0.7083,0.9329,0.7083,0.6558,0.568,1.1267,0.7601,0.6238,4.1519
38,0.7021,0.9323,0.7021,0.6479,0.5663,1.1239,0.7648,0.6166,4.258
39,0.7273,0.9353,0.7273,0.6703,0.5636,1.1192,0.7591,0.6407,4.4114
40,0.7256,0.9341,0.7256,0.6814,0.5603,1.1138,0.7696,0.6479,4.5041
41,0.7301,0.9396,0.7301,0.6536,0.557,1.1066,0.7795,0.6324,4.6401
42,0.7256,0.9336,0.7256,0.6773,0.5575,1.1256,0.7693,0.6455,4.766
43,0.7256,0.9363,0.7256,0.6755,0.5563,1.1044,0.7676,0.6463,4.8949
44,0.7335,0.9422,0.7335,0.6811,0.5562,1.1023,0.7759,0.6508,4.9872
45,0.7245,0.9367,0.7245,0.6659,0.5525,1.0994,0.767,0.6389,5.1578
46,0.7223,0.9336,0.7223,0.6647,0.5493,1.0929,0.7669,0.6362,5.3225
47,0.7374,0.9415,0.7374,0.6782,0.5448,1.0838,0.7835,0.6521,5.4239
48,0.7424,0.9378,0.7424,0.6818,0.5469,1.0891,0.7708,0.6554,5.6389
49,0.7363,0.9394,0.7363,0.6758,0.5439,1.0823,0.7734,0.6494,5.7502
50,0.7402,0.9412,0.7402,0.6693,0.5394,1.0733,0.7788,0.646,5.9042
51,0.748,0.9421,0.748,0.6851,0.5369,1.0694,0.7782,0.6597,5.9629
52,0.7553,0.9444,0.7553,0.6823,0.5335,1.0621,0.7891,0.6607,6.1149
53,0.7329,0.9407,0.7329,0.6729,0.5373,1.0682,0.7684,0.6449,6.2944
54,0.7402,0.931,0.7402,0.6704,0.5356,1.0714,0.7675,0.6478,6.441
55,0.7368,0.9433,0.7368,0.6673,0.5312,1.0598,0.789,0.6443,6.5644
56,0.7402,0.9392,0.7402,0.6787,0.5298,1.057,0.7688,0.6521,6.7159
57,0.7464,0.9348,0.7464,0.6832,0.5238,1.0661,0.7741,0.6589,6.8191
58,0.7385,0.9423,0.7385,0.6759,0.5226,1.0447,0.7825,0.6516,6.9357
59,0.7447,0.9408,0.7447,0.673,0.5199,1.0405,0.776,0.6507,7.1087
